CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28079138,EEI,"Calle Eros, 2",079,La Melonera,442219,4471693,"Escuela de Educación Infantil EEI La Melonera. Calle Eros, 2. Madrid",EEI,Escuela de Educación Infantil,EEI La Melonera,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28079138,Madrid,079C0226
28079175,EEI,"Calle Encina, 2",073,El Bosque (Programa Casa de Niños),429460,4455660,"Escuela de Educación Infantil EEI El Bosque (Programa Casa de Niños). Calle Encina, 2. Humanes de Madrid",EEI-CN,Escuela de Educación Infantil,EEI El Bosque (Programa Casa de Niños),https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28079175,Humanes de Madrid,073D0029
28600562,IES,"Ctra (M-607) Colmenar Viejo Viejo, km. 13,800",079,CF en Seguros,441988,4486625,"Instituto de Educación Secundaria IES CF en Seguros. Ctra (M-607) Colmenar Viejo Viejo, km. 13,800. Madrid",CF EMPLEO,Instituto de Educación Secundaria,IES CF en Seguros,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28600562,Madrid,079E1303
28600574,IES,"Avda Arcas del Agua, 2",065,CF en Tecnologias de La Información y Las Comunicaciones Madrid Sur,436635,4460634,"Instituto de Educación Secundaria IES CF en Tecnologias de La Información y Las Comunicaciones Madrid Sur. Avda Arcas del Agua, 2. Getafe",CF EMPLEO,Instituto de Educación Secundaria,IES CF en Tecnologias de La Información y Las Comunicaciones Madrid Sur,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28600574,Getafe,065A0074
28600586,IES,"Paseo Ermita, 17",074,"CF en Electricidad, Electrónica y Aeronáutica",434864,4465764,"Instituto de Educación Secundaria IES CF en Electricidad, Electrónica y Aeronáutica. Paseo Ermita, 17. Leganés",CF EMPLEO,Instituto de Educación Secundaria,"IES CF en Electricidad, Electrónica y Aeronáutica",https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28600586,Leganés,074A0069
28600598,IES,"Calle Hacienda de Pavones, 350",079,CF en Tecnologías del Frío y la Climatización,446177,4472226,"Instituto de Educación Secundaria IES CF en Tecnologías del Frío y la Climatización. Calle Hacienda de Pavones, 350. Madrid",CF EMPLEO,Instituto de Educación Secundaria,IES CF en Tecnologías del Frío y la Climatización,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28600598,Madrid,07909794
28600604,IES,"Lugar Finca el Convento (Finca Tirabuey, s/n)",104,CF en Edificación y Obra Civil,454602,4482765,"Instituto de Educación Secundaria IES CF en Edificación y Obra Civil. Lugar Finca el Convento (Finca Tirabuey, s/n). Paracuellos de Jarama",CF EMPLEO,Instituto de Educación Secundaria,IES CF en Edificación y Obra Civil,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28600604,Paracuellos de Jarama,10400516
28700982,CEE,"Calle Quijorna (centro Polivalente), S/n",079,Vallecas,447000,4468732,"Centro de Educación Especial CEE Vallecas. Calle Quijorna (centro Polivalente), S/n. Madrid",CET,Centro de Educación Especial,CEE Vallecas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28700982,Madrid,079C0396
28701020,CET,"Calle Alfonso de Alcalá, 2",005,Puerta de Madrid,467606,4480741,"Centro de Educativo Terapéutico CET Puerta de Madrid. Calle Alfonso de Alcalá, 2. Alcalá de Henares",CET,Centro de Educativo Terapéutico,CET Puerta de Madrid,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28701020,Alcalá de Henares,005A0543
28701032,CEE,"Calle Virgen de Aránzazu, 5",079,Norte,441436,4481883,"Centro de Educación Especial CEE Norte. Calle Virgen de Aránzazu, 5. Madrid",CET,Centro de Educación Especial,CEE Norte,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28701032,Madrid,07910533
28701056,CEE,Calle Frailes,074,San Agustín,434362,4463703,Centro de Educación Especial CEE San Agustín. Calle Frailes. Leganés,CET,Centro de Educación Especial,CEE San Agustín,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28701056,Leganés,074A0158
