CODIGO,CLAVE,DIRECCION,CMUN,DESCR,UTM_X,UTM_Y,BUSCA,DS_ABREV,DS_LARGO,ETIQUETA,URL,MUNICIPIO,CD_VIAL
28000029,CEIPS,"Calle Víctor Hurtado, s/n",002,San Blas,458854,4487835,"Colegio Infantil, Primaria y Secundaria CEIPS San Blas. Calle Víctor Hurtado, s/n. Ajalvir",CP INF-PRI-SEC,"Colegio Infantil, Primaria y Secundaria",CEIPS San Blas,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000029,Ajalvir,002C0001
28000042,CEIP,"Calle Río Alagón, 14",004,El Álamo,416061,4453715,"Colegio Infantil y Primaria CEIP El Álamo. Calle Río Alagón, 14. Álamo (El)",CP INF-PRI,Colegio Infantil y Primaria,CEIP El Álamo,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000042,Álamo (El),00400323
28000054,CEIP,"Calle San Ignacio de Loyola, 13",005,Antonio de Nebrija,468386,4482313,"Colegio Infantil y Primaria CEIP Antonio de Nebrija. Calle San Ignacio de Loyola, 13. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Antonio de Nebrija,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000054,Alcalá de Henares,005A0665
28000066,CEIP,"Calle San Juan, 2",005,Cardenal Cisneros,468658,4481259,"Colegio Infantil y Primaria CEIP Cardenal Cisneros. Calle San Juan, 2. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Cardenal Cisneros,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000066,Alcalá de Henares,005A0669
28000078,CEIP,"Calle Giner de los Ríos, 5",005,Cervantes,469552,4481496,"Colegio Infantil y Primaria CEIP Cervantes. Calle Giner de los Ríos, 5. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Cervantes,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000078,Alcalá de Henares,005A0300
28000081,CEIP,"Calle Infantado, 2",005,Daoiz y Velarde,468826,4481956,"Colegio Infantil y Primaria CEIP Daoiz y Velarde. Calle Infantado, 2. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Daoiz y Velarde,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000081,Alcalá de Henares,005A0339
28037892,CEPA,"Calle San Vidal, 6",005,Don Juan I,468252,4480451,"Centro Educación de Personas Adultas CEPA Don Juan I. Calle San Vidal, 6. Alcalá de Henares",CEPA,Centro Educación de Personas Adultas,CEPA Don Juan I,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28037892,Alcalá de Henares,005A0680
28000315,CEIP,"Calle Ronda Fiscal, 44",005,Emperador Fernando,468369,4480180,"Colegio Infantil y Primaria CEIP Emperador Fernando. Calle Ronda Fiscal, 44. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Emperador Fernando,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000315,Alcalá de Henares,005A0340
28000364,IES,"Calle Valladolid, 1",005,Complutense,470510,4481599,"Instituto de Educación Secundaria IES Complutense. Calle Valladolid, 1. Alcalá de Henares",IES,Instituto de Educación Secundaria,IES Complutense,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000364,Alcalá de Henares,005A0764
28000376,CEIP,"Calle Ávila, s/n c/v Calle Zaragoza",005,Ntra. Sra. del Val,470983,4481842,"Colegio Infantil y Primaria CEIP Ntra. Sra. del Val. Calle Ávila, s/n c/v Calle Zaragoza. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Ntra. Sra. del Val,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000376,Alcalá de Henares,005A0073
28000388,CEIP,"Calle Pedro Sarmiento de Gamboa, 9-11",005,Doctora de Alcalá,469503,4482277,"Colegio Infantil y Primaria CEIP Doctora de Alcalá. Calle Pedro Sarmiento de Gamboa, 9-11. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Doctora de Alcalá,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000388,Alcalá de Henares,005A0550
28000467,IES,"Calle Vitoria, 3",005,Alonso de Avellaneda,471020,4482290,"Instituto de Educación Secundaria IES Alonso de Avellaneda. Calle Vitoria, 3. Alcalá de Henares",IES,Instituto de Educación Secundaria,IES Alonso de Avellaneda,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000467,Alcalá de Henares,005A0792
28000522,IES,"Calle Alalpardo, s/n",005,Antonio Machado,468653,4482385,"Instituto de Educación Secundaria IES Antonio Machado. Calle Alalpardo, s/n. Alcalá de Henares",IES,Instituto de Educación Secundaria,IES Antonio Machado,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000522,Alcalá de Henares,005A0029
28000558,CEIP,"Calle San Vidal, 4",005,Infanta Catalina,468209,4480496,"Colegio Infantil y Primaria CEIP Infanta Catalina. Calle San Vidal, 4. Alcalá de Henares",CP INF-PRI,Colegio Infantil y Primaria,CEIP Infanta Catalina,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000558,Alcalá de Henares,005A0680
28000595,CEIP,"Calle Marqués de La Valdavia, 91",006,Federico García Lorca,445032,4488555,"Colegio Infantil y Primaria CEIP Federico García Lorca. Calle Marqués de La Valdavia, 91. Alcobendas",CP INF-PRI,Colegio Infantil y Primaria,CEIP Federico García Lorca,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000595,Alcobendas,006A0199
28000601,CEIP,"Calle Miraflores, 59",006,Antonio Machado,445886,4488610,"Colegio Infantil y Primaria CEIP Antonio Machado. Calle Miraflores, 59. Alcobendas",CP INF-PRI,Colegio Infantil y Primaria,CEIP Antonio Machado,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000601,Alcobendas,006A0212
28000753,IES,"Ctra de Barajas, 1,2",006,Francisco Giner de los Ríos,447565,4487417,"Instituto de Educación Secundaria IES Francisco Giner de los Ríos. Ctra de Barajas, 1,2. Alcobendas",IES,Instituto de Educación Secundaria,IES Francisco Giner de los Ríos,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000753,Alcobendas,006A0171
28000765,CEIP,"Avda Valdelaparra, 92",006,Daoiz y Velarde,444022,4488355,"Colegio Infantil y Primaria CEIP Daoiz y Velarde. Avda Valdelaparra, 92. Alcobendas",CP INF-PRI,Colegio Infantil y Primaria,CEIP Daoiz y Velarde,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000765,Alcobendas,006A0318
28000856,CEIP,"Avda Oeste, 2-C",007,Carmen Conde,429174,4466121,"Colegio Infantil y Primaria CEIP Carmen Conde. Avda Oeste, 2-C. Alcorcón",CP INF-PRI,Colegio Infantil y Primaria,CEIP Carmen Conde,https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000856,Alcorcón,007A0016
