Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Central de la Defensa Gómez Ulla;
Serie;Unidad;Ambito;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;11.499,00;12.321,00;12.015,00;11.954,00;12.020,00;12.249,00;10.686,00;9.523,00;10.159,00;

Estancia media global en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;8,47;8,15;7,96;7,35;7,33;7,18;8,51;8,02;7,98;

Total ingresos en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;10.430,00;10.233,00;10.266,00;10.212,00;10.400,00;10.700,00;9.808,00;8.828,00;9.339,00;

Ingresos urgentes en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;5.713,00;5.898,00;5.779,00;5.916,00;5.861,00;6.000,00;6.221,00;5.169,00;5.122,00;

Ingresos programados en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;4.717,00;4.335,00;4.487,00;4.296,00;4.539,00;4.700,00;3.587,00;3.659,00;4.217,00;

Urgencias totales en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;54.840,00;61.535,00;65.723,00;69.408,00;71.315,00;75.487,00;56.326,00;70.893,00;84.513,00;

Sesiones oncohematológicas en hospital de día del Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;2.327,00;2.738,00;2.517,00;2.070,00;2.331,00;2.144,00;2.990,00;3.475,00;3.674,00;

Sesiones de SIDA en hospital de día del Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;23,00;41,00;205,00;240,00;175,00;157,00;0,00;166,00;97,00;

Sesiones psiquiátricas en hospital de día del Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;313,00;560,00;515,00;

Sesiones de otras especialidades médicas en hospital de día del Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;142,00;206,00;543,00;1.477,00;1.256,00;1.504,00;3.094,00;4.324,00;4.568,00;

Sesiones de otras actividades quirúrgicas en hospital de día del Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;0,00;285,00;389,00;506,00;604,00;403,00;2.442,00;2.437,00;3.931,00;

Sesiones de hemodiálisis en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;33,00;36,00;37,00;46,00;47,00;59,00;61,00;60,00;64,00;

Total partos en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;-;-;-;-;-;591,00;495,00;446,00;454,00;

Partos por vía vaginal en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;346,00;399,00;399,00;362,00;385,00;459,00;-;-;-;

Porcentaje de cesáreas en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;-;-;-;-;-;22,34;23,84;23,32;23,79;

Cesáreas en el Hospital Central de la Defensa Gómez Ulla;Número;Comunidad de Madrid;143,00;122,00;131,00;129,00;105,00;132,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
Población a 31 de diciembre del año anterior.;
;
La población asignada al Hospital Central de la Defensa Gómez Ulla es la de los distritos de Carabanchel y Latina del municipio de Madrid.;
