Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Clínico San Carlos;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Clínico San Carlos;Número;Comunidad de Madrid;35.532,00;33.309,00;35.175,00;35.404,00;34.278,00;32.379,00;31.845,00;31.825,00;28.358,00;28.049,00;28.604,00;

Estancia media global en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;7,22;7,20;6,88;6,66;6,79;7,06;6,93;7,01;7,82;7,68;7,53;

Total ingresos en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;35.532,00;33.349,00;35.139,00;35.377,00;34.299,00;32.320,00;31.908,00;31.657,00;28.008,00;28.073,00;28.705,00;

Ingresos urgentes en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;25.136,00;24.334,00;24.542,00;25.262,00;24.338,00;22.318,00;21.631,00;21.890,00;21.888,00;20.315,00;20.254,00;

Ingresos programados en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;10.396,00;9.015,00;10.597,00;10.115,00;9.961,00;10.002,00;10.277,00;9.767,00;6.120,00;7.758,00;8.451,00;

Urgencias totales en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;117.325,00;118.450,00;122.656,00;125.740,00;130.932,00;131.622,00;132.850,00;136.193,00;105.763,00;130.444,00;145.819,00;

Sesiones oncohematológicas en el hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;15.108,00;14.656,00;12.962,00;12.036,00;13.227,00;15.526,00;15.154,00;15.409,00;13.935,00;15.297,00;15.175,00;

Sesiones de SIDA en el hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;1.414,00;1.280,00;239,00;207,00;208,00;243,00;17,00;0,00;78,00;234,00;342,00;

Sesiones geriátricas en el hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;2.534,00;1.603,00;1.254,00;1.388,00;1.882,00;1.725,00;1.802,00;1.504,00;432,00;536,00;517,00;

Sesiones psiquiátricas en el hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;7.541,00;9.604,00;10.613,00;7.386,00;9.154,00;9.785,00;10.328,00;8.763,00;9.315,00;6.717,00;6.580,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;21.184,00;21.040,00;21.913,00;30.160,00;36.223,00;36.396,00;39.786,00;37.185,00;23.145,00;27.931,00;31.474,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;10.452,00;9.803,00;11.737,00;12.533,00;12.910,00;13.451,00;13.567,00;13.085,00;5.553,00;11.789,00;11.922,00;

Hemodiálisis en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;50,00;58,00;63,00;63,00;64,00;69,00;59,00;60,00;52,00;60,00;60,00;

Hemodiálisis en centros concertados del Hospital Clínico San Carlos;Número;Comunidad de Madrid;167,00;143,00;139,00;138,00;154,00;162,00;146,00;139,00;140,00;145,00;152,00;

Ingresos de hospitalizaciones a domicilio en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;1.529,00;1.668,00;1.688,00;1.745,00;1.647,00;1.687,00;1.738,00;1.591,00;1.083,00;1.546,00;1.552,00;

Estancia media de hospitalizaciones a domicilio en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;12,02;11,28;10,24;9,53;9,60;9,19;9,64;10,16;10,30;8,88;8,75;

Altas de hospitalizaciones a domicilio en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;1.537,00;1.651,00;1.672,00;1.731,00;1.608,00;1.636,00;1.721,00;1.594,00;1.052,00;1.525,00;1.559,00;

Total partos en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;-;-;-;-;-;-;-;1.756,00;1.618,00;1.438,00;1.594,00;

Partos por vía vaginal en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;1.433,00;1.455,00;1.413,00;1.389,00;1.450,00;1.368,00;1.397,00;1.386,00;-;-;-;

Porcentaje de cesáreas en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;-;-;-;-;-;-;-;21,07;21,14;23,09;23,34;

Cesáreas en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;514,00;472,00;455,00;457,00;467,00;464,00;384,00;370,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Clínico San Carlos es la de los distritos Centro, Chamberí y Latina del municipio de Madrid;
