Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital El Escorial;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital El Escorial;Número;Comunidad de Madrid;3.695,00;3.565,00;3.669,00;3.635,00;3.761,00;3.659,00;3.527,00;3.460,00;3.298,00;2.960,00;3.086,00;

Estancia media global en el Hospital El Escorial;Número;Comunidad de Madrid;5,21;5,34;5,24;5,07;5,29;5,74;5,30;5,06;6,19;6,17;5,88;

Total ingresos en el Hospital El Escorial;Número;Comunidad de Madrid;3.701,00;3.575,00;3.661,00;3.644,00;3.765,00;3.657,00;3.533,00;3.441,00;3.309,00;2.951,00;3.100,00;

Ingresos urgentes en el Hospital El Escorial;Número;Comunidad de Madrid;2.736,00;2.804,00;2.823,00;2.798,00;2.884,00;2.808,00;2.643,00;2.536,00;2.690,00;2.197,00;2.236,00;

Ingresos programados en el Hospital El Escorial;Número;Comunidad de Madrid;965,00;771,00;838,00;846,00;881,00;849,00;890,00;905,00;619,00;754,00;864,00;

Urgencias totales en el Hospital El Escorial;Número;Comunidad de Madrid;41.046,00;43.457,00;44.458,00;40.293,00;41.889,00;43.380,00;45.240,00;47.998,00;36.368,00;43.991,00;52.159,00;

Sesiones oncohematológicas en el hospital de día del Hospital El Escorial;Número;Comunidad de Madrid;127,00;135,00;238,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Sesiones geriátrico en el hospital de día del Hospital El Escorial;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;36,00;125,00;246,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital El Escorial;Número;Comunidad de Madrid;444,00;377,00;758,00;728,00;986,00;1.172,00;1.346,00;1.345,00;1.216,00;1.631,00;1.668,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital El Escorial;Número;Comunidad de Madrid;1.153,00;1.531,00;1.599,00;1.650,00;1.763,00;1.939,00;2.231,00;2.787,00;1.541,00;2.303,00;2.274,00;

Total partos en el Hospital El Escorial;Número;Comunidad de Madrid;-;-;-;-;-;-;-;244,00;258,00;232,00;232,00;

Partos por vía vaginal en el Hospital El Escorial;Número;Comunidad de Madrid;206,00;217,00;246,00;221,00;205,00;219,00;219,00;173,00;-;-;-;

Porcentaje de cesáreas en el Hospital El Escorial;Número;Comunidad de Madrid;-;-;-;-;-;-;-;29,10;24,42;25,43;26,72;

Cesáreas en el Hospital El Escorial;Número;Comunidad de Madrid;121,00;108,00;91,00;69,00;79,00;75,00;60,00;71,00;-;-;-;
Notas;
La población asignada al  Hospital Universitario de El Escorial es la de los municipios de Becerril de la Sierra, Cercedilla, Collado Mediano, Colmenarejo, El Escorial,Fresnedillas de la Oliva, Galapagar, Guadarrama, Los Molinos, Navacerrada, Navalagamella, Robledo de Chavela, San Lorenzo de El Escorial, Santa Maria de la Alameda, Valdemaqueda, Valdemorillo, Zarzalejo;
