Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Fundación Jiménez Díaz.;
Serie;Unidad;Ambito;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;29.954,00;29.937,00;28.964,00;29.027,00;30.108,00;29.137,00;28.951,00;25.344,00;26.388,00;27.332,00;

Estancia media global en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;5,49;5,34;5,48;5,63;5,40;5,43;5,48;5,93;5,73;5,15;

Total ingresos en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;29.939,00;30.320,00;28.962,00;29.046,00;30.125,00;29.128,00;28.947,00;25.330,00;26.372,00;27.359,00;

Ingresos urgentes en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;17.405,00;17.989,00;15.876,00;17.240,00;18.191,00;18.063,00;17.885,00;16.380,00;15.893,00;16.422,00;

Ingresos programados en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;12.534,00;12.331,00;13.086,00;11.806,00;11.934,00;11.065,00;11.062,00;8.950,00;10.479,00;10.937,00;

Urgencias totales en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;121.559,00;129.410,00;139.185,00;149.139,00;157.097,00;162.774,00;173.053,00;130.667,00;173.852,00;192.927,00;

Sesiones oncohematológicas en el hospital de día de la Fundación Jiménez Díaz;Número;Comunidad de Madrid;9.747,00;11.317,00;12.025,00;14.239,00;14.417,00;16.743,00;19.533,00;17.292,00;19.118,00;21.090,00;

Sesiones en el hospital de día de SIDA de la Fundación Jiménez Díaz;Número;Comunidad de Madrid;444,00;370,00;375,00;575,00;714,00;925,00;599,00;625,00;625,00;1.114,00;

Sesiones geriátricas en el hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;-;-;-;-;-;14,00;50,00;0,00;29,00;52,00;

Sesiones psiquiátricas en el hospital de día de la Fundación Jiménez Díaz;Número;Comunidad de Madrid;8.361,00;12.778,00;14.295,00;13.637,00;12.467,00;10.245,00;8.406,00;2.108,00;2.276,00;5.954,00;

Sesiones de otras especialidades médicas en el hospital de día de la Fundación Jiménez Díaz;Número;Comunidad de Madrid;51.080,00;52.296,00;63.013,00;68.254,00;66.444,00;59.623,00;57.587,00;48.337,00;62.422,00;65.689,00;

Sesiones de actividades quirúrgicas en el hospital de día de la Fundación Jiménez Díaz;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Hemodiálisis en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;75,00;78,00;76,00;77,00;79,00;77,00;73,00;73,00;72,00;72,00;

Hemodiálisis en centros concertados de la Fundación Jiménez Díaz;Número;Comunidad de Madrid;92,00;96,00;106,00;108,00;113,00;127,00;133,00;141,00;134,00;134,00;

Hemodiálisis domiciliarias de la Fundación Jiménez Díaz;Número;Comunidad de Madrid;-;-;-;-;-;-;4,00;3,00;2,00;1,00;

Total partos en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;-;-;-;-;-;-;1.703,00;1.511,00;1.628,00;1.509,00;

Partos por vía vaginal en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;1.298,00;1.364,00;1.293,00;1.340,00;1.250,00;1.310,00;1.330,00;-;-;-;

Porcentaje de cesáreas en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;-;-;-;-;-;-;21,90;23,23;21,99;20,87;

Cesáreas en la Fundación Jiménez Díaz;Número;Comunidad de Madrid;367,00;387,00;359,00;371,00;394,00;420,00;373,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
