Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital General de Villalba.;
Serie;Unidad;Ambito;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital General de Villalba;Número;Comunidad de Madrid;7.270,00;8.805,00;8.922,00;9.611,00;10.228,00;9.666,00;9.003,00;10.976,00;

Estancia media global en el Hospital General de Villalba;Número;Comunidad de Madrid;4,94;5,15;5,43;5,65;5,38;5,63;5,01;4,58;

Total ingresos en el Hospital General de Villalba;Número;Comunidad de Madrid;7.382,00;8.810,00;8.963,00;9.623,00;10.176,00;9.640,00;8.999,00;11.027,00;

Ingresos urgentes en el Hospital General de Villalba;Número;Comunidad de Madrid;6.089,00;6.729,00;6.733,00;7.195,00;7.804,00;7.308,00;6.660,00;8.345,00;

Ingresos programados en el Hospital General de Villalba;Número;Comunidad de Madrid;1.293,00;2.081,00;2.230,00;2.428,00;2.372,00;2.332,00;2.339,00;2.682,00;

Urgencias totales en el Hospital General de Villalba;Número;Comunidad de Madrid;76.980,00;92.440,00;100.769,00;101.034,00;105.386,00;85.666,00;114.591,00;135.994,00;

Sesiones oncológicas en hospital de día del Hospital General de Villalba;Número;Comunidad de Madrid;1.434,00;2.167,00;2.060,00;3.863,00;4.380,00;4.663,00;5.174,00;6.081,00;

Sesiones geriátricas en hospital de día del Hospital General de Villalba;Número;Comunidad de Madrid;-;-;27,00;23,00;29,00;38,00;14,00;13,00;

Sesiones psiquiátricas en hospital de día del Hospital General de Villalba;Número;Comunidad de Madrid;-;-;2.151,00;4.927,00;4.934,00;3.005,00;3.133,00;3.117,00;

Sesiones de otras especialidades médicas en hospital de día del Hospital General de Villalba;Número;Comunidad de Madrid;6.752,00;12.341,00;13.383,00;12.145,00;15.094,00;13.271,00;16.430,00;17.402,00;

Sesiones de hemodiálisis en el Hospital General de Villalba;Número;Comunidad de Madrid;45,00;50,00;50,00;59,00;67,00;63,00;65,00;63,00;

Sesiones de hemodiálisis en centros concertados con el Hospital General de Villalba;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Total partos en el Hospital General de Villalba;Número;Comunidad de Madrid;-;-;-;-;695,00;675,00;630,00;726,00;

Partos por vía vaginal en el Hospital General de Villalba;Número;Comunidad de Madrid;330,00;503,00;571,00;573,00;564,00;-;-;-;

Porcentaje de cesáreas en el Hospital General de Villalba;Número;Comunidad de Madrid;-;-;-;-;18,85;13,93;18,57;15,84;

Cesáreas en el Hospital General de Villalba;Número;Comunidad de Madrid;80,00;118,00;143,00;135,00;131,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital General de Villalba es la de los municipios de Alpedrete, Becerril de la Sierra, Cercedilla, Collado Mediano, Collado Villlalba, Moralzarzal, Navacerrada.;
