Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital General Universitario Gregorio Marañón;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;49.526,00;48.180,00;47.203,00;48.729,00;49.174,00;47.418,00;46.220,00;47.059,00;42.578,00;42.624,00;42.311,00;

Estancia media global en el Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;7,64;7,75;7,72;7,66;7,48;7,53;7,39;7,19;7,90;7,61;7,56;

Total ingresos en el Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;49.336,00;48.247,00;48.238,00;48.838,00;48.652,00;48.059,00;47.298,00;47.048,00;42.446,00;42.531,00;42.288,00;

Ingresos urgentes en el Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;29.799,00;29.668,00;29.546,00;30.410,00;29.826,00;29.298,00;28.051,00;27.682,00;27.221,00;26.691,00;27.044,00;

Ingresos programados en el Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;19.537,00;18.579,00;18.692,00;18.428,00;18.826,00;18.761,00;19.247,00;19.366,00;15.225,00;15.840,00;15.244,00;

Urgencias totales en el Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;224.698,00;228.120,00;229.365,00;238.637,00;250.249,00;251.479,00;249.695,00;257.514,00;183.663,00;239.076,00;270.319,00;

Sesiones oncohematológicas en el hospital de día del Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;26.925,00;30.303,00;29.559,00;26.774,00;28.225,00;29.782,00;23.666,00;25.629,00;22.441,00;22.520,00;22.990,00;

Sesiones de SIDA en el hospital de día del Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;3.745,00;4.766,00;5.919,00;4.781,00;5.007,00;4.390,00;3.406,00;3.780,00;2.792,00;2.775,00;3.380,00;

Sesiones psiquiátricas en el hospital de día del Hospital Gregorio Marañón;Número;Comunidad de Madrid;3.889,00;3.332,00;2.650,00;2.342,00;3.310,00;2.227,00;2.969,00;3.140,00;2.604,00;2.185,00;2.781,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Gregorio Marañón;Número;Comunidad de Madrid;19.016,00;25.330,00;26.226,00;20.628,00;23.473,00;29.102,00;46.055,00;50.425,00;37.994,00;44.537,00;51.597,00;

Hemodiálisis en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;74,00;87,00;78,00;81,00;78,00;80,00;84,00;83,00;73,00;72,00;69,00;

Hemodiálisis en centros concertados del Hospital Gregorio Marañón;Número;Comunidad de Madrid;205,00;221,00;229,00;212,00;203,00;202,00;197,00;189,00;168,00;143,00;130,00;

Ingresos de hospitalizaciones a domicilio en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;400,00;279,00;280,00;271,00;279,00;238,00;196,00;341,00;1.328,00;1.729,00;2.144,00;

Estancia media de hospitalizaciones a domicilio en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;9,30;11,32;10,91;10,05;11,50;10,15;9,44;11,97;11,48;13,97;11,83;

Altas de hospitalizaciones a domicilio en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;398,00;278,00;282,00;270,00;275,00;244,00;195,00;336,00;1.282,00;1.716,00;2.130,00;

Total partos en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;-;-;-;-;-;-;-;5.027,00;4.923,00;4.674,00;4.413,00;

Partos por vía vaginal en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;4.321,00;4.300,00;4.248,00;4.488,00;4.463,00;4.273,00;4.188,00;-;-;-;-;

Porcentaje de cesáreas en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;-;-;-;-;-;-;-;18,98;19,89;18,42;19,92;

Cesáreas en el Hospital Gregorio Marañón;Número;Comunidad de Madrid;972,00;939,00;988,00;969,00;874,00;912,00;962,00;-;-;-;-;
Notas;
La población asignada al Hospital General Universitario Gregorio Marañón es la de los distritos de Moratalaz, Vicálvaro y Retiro) del municipio de Madrid;
