Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario 12 de Octubre;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021

Altas totales del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;42.129,00;42.428,00;43.999,00;43.876,00;44.601,00;44.704,00;45.035,00;45.452,00;39.829,00;39.429,00;

Estancia media global en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;8,08;7,93;7,27;7,15;7,27;7,07;6,92;6,86;7,27;7,34;

Total ingresos en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;42.256,00;42.375,00;44.032,00;45.333,00;44.586,00;44.739,00;45.053,00;45.358,00;39.669,00;39.587,00;

Ingresos urgentes en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;25.249,00;25.506,00;27.389,00;29.042,00;30.301,00;30.202,00;30.029,00;25.574,00;29.969,00;28.358,00;

Ingresos programados en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;17.007,00;16.869,00;16.643,00;16.291,00;14.285,00;14.537,00;15.024,00;19.784,00;9.700,00;11.229,00;

Urgencias totales en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;226.070,00;231.293,00;230.820,00;237.148,00;246.401,00;255.507,00;257.308,00;273.664,00;206.741,00;262.547,00;

Sesiones oncohematológicas en el hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;22.234,00;20.412,00;21.718,00;21.825,00;25.418,00;28.781,00;27.646,00;28.011,00;24.668,00;26.094,00;

Sesiones psiquiátricas en el hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;0,00;12.349,00;9.268,00;12.371,00;18.214,00;21.465,00;19.820,00;19.517,00;13.543,00;17.267,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;40.062,00;25.099,00;25.082,00;22.831,00;21.227,00;25.289,00;26.207,00;26.835,00;19.610,00;24.108,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;815,00;10.565,00;10.103,00;9.630,00;12.147,00;12.924,00;13.183,00;13.425,00;8.446,00;12.725,00;

Hemodiálisis en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;46,00;56,00;57,00;55,00;53,00;53,00;60,00;65,00;62,00;60,00;

Hemodiálisis en centros concertados del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;111,00;110,00;120,00;133,00;113,00;123,00;129,00;141,00;138,00;132,00;

Ingresos de hospitalizaciones a domicilio en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;267,00;270,00;238,00;255,00;265,00;198,00;218,00;205,00;303,00;100,00;

Estancia media de hospitalizaciones a domicilio en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;8,62;8,53;8,30;8,43;7,86;8,79;8,87;8,71;10,89;12,68;

Altas de hospitalizaciones a domicilio en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;254,00;269,00;229,00;251,00;267,00;196,00;221,00;192,00;305,00;102,00;

Total partos en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;-;-;-;-;-;-;-;3.971,00;3.646,00;3.457,00;

Partos por vía vaginal en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;3.378,00;3.168,00;3.045,00;3.027,00;3.329,00;3.085,00;3.028,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;-;-;-;-;-;-;-;19,94;21,59;23,89;

Cesáreas en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;1.111,00;1.008,00;1.064,00;939,00;922,00;936,00;878,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario 12 de Octubre es la de los distritos de Carabanchel, Villaverde y Usera del municipio de Madrid;
