Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de Fuenlabrada;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;14.881,00;15.053,00;15.104,00;15.553,00;15.835,00;15.859,00;16.299,00;16.286,00;15.648,00;15.206,00;17.191,00;

Estancia media global en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;5,98;5,80;5,88;6,09;6,15;5,71;5,77;5,82;6,21;6,20;5,79;

Total ingresos en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;14.849,00;15.072,00;15.109,00;15.605,00;15.815,00;15.886,00;16.311,00;16.277,00;15.634,00;15.226,00;17.183,00;

Ingresos urgentes en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;11.108,00;11.145,00;11.133,00;11.668,00;11.767,00;11.624,00;11.558,00;11.564,00;11.930,00;10.921,00;12.486,00;

Ingresos programados en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;3.741,00;3.927,00;3.976,00;3.937,00;4.048,00;4.262,00;4.753,00;4.713,00;3.704,00;4.305,00;4.697,00;

Urgencias totales en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;121.243,00;120.917,00;116.174,00;115.740,00;119.326,00;121.901,00;120.076,00;127.232,00;99.790,00;124.229,00;143.953,00;

Sesiones oncohematológicas en hospital de día del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;10.499,00;9.534,00;10.153,00;9.938,00;10.401,00;11.323,00;12.399,00;13.874,00;12.714,00;13.603,00;10.198,00;

Sesiones de otras especialidades médicas en hospital de día del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;5.216,00;6.631,00;6.245,00;8.113,00;8.398,00;9.417,00;9.724,00;12.572,00;12.388,00;15.619,00;17.876,00;

Sesiones de otras actividades quirúrgicas en hospital de día del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;9.646,00;11.056,00;11.203,00;11.201,00;11.566,00;12.802,00;13.403,00;12.076,00;7.158,00;8.714,00;10.227,00;

Total partos en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;-;-;-;-;-;-;-;1.456,00;1.332,00;1.145,00;1.162,00;

Partos por vía vaginal en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1.815,00;1.652,00;1.625,00;1.605,00;1.532,00;1.352,00;1.270,00;1.212,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;-;-;-;-;-;-;-;16,76;16,97;17,90;19,45;

Cesáreas en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;410,00;338,00;351,00;288,00;306,00;276,00;228,00;244,00;-;-;-;
Notas;
La población asignada al Hospital Universitario de Fuenlabrada son : Fuenlabrada, Humanes y Moraleja de Enmedio,;
