Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de La Princesa;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario de La Princesa;Número;Comunidad de Madrid;14.690,00;14.455,00;14.989,00;15.012,00;15.144,00;15.755,00;15.898,00;15.301,00;13.888,00;14.390,00;14.988,00;

Estancia media global en el Hospital Universitario de La Princesa;Número;Comunidad de Madrid;9,17;9,20;8,98;9,04;8,54;7,82;7,63;7,72;8,15;8,06;7,81;

Total ingresos en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;14.691,00;14.459,00;14.980,00;14.979,00;15.163,00;15.750,00;15.885,00;15.268,00;13.940,00;14.383,00;14.971,00;

Ingresos urgentes en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;10.536,00;10.505,00;10.650,00;10.757,00;11.268,00;11.694,00;11.828,00;10.993,00;11.228,00;10.754,00;10.939,00;

Ingresos programados en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;4.155,00;3.954,00;4.330,00;4.222,00;3.895,00;4.056,00;4.057,00;4.275,00;2.712,00;3.629,00;4.032,00;

Urgencias totales en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;86.484,00;87.275,00;89.690,00;92.061,00;96.458,00;99.229,00;101.520,00;105.130,00;79.144,00;101.801,00;112.213,00;

Sesiones oncohematológicas en el hospital de día del Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;10.701,00;7.228,00;8.296,00;8.714,00;9.592,00;8.642,00;8.161,00;7.464,00;3.548,00;7.222,00;8.032,00;

Sesiones de SIDA en el hospital de día del Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;220,00;126,00;101,00;257,00;65,00;18,00;12,00;176,00;77,00;46,00;32,00;

Sesiones psiquiátricas en el hospital de día del Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;4.187,00;11.866,00;12.170,00;12.573,00;12.960,00;4.022,00;3.100,00;3.320,00;703,00;2.640,00;2.598,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;13.356,00;17.776,00;17.268,00;18.294,00;20.578,00;17.930,00;19.890,00;20.204,00;9.902,00;19.187,00;30.122,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;2.737,00;2.571,00;3.052,00;3.114,00;3.459,00;4.521,00;5.483,00;5.525,00;3.238,00;5.258,00;5.526,00;

Hemodiálisis en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;59,00;70,00;71,00;74,00;76,00;76,00;76,00;76,00;76,00;78,00;77,00;

Hemodiálisis en centros concertados del Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;95,00;75,00;72,00;77,00;92,00;93,00;75,00;87,00;102,00;91,00;101,00;

Hemodiálisis domiciliarias del Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;3,00;

Ingresos de hospitalizaciones a domicilio en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;182,00;242,00;-;195,00;-;-;-;-;-;-;-;

Estancia media de hospitalizaciones a domicilio en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;45,58;44,59;-;8,64;-;-;-;-;-;-;-;

Altas de hospitalizaciones a domicilio en el Hospital Universitario  de La Princesa;Número;Comunidad de Madrid;146,00;193,00;-;188,00;-;-;-;-;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
