Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de Móstoles;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;15.626,00;13.940,00;13.300,00;13.394,00;13.076,00;12.688,00;12.221,00;13.054,00;11.344,00;11.243,00;11.959,00;

Estancia media global en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;6,76;6,76;6,53;6,69;6,57;6,72;6,60;6,42;6,90;6,65;6,37;

Total ingresos en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;15.569,00;14.020,00;13.292,00;13.391,00;13.072,00;12.693,00;12.225,00;13.049,00;11.288,00;11.283,00;11.994,00;

Ingresos urgentes en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;11.202,00;9.815,00;9.268,00;9.509,00;9.163,00;9.287,00;8.960,00;9.625,00;9.018,00;8.553,00;109.351,00;

Ingresos programados en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;4.367,00;4.205,00;4.024,00;3.882,00;3.909,00;3.406,00;3.265,00;3.424,00;2.270,00;2.730,00;3.172,00;

Urgencias totales en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;99.997,00;87.485,00;85.927,00;88.566,00;92.289,00;93.494,00;93.996,00;98.298,00;77.450,00;100.408,00;109.351,00;

Sesiones oncológicas en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;9.492,00;6.952,00;4.669,00;5.074,00;4.240,00;4.430,00;4.992,00;5.406,00;5.086,00;5.442,00;5.479,00;

Sesiones psiquiátricos en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;4.138,00;6.039,00;6.993,00;6.843,00;6.705,00;6.133,00;5.584,00;5.648,00;1.692,00;2.030,00;3.952,00;

Sesiones de otras especialidades médicas en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;-;1.884,00;3.385,00;2.245,00;2.078,00;2.173,00;2.302,00;2.594,00;2.366,00;2.623,00;3.170,00;

Sesiones de otras actividades quirúrgicas en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;-;-;2,00;0,00;0,00;0,00;0,00;6.797,00;3.922,00;5.315,00;6.704,00;

Ingresos de hospitalización a domicilio del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;409,00;360,00;321,00;289,00;313,00;303,00;296,00;307,00;326,00;319,00;311,00;

Estancia media de hospitalización a domicilio del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;10,50;10,10;9,65;13,76;12,06;10,17;11,45;11,47;14,23;15,31;15,74;

Altas de hospitalización a domicilio del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;400,00;375,00;321,00;290,00;311,00;308,00;293,00;305,00;330,00;315,00;308,00;

Total partos en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;-;-;-;-;-;-;-;855,00;792,00;779,00;700,00;

Partos por vía vaginal en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;1.078,00;771,00;759,00;771,00;675,00;637,00;620,00;666,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;-;-;-;-;-;-;-;22,11;21,46;23,23;24,43;

Cesáreas en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;325,00;226,00;226,00;204,00;192,00;168,00;177,00;189,00;-;-;-;
Notas;
La población asignada al Hospital Universitario de Móstoles es la de los municipios de Móstoles y Arroyomolinos;
