Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de Torrejón;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;9.455,00;11.316,00;13.185,00;12.423,00;11.893,00;12.227,00;12.042,00;11.871,00;10.042,00;11.078,00;11.267,00;

Estancia media global en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;4,16;4,46;3,98;4,21;4,27;4,27;4,30;4,27;5,15;4,74;4,63;

Total ingresos en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;10.822,00;12.694,00;14.576,00;12.306,00;12.141,00;12.242,00;11.998,00;11.164,00;10.328,00;11.778,00;12.626,00;

Ingresos urgentes en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;8.171,00;9.028,00;10.087,00;8.400,00;8.574,00;8.697,00;8.558,00;7.876,00;8.254,00;9.526,00;9.689,00;

Ingresos programados en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;2.651,00;3.666,00;4.489,00;3.906,00;3.567,00;3.545,00;3.440,00;3.288,00;2.074,00;2.252,00;2.937,00;

Urgencias totales en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;89.892,00;96.942,00;104.524,00;102.365,00;104.870,00;105.171,00;109.665,00;112.045,00;72.629,00;110.758,00;125.414,00;

Sesiones oncohematológicas en hospital de día del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;10.009,00;8.846,00;10.710,00;8.438,00;7.493,00;8.700,00;7.647,00;3.705,00;190,00;4.533,00;4.602,00;

Sesiones psiquiátricas en hospital de día del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;-;1.265,00;2.528,00;2.342,00;2.063,00;2.017,00;1.460,00;1.290,00;341,00;755,00;1.407,00;

Sesiones de otras especialidades médicas en hospital de día del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;-;11.200,00;17.626,00;14.057,00;15.076,00;15.263,00;15.019,00;7.636,00;1.176,00;13.602,00;12.289,00;

Sesiones de hemodiálisis en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;55,00;62,00;70,00;74,00;79,00;83,00;83,00;78,00;6,00;71,00;67,00;

Sesiones de hemodiálisis en centros concertados con el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Ingresos de hospitalización a domicilio del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;590,00;734,00;709,00;681,00;746,00;717,00;782,00;1.017,00;1.861,00;1.720,00;1.508,00;

Estancia media de hospitalización a domicilio del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;9,65;8,27;8,46;8,84;9,54;8,18;8,33;7,82;8,94;8,79;10,24;

Altas de hospitalizaciones a domicilio del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;587,00;731,00;709,00;674,00;761,00;712,00;781,00;927,00;1.889,00;1.775,00;1.523,00;

Total partos en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;-;-;-;-;-;-;-;2.231,00;1.646,00;2.192,00;1.979,00;

Partos por vía vaginal en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;1.366,00;1.669,00;2.004,00;1.926,00;1.986,00;2.062,00;1.929,00;1.873,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;-;-;-;-;-;-;-;16,05;18,71;18,34;18,44;

Cesáreas en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;257,00;322,00;445,00;439,00;434,00;381,00;391,00;358,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario deTorrejón es la de los municipios de Ajalvir, Daganzo, Fresno de Torote, Torrejón de Ardoz y Ribatejada.;
