Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario del Henares;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario del Henares;Número;Comunidad de Madrid;9.933,00;9.847,00;10.118,00;10.216,00;10.759,00;11.095,00;11.338,00;11.532,00;9.579,00;10.188,00;11.226,00;

Estancia media global en el Hospital Universitario del Henares;Número;Comunidad de Madrid;5,72;6,08;6,03;6,22;6,16;6,16;6,27;6,12;7,02;6,66;6,19;

Total ingresos en el Hospital Universitario del Henares;Número;Comunidad de Madrid;9.968,00;9.844,00;10.124,00;10.228,00;10.778,00;11.108,00;11.367,00;11.471,00;9.620,00;10.155,00;11.258,00;

Ingresos urgentes en el Hospital Universitario del Henares;Número;Comunidad de Madrid;7.530,00;7.182,00;7.669,00;7.771,00;8.330,00;8.613,00;8.705,00;8.770,00;7.944,00;8.173,00;8.906,00;

Ingresos programados en el Hospital Universitario del Henares;Número;Comunidad de Madrid;2.438,00;2.662,00;2.455,00;2.457,00;2.448,00;2.495,00;2.662,00;2.701,00;1.676,00;1.982,00;2.352,00;

Urgencias totales en el Hospital Universitario del Henares;Número;Comunidad de Madrid;75.952,00;76.323,00;77.897,00;79.879,00;84.440,00;83.565,00;81.932,00;84.351,00;66.773,00;87.400,00;100.515,00;

Sesiones oncohematológicas en hospital de día del Hospital Universitario del Henares;Número;Comunidad de Madrid;6.201,00;3.583,00;3.029,00;3.026,00;3.946,00;3.938,00;4.231,00;4.117,00;4.139,00;4.098,00;4.325,00;

Sesiones geriatría en el hospital de día del Hospital Universitario del Henares;Número;Comunidad de Madrid;0,00;1,00;5,00;2,00;2,00;2,00;6,00;14,00;6,00;15,00;18,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario del Henares;Número;Comunidad de Madrid;4.649,00;6.666,00;7.943,00;11.763,00;14.314,00;15.564,00;17.512,00;19.273,00;13.669,00;17.086,00;19.256,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Universitario del Henares;Número;Comunidad de Madrid;4.826,00;4.733,00;5.216,00;5.281,00;4.760,00;5.046,00;4.975,00;5.088,00;2.966,00;3.204,00;4.010,00;

Sesiones de hemodiálisis en el Hospital Universitario del Henares;Número;Comunidad de Madrid;48,00;51,00;58,00;58,00;62,00;67,00;68,00;74,00;74,00;63,00;69,00;

Sesiones de hemodiálisis en centros concertados con el Hospital Universitario del Henares;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;2,00;1,00;0,00;

Total partos en el Hospital Universitario del Henares;Número;Comunidad de Madrid;-;-;-;-;-;-;-;716,00;609,00;553,00;516,00;

Partos por vía vaginal en el Hospital Universitario del Henares;Número;Comunidad de Madrid;997,00;856,00;759,00;744,00;730,00;635,00;632,00;563,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario del Henares;Número;Comunidad de Madrid;-;-;-;-;-;-;-;21,37;19,54;19,53;21,51;

Cesáreas en el Hospital Universitario del Henares;Número;Comunidad de Madrid;264,00;219,00;255,00;223,00;186,00;229,00;158,00;153,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario del Henares es la de los municipios de Coslada, San Fernando de Henares, Mejorada del Campo, Velilla de San Antonio, Loeches.;
