Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario del Tajo;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario del Tajo;Número;Comunidad de Madrid;4.554,00;4.730,00;4.663,00;4.886,00;4.876,00;4.732,00;4.692,00;4.415,00;4.153,00;4.131,00;4.485,00;

Estancia media global en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;6,16;6,03;6,25;6,22;6,07;6,08;5,92;6,03;6,82;6,65;6,06;

Total ingresos en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;4.575,00;4.727,00;4.670,00;4.899,00;4.867,00;4.743,00;4.687,00;4.504,00;4.146,00;4.126,00;4.517,00;

Ingresos urgentes en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;3.920,00;3.931,00;3.963,00;4.270,00;4.268,00;4.240,00;4.084,00;3.809,00;3.630,00;3.565,00;3.984,00;

Ingresos programados en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;655,00;796,00;707,00;629,00;599,00;503,00;603,00;695,00;516,00;561,00;533,00;

Urgencias totales en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;48.109,00;50.136,00;51.843,00;56.316,00;58.652,00;58.890,00;59.888,00;62.157,00;48.679,00;62.990,00;68.814,00;

Sesiones oncohematológicas en el hospital de día del Hospital Universitario del Tajo;Número;Comunidad de Madrid;2.167,00;1.909,00;1.548,00;1.888,00;1.249,00;1.240,00;1.068,00;879,00;1.021,00;991,00;776,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario del Tajo;Número;Comunidad de Madrid;2.699,00;2.984,00;3.913,00;3.711,00;3.800,00;4.558,00;4.913,00;5.524,00;3.489,00;4.428,00;4.382,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Universitario del Tajo;Número;Comunidad de Madrid;3.124,00;3.727,00;3.455,00;3.668,00;3.339,00;3.169,00;3.326,00;3.150,00;2.470,00;3.278,00;3.664,00;

Sesiones de hemodiálisis en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;30,00;31,00;31,00;35,00;38,00;43,00;43,00;44,00;39,00;39,00;40,00;

Sesiones de geriátrico en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;4,00;1,00;3,00;

Sesiones de hemodiálisis en centros concertados con el Hospital Universitario del Tajo;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Total partos en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;-;-;-;-;-;-;-;591,00;531,00;476,00;496,00;

Partos por vía vaginal en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;607,00;537,00;599,00;569,00;548,00;520,00;476,00;462,00;-;-;-;

Porcentaje cesáreas en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;-;-;-;-;-;-;-;21,83;15,82;13,24;15,73;

Cesáreas en el Hospital Universitario del Tajo;Número;Comunidad de Madrid;123,00;158,00;129,00;116,00;116,00;110,00;122,00;129,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario del Tajo es la de los municipios de Aranjuez, Colmenar de Oreja, Chinchón, Valdelaguna, Villaconejos.;
