Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Fundación Alcorcón;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;17.870,00;16.561,00;15.948,00;16.066,00;16.086,00;16.366,00;16.563,00;16.314,00;14.452,00;14.335,00;15.422,00;

Estancia media global en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;6,08;6,21;6,09;6,21;6,13;5,86;5,91;5,79;6,42;6,57;6,04;

Total ingresos en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;17.793,00;16.561,00;15.973,00;16.050,00;16.102,00;16.387,00;16.548,00;16.290,00;14.458,00;14.299,00;15.455,00;

Ingresos urgentes en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;12.203,00;11.341,00;11.062,00;11.279,00;11.311,00;11.401,00;11.389,00;11.185,00;10.678,00;10.132,00;10.748,00;

Ingresos programados en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;5.590,00;5.220,00;4.911,00;4.771,00;4.791,00;4.986,00;5.159,00;5.105,00;3.780,00;4.167,00;4.707,00;

Urgencias totales en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;98.731,00;93.797,00;94.331,00;99.962,00;104.228,00;103.437,00;103.722,00;105.176,00;80.259,00;101.579,00;116.275,00;

Sesiones oncológicas en hospital de día del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;7.054,00;6.661,00;6.550,00;5.402,00;4.776,00;5.443,00;5.969,00;6.384,00;5.912,00;6.095,00;7.090,00;

Sesiones de SIDA en hospital de día del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;63,00;67,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Sesiones psiquiátricas en hospital de día del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;1,00;236,00;147,00;133,00;108,00;113,00;117,00;74,00;79,00;74,00;54,00;

Sesiones de otras especialidades médicas en hospital de día del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;8.185,00;7.579,00;7.744,00;8.150,00;6.980,00;6.749,00;7.234,00;7.386,00;6.190,00;6.906,00;7.056,00;

Sesiones de otras actividades quirúrgicas en hospital de día del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;6.749,00;6.814,00;6.991,00;7.188,00;7.882,00;8.644,00;9.105,00;9.641,00;3.919,00;4.278,00;5.190,00;

Sesiones de hemodiálisis en hospital de día del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;63,00;65,00;65,00;62,00;62,00;62,00;64,00;64,00;62,00;65,00;65,00;

Sesiones de hemodiálisis en centros concertados del Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;92,00;79,00;106,00;108,00;115,00;123,00;125,00;122,00;129,00;133,00;126,00;

Total partos en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;-;-;-;-;-;-;-;1.189,00;1.097,00;987,00;982,00;

Partos por vía vaginal en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;1.564,00;1.179,00;1.223,00;1.323,00;1.259,00;1.110,00;1.104,00;1.005,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;-;-;-;-;-;-;-;15,48;16,41;17,33;16,29;

Cesáreas en el Hospital Universitario Fundación Alcorcón;Número;Comunidad de Madrid;389,00;301,00;301,00;236,00;238,00;183,00;183,00;184,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario Fundación Alcorcón es la del municipio de Alcorcón;
