Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Infanta Cristina;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;8.975,00;8.769,00;9.160,00;9.297,00;8.994,00;9.205,00;8.925,00;9.025,00;8.646,00;8.665,00;8.845,00;

Estancia media global en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;4,71;4,90;4,80;4,92;4,94;4,80;5,09;5,15;5,69;5,70;5,70;

Total ingresos en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;8.953,00;8.783,00;9.167,00;9.293,00;8.990,00;9.208,00;8.902,00;9.045,00;8.656,00;8.660,00;8.860,00;

Ingresos urgentes en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;6.658,00;6.365,00;6.869,00;7.071,00;6.879,00;7.102,00;6.895,00;7.106,00;7.159,00;7.139,00;7.245,00;

Ingresos programados en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;2.295,00;2.418,00;2.298,00;2.222,00;2.111,00;2.106,00;2.007,00;1.939,00;1.497,00;1.521,00;1.615,00;

Urgencias totales en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;90.602,00;91.030,00;92.466,00;98.437,00;99.860,00;102.280,00;99.954,00;103.872,00;80.002,00;103.744,00;114.379,00;

Sesiones oncohematológicas en el hospital de día del Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;3.634,00;2.503,00;2.434,00;2.663,00;2.488,00;2.490,00;2.621,00;2.567,00;2.683,00;2.985,00;3.252,00;

Sesiones de SIDA en el hospital de día del Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;9,00;8,00;1,00;0,00;1,00;7,00;0,00;11,00;1,00;0,00;0,00;

Sesiones geriátricas en el hospital de día del Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;6,00;11,00;6,00;3,00;0,00;0,00;2,00;10,00;0,00;1,00;2,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;5.912,00;7.582,00;8.412,00;9.729,00;10.097,00;9.020,00;7.411,00;5.729,00;3.865,00;0,00;0,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;5.049,00;4.705,00;4.780,00;4.778,00;5.369,00;5.113,00;5.286,00;5.211,00;3.620,00;4.079,00;4.438,00;

Sesiones de hemodiálisis en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;55,00;63,00;62,00;57,00;64,00;66,00;67,00;68,00;65,00;68,00;68,00;

Total partos en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;-;-;-;-;-;-;-;1.336,00;1.238,00;1.087,00;1.075,00;

Partos por vía vaginal en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;1.606,00;1.473,00;1.407,00;1.509,00;1.312,00;1.229,00;1.143,00;1.079,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;-;-;-;-;-;-;-;19,24;20,44;21,44;19,72;

Cesáreas en el Hospital Universitario Infanta Cristina;Número;Comunidad de Madrid;430,00;361,00;399,00;362,00;343,00;327,00;290,00;257,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario Infanta Cristina es la de los municipios de Parla, Torrejón de Velasco, Torrejón de la Calzada, Batres, Cubas de la Sagra, Casarrubuelos, Serranillos del Valle y Griñón.;
