Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Infanta Elena;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;6.876,00;7.513,00;7.935,00;9.012,00;9.561,00;10.104,00;10.585,00;10.416,00;8.935,00;8.967,00;10.801,00;

Estancia media global en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;4,55;4,61;4,62;4,76;4,85;4,81;4,54;4,96;5,72;5,43;4,72;

Total ingresos en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;6.619,00;7.620,00;8.038,00;9.015,00;9.573,00;10.118,00;10.575,00;10.430,00;8.899,00;8.974,00;10.939,00;

Ingresos urgentes en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;5.481,00;6.249,00;6.431,00;7.264,00;7.057,00;7.352,00;7.601,00;7.411,00;6.477,00;6.668,00;8.034,00;

Ingresos programados en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1.138,00;1.371,00;1.607,00;1.751,00;2.516,00;2.766,00;2.974,00;3.019,00;2.422,00;2.306,00;2.905,00;

Urgencias totales en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;81.024,00;86.251,00;88.812,00;96.847,00;106.371,00;110.137,00;113.014,00;120.180,00;84.325,00;111.028,00;134.896,00;

Sesiones oncohematológicas en el hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;3.112,00;3.000,00;3.142,00;3.774,00;4.263,00;4.110,00;4.733,00;5.091,00;4.396,00;4.909,00;5.578,00;

Sesiones geriátricas en el hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;4,00;23,00;0,00;5,00;8,00;3,00;1,00;8,00;8,00;37,00;45,00;

Sesiones psiquiátricas en el hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;257,00;48,00;0,00;0,00;1.935,00;6.997,00;5.614,00;5.429,00;2.910,00;3.829,00;3.337,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;2.564,00;11.409,00;13.182,00;14.151,00;16.973,00;14.989,00;16.450,00;17.983,00;12.751,00;15.226,00;20.609,00;

Sesiones de hemodiálisis en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;23,00;23,00;29,00;34,00;44,00;47,00;57,00;60,00;55,00;56,00;58,00;

Sesiones de hemodiálisis en centros concertados con el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Ingresos de hospitalización a domicilio del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;-;-;-;-;-;153,00;162,00;209,00;321,00;377,00;442,00;

Estancia media de hospitalización a domicilio del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;-;-;-;-;-;12,15;12,47;10,22;9,46;9,04;8,00;

Altas de hospitalización a domicilio del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;-;-;-;-;-;161,00;169,00;212,00;325,00;383,00;453,00;

Total partos en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;-;-;-;-;-;-;-;1.099,00;1.006,00;987,00;938,00;

Partos por vía vaginal en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1.177,00;1.119,00;1.066,00;1.060,00;1.041,00;1.025,00;945,00;879,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;-;-;-;-;-;-;-;20,02;19,68;18,54;19,40;

Cesáreas en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;240,00;231,00;257,00;210,00;178,00;196,00;235,00;220,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario Infanta Elena es la de los municipios de Valdemoro, Ciempozuelos,Titulcia y San Martín de la Vega;
