Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Infanta Leonor;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;12.663,00;12.365,00;12.563,00;13.572,00;13.647,00;15.427,00;15.759,00;15.854,00;15.929,00;16.103,00;17.165,00;

Estancia media global en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;5,51;6,14;5,95;5,63;5,57;6,85;6,83;6,92;6,97;7,10;6,87;

Total ingresos en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;12.670,00;12.376,00;12.542,00;13.597,00;13.625,00;15.483,00;15.768,00;16.012,00;15.902,00;16.161,00;17.163,00;

Ingresos urgentes en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;11.054,00;10.830,00;9.449,00;10.410,00;10.257,00;11.381,00;11.826,00;12.172,00;13.494,00;13.052,00;13.891,00;

Ingresos programados en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;1.616,00;1.546,00;3.093,00;3.187,00;3.368,00;4.102,00;3.942,00;3.840,00;2.408,00;3.109,00;3.272,00;

Urgencias totales en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;108.406,00;110.262,00;114.014,00;121.633,00;127.851,00;133.284,00;134.603,00;140.117,00;111.267,00;155.476,00;182.892,00;

Sesiones oncohematológicas en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;7.714,00;3.957,00;9.149,00;9.398,00;9.175,00;9.736,00;9.706,00;9.894,00;9.216,00;10.801,00;12.230,00;

Sesiones de SIDA en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;6,00;31,00;24,00;19,00;50,00;40,00;31,00;42,00;28,00;33,00;8,00;

Sesiones psiquiátricas en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;5.844,00;6.808,00;7.333,00;7.603,00;7.555,00;7.425,00;6.695,00;7.074,00;6.656,00;6.859,00;7.095,00;

Sesiones de otras especialidades médicas en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;11.900,00;16.747,00;13.785,00;15.901,00;17.034,00;16.929,00;18.159,00;19.376,00;14.794,00;16.678,00;18.256,00;

Sesiones de otras actividades quirúrgicas en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;5.804,00;7.247,00;5.854,00;6.409,00;6.673,00;7.534,00;8.602,00;8.996,00;5.170,00;7.208,00;8.292,00;

Sesiones de hemodiálisis en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;72,00;76,00;80,00;82,00;86,00;89,00;98,00;97,00;93,00;91,00;97,00;

Sesiones de hemodiálisis en centros concertados con el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;3,00;4,00;5,00;11,00;25,00;34,00;27,00;25,00;40,00;42,00;50,00;

Sesiones de hemodiálisis domiciliarias en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;5,00;6,00;5,00;

Ingresos de hospitalización a domicilio del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;-;-;207,00;316,00;404,00;474,00;518,00;571,00;688,00;737,00;1.060,00;

Estancia media de hospitalización a domicilio del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;-;-;9,12;11,34;11,39;11,81;13,22;13,60;13,74;14,93;11,88;

Altas de hospitalización a domicilio del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;-;-;195,00;316,00;398,00;468,00;515,00;578,00;670,00;751,00;1.040,00;

Total partos en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;-;-;-;-;-;-;-;2.036,00;1.758,00;1.771,00;1.846,00;

Partos por vía vaginal en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;1.899,00;1.682,00;1.652,00;1.729,00;1.709,00;1.695,00;1.656,00;1.674,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;-;-;-;-;-;-;-;17,78;20,71;21,12;19,93;

Cesáreas en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;466,00;434,00;453,00;446,00;443,00;383,00;406,00;362,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario Infanta Leonor es la de los distritos de Villa de Vallecas y Puente de Vallecas del municipio de Madrid.;
;
A partir del año 2017 se incluyen los datos del Hospital Virgen de la Torre.;
