Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario La Paz;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021

Altas totales del Hospital Universitario La Paz;Número;Comunidad de Madrid;44.950,00;43.789,00;46.779,00;46.259,00;45.737,00;47.981,00;48.435,00;48.372,00;44.227,00;44.865,00;

Estancia media global en el Hospital Universitario La Paz;Número;Comunidad de Madrid;7,84;7,57;7,29;7,47;7,29;7,06;7,03;6,97;7,10;6,93;

Total ingresos en el Hospital Universitario La Paz;Número;Comunidad de Madrid;47.368,00;46.360,00;46.758,00;46.286,00;47.116,00;48.151,00;48.945,00;48.749,00;44.190,00;44.948,00;

Ingresos urgentes en el Hospital Universitario La Paz;Número;Comunidad de Madrid;29.654,00;29.371,00;29.673,00;29.460,00;31.567,00;32.798,00;30.789,00;30.161,00;28.266,00;27.301,00;

Ingresos programados en el Hospital Universitario La Paz;Número;Comunidad de Madrid;17.714,00;16.989,00;17.085,00;16.826,00;15.549,00;15.353,00;18.156,00;18.588,00;15.924,00;17.647,00;

Urgencias totales en el Hospital Universitario La Paz;Número;Comunidad de Madrid;205.961,00;209.233,00;211.031,00;218.784,00;229.930,00;229.351,00;229.291,00;237.700,00;180.412,00;218.238,00;

Sesiones oncohematológicas en el hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;26.738,00;31.395,00;19.691,00;26.712,00;36.261,00;30.693,00;31.570,00;32.324,00;29.265,00;29.290,00;

Sesiones en el hospital de día de SIDA del Hospital Universitario La Paz;Número;Comunidad de Madrid;1.176,00;1.170,00;1.444,00;1.212,00;1.439,00;1.113,00;1.460,00;1.205,00;786,00;916,00;

Sesiones geriátricas en el hospital de día en el Hospital Universitario La Paz;Número;Comunidad de Madrid;1.315,00;1.333,00;1.508,00;1.433,00;1.350,00;1.262,00;1.061,00;1.292,00;305,00;250,00;

Sesiones psiquiátricas en el hospital de día en el Hospital Universitario La Paz;Número;Comunidad de Madrid;0,00;0,00;10.399,00;10.525,00;13.591,00;10.856,00;6.883,00;9.882,00;7.325,00;9.244,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;30.474,00;29.866,00;46.942,00;50.247,00;37.922,00;33.707,00;33.355,00;35.719,00;25.030,00;27.561,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;7.259,00;7.862,00;14.042,00;11.510,00;11.057,00;8.063,00;-;-;-;-;

Hemodiálisis en el Hospital Universitario La Paz;Número;Comunidad de Madrid;76,00;69,00;79,00;86,00;97,00;93,00;72,00;77,00;69,00;72,00;

Hemodiálisis en centros concertados del Hospital Universitario La Paz;Número;Comunidad de Madrid;147,00;152,00;154,00;166,00;173,00;186,00;182,00;204,00;157,00;147,00;

Ingresos de hospitalizaciones a domicilio en el Hospital Universitario La Paz;Número;Comunidad de Madrid;325,00;333,00;334,00;298,00;299,00;235,00;220,00;146,00;138,00;549,00;

Estancia media de hospitalizaciones a domicilio en el Hospital Universitario La Paz;Número;Comunidad de Madrid;9,93;9,75;9,13;8,52;9,14;8,72;8,66;9,90;10,32;13,71;

Altas de hospitalizaciones a domicilio en el Hospital Universitario La Paz;Número;Comunidad de Madrid;327,00;319,00;341,00;292,00;290,00;225,00;212,00;154,00;139,00;541,00;

Total partos en el Hospital Universitario La Paz;Número;Comunidad de Madrid;-;-;-;-;-;-;-;5.426,00;5.170,00;4.893,00;

Partos por vía vaginal en el Hospital Universitario La Paz;Número;Comunidad de Madrid;4.562,00;4.238,00;4.113,00;4.212,00;4.162,00;3.761,00;3.830,00;3.928,00;-;-;

Porcentaje de cesáreas en el Hospital Universitario La Paz;Número;Comunidad de Madrid;-;-;-;-;-;-;-;27,61;27,54;26,71;

Cesáreas en el Hospital Universitario La Paz;Número;Comunidad de Madrid;1.680,00;1.472,00;1.494,00;1.436,00;1.509,00;1.395,00;1.530,00;1.498,00;-;-;
Notas;
A partir del año 2014 los datos del Hospital Carlos III se han totalizado con los del Hospital Universitario La Paz.;
;
Sesiones de hemodiálisis: paciente/mes.;
