Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Puerta de Hierro Majadahonda;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;25.666,00;25.051,00;25.835,00;25.771,00;25.944,00;25.874,00;26.083,00;26.313,00;24.485,00;24.573,00;26.433,00;

Estancia media global en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;7,38;7,25;6,99;6,78;6,72;6,74;6,75;6,92;7,28;7,42;7,05;

Total ingresos en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;25.669,00;25.091,00;25.774,00;25.799,00;25.910,00;25.925,00;26.048,00;26.349,00;24.454,00;23.762,00;26.457,00;

Ingresos urgentes en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;21.038,00;18.590,00;19.181,00;22.028,00;22.308,00;22.384,00;22.537,00;22.918,00;21.563,00;20.663,00;23.005,00;

Ingresos programados en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;4.631,00;6.501,00;6.593,00;3.771,00;3.602,00;3.541,00;3.511,00;3.431,00;2.891,00;3.099,00;3.452,00;

Urgencias totales en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;148.723,00;151.809,00;154.328,00;151.262,00;160.186,00;164.620,00;166.246,00;174.416,00;136.400,00;173.643,00;195.605,00;

Sesiones oncohematológicas en el hospital de día del Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;11.171,00;10.897,00;12.316,00;13.018,00;12.799,00;14.074,00;16.365,00;16.435,00;15.769,00;15.737,00;15.456,00;

Sesiones psiquiátricas en el hospital de día del Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;11.416,00;8.438,00;2.854,00;2.840,00;3.739,00;3.106,00;2.015,00;2.225,00;3.608,00;5.075,00;3.934,00;

Sesiones de otras especialidades médicas en el hospital de día del Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;21.183,00;22.569,00;24.735,00;23.880,00;38.747,00;44.110,00;44.282,00;49.147,00;31.107,00;31.748,00;39.707,00;

Sesiones de otras actividades quirúrgicas en el hospital de día del Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;11.540,00;10.734,00;11.587,00;11.855,00;12.322,00;12.837,00;13.329,00;13.946,00;10.879,00;11.434,00;13.450,00;

Hemodiálisis en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;74,00;81,00;83,00;80,00;81,00;82,00;100,00;122,00;105,00;97,00;95,00;

Hemodiálisis en centros concertados del Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;185,00;135,00;150,00;142,00;102,00;97,00;122,00;106,00;102,00;103,00;100,00;

Total partos en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;-;-;-;-;-;-;-;2.831,00;2.590,00;2.621,00;2.540,00;

Partos por vía vaginal en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;2.695,00;2.511,00;2.535,00;2.432,00;2.394,00;2.290,00;2.355,00;2.327,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;-;-;-;-;-;-;-;17,80;17,88;17,93;17,44;

Cesáreas en el Hospital Universitario Puerta de Hierro Majadahonda;Número;Comunidad de Madrid;631,00;589,00;662,00;622,00;604,00;594,00;561,00;504,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
