Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Actividad asistencial. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Severo Ochoa;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Altas totales del Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;15.024,00;14.585,00;14.260,00;14.765,00;15.370,00;15.809,00;15.795,00;16.064,00;13.886,00;13.848,00;15.061,00;

Estancia media global en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;7,09;7,42;7,65;7,40;7,05;6,84;6,80;6,89;7,14;6,71;6,22;

Total ingresos en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;15.023,00;14.616,00;14.237,00;14.791,00;15.388,00;15.807,00;15.835,00;16.005,00;13.860,00;13.826,00;15.119,00;

Ingresos urgentes en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;10.955,00;11.132,00;10.990,00;11.447,00;11.698,00;11.933,00;11.842,00;11.972,00;11.079,00;10.613,00;11.456,00;

Ingresos programados en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;4.068,00;3.484,00;3.247,00;3.344,00;3.690,00;3.874,00;3.993,00;4.033,00;2.781,00;3.213,00;3.663,00;

Urgencias totales en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;103.471,00;106.335,00;107.430,00;110.808,00;111.637,00;110.832,00;109.048,00;112.096,00;83.248,00;104.743,00;120.849,00;

Sesiones oncohematológicas en hospital de día del Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;6.768,00;7.830,00;6.462,00;6.929,00;7.683,00;8.206,00;7.909,00;8.736,00;8.112,00;8.185,00;8.060,00;

Sesiones de SIDA del Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;13,00;90,00;-;-;-;-;-;-;-;-;-;

Sesiones de otras especialidades médicas en hospital de día del Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;4.606,00;4.880,00;1.668,00;1.957,00;2.955,00;3.360,00;3.509,00;3.360,00;2.516,00;2.973,00;3.489,00;

Sesiones de hemodiálisis en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;102,00;108,00;105,00;110,00;121,00;129,00;125,00;128,00;128,00;123,00;123,00;

Sesiones de hemodiálisis en centros concertados en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;8,00;30,00;32,00;46,00;42,00;60,00;

Total partos en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;-;-;-;-;-;-;-;1.118,00;1.029,00;867,00;896,00;

Partos por vía vaginal en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;1.194,00;1.097,00;1.033,00;1.040,00;944,00;879,00;852,00;850,00;-;-;-;

Porcentaje de cesáreas en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;-;-;-;-;-;-;-;23,97;23,71;23,99;24,33;

Cesáreas en el Hospital Universitario Severo Ochoa;Número;Comunidad de Madrid;362,00;346,00;349,00;308,00;336,00;272,00;280,00;268,00;-;-;-;
Notas;
Sesiones de hemodiálisis: paciente/mes.;
;
La población asignada al Hospital Universitario Severo Ochoa es la de los municipios de Leganés, Fuenlabrada, Humanes y Moraleja de Enmedio.;
