Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Poblacion asignada. null. Unidad: Número. Fuente: Memoria del Hospital El Escorial;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Total población asignada al Hospital El Escorial;Número;Comunidad de Madrid;130.498,00;130.009,00;106.025,00;107.222,00;107.803,00;109.341,00;111.037,00;111.901,00;113.114,00;111.850,00;115.479,00;

Población del centro de salud de Cercedilla asignada al Hospital El Escorial;Número;Comunidad de Madrid;13.181,00;13.110,00;-;-;-;-;-;-;-;-;-;

Población del centro de salud de Galapagar asignada al Hospital El Escorial;Número;Comunidad de Madrid;38.527,00;38.312,00;38.488,00;38.853,00;39.035,00;39.614,00;40.244,00;40.459,00;40.784,00;40.193,00;41.168,00;

Población del centro de salud de Guadarrama asignada al Hospital El Escorial;Número;Comunidad de Madrid;26.047,00;26.061,00;14.925,00;15.028,00;14.907,00;14.997,00;15.176,00;15.339,00;15.608,00;15.307,00;16.054,00;

Población del centro de salud de Robledo de Chavela asignada al Hospital El Escorial;Número;Comunidad de Madrid;10.204,00;10.096,00;9.982,00;10.017,00;10.105,00;10.259,00;10.424,00;10.501,00;10.664,00;10.801,00;11.497,00;

Población del centro de salud San Carlos asignada al Hospital El Escorial;Número;Comunidad de Madrid;42.539,00;42.430,00;42.630,00;43.324,00;43.756,00;44.471,00;45.193,00;45.602,00;46.058,00;45.549,00;46.760,00;
Notas;
Población a 31 de diciembre del año anterior.;
;
La población asignada al Hospital Universitario de El Escorial es la de los municipios de: Becerril de la Sierra, Cercedilla, Collado Mediano, Colmenarejo, El Escorial,Fresnedillas de la Oliva, Galapagar, Guadarrama, Los Molinos, Navacerrada, Navalagamella, Robledo de Chavela, San Lorenzo de El Escorial, Santa Maria de la Alameda, Valdemaqueda, Valdemorillo, Zarzalejo;
