Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Poblacion asignada. null. Unidad: Número. Fuente: Memoria del Hospital General de Villalba.;
Serie;Unidad;Ambito;2015;2016;2017;2018;2019;2020;2021;2022

Total  población asignada al Hospital General de Villalba;Número;Comunidad de Madrid;113.030,00;114.227,00;116.172,00;118.006,00;119.519,00;121.484,00;120.758,00;124.847,00;

Población del centro de salud Collado Villalba Estación asignada al Hospital General de Villalba;Número;Comunidad de Madrid;43.999,00;44.142,00;44.469,00;44.974,00;45.288,00;45.649,00;44.987,00;45.698,00;

Población del centro de salud de Collado Mediano/Becerril asignada al Hospital General de Villalba;Número;Comunidad de Madrid;11.403,00;11.450,00;11.661,00;11.766,00;12.030,00;12.254,00;12.435,00;12.867,00;

Población del centro de salud de Cercedilla asignada al Hospital General de Villalba;Número;Comunidad de Madrid;13.185,00;13.258,00;13.402,00;13.546,00;13.679,00;14.015,00;14.132,00;14.974,00;

Población del centro de salud Collado Villalba Pueblo asignada al Hospital General de Villalba;Número;Comunidad de Madrid;29.450,00;30.044,00;30.884,00;31.521,00;32.125,00;32.869,00;32.764,00;34.436,00;

Población del centro de salud Sierra de Guadarrama asignada al Hospital General de Villalba;Número;Comunidad de Madrid;14.993,00;15.333,00;15.756,00;16.199,00;16.397,00;16.697,00;16.440,00;16.872,00;
Notas;
Población a 31 de diciembre del año anterior.;
;
La poiblación asignada al Hospital General de Villalba es la de los municipios de Alpedrete, Becerril de la Sierra, Cercedilla, Collado Mediano, Collado Villlalba, Moralzarzal, Navacerrada.;
