Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Clínico San Carlos;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Clínico San Carlos;Número;Comunidad de Madrid;996,00;964,00;964,00;964,00;860,00;860,00;861,00;861,00;861,00;861,00;861,00;

Quirófanos instalados del Hospital Clínico San Carlos;Número;Comunidad de Madrid;29,00;22,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;

Paritorios en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;5,00;

Locales de consulta en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;287,00;318,00;318,00;318,00;318,00;318,00;318,00;318,00;318,00;318,00;318,00;

Locales de consulta en CEP en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;159,00;104,00;104,00;104,00;104,00;104,00;104,00;114,00;114,00;114,00;114,00;

Puestos oncohematológicos en hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;22,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;

Puestos SIDA en hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Puestos geriátricos en hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;

Puestos psiquiátricos en hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;55,00;55,00;40,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;

Puestos médicos en hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;36,00;36,00;71,00;78,00;78,00;78,00;78,00;78,00;78,00;78,00;78,00;

Puestos quirúrgicos en hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;39,00;27,00;39,00;33,00;33,00;33,00;33,00;33,00;33,00;33,00;33,00;

Puestos de hemodiálisis en hospital de día del Hospital Clínico San Carlos;Número;Comunidad de Madrid;-;16,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;

Mamógrafos en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;3,00;

Tomografía axial computarizada (TAC) en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Resonancias magnéticas (RM) en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;

Ecógrafos de radiodiagnóstico en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;9,00;16,00;16,00;14,00;15,00;14,00;14,00;14,00;14,00;14,00;14,00;

Ecógrafos en otros servicios en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;27,00;50,00;50,00;44,00;49,00;49,00;33,00;49,00;49,00;33,00;33,00;

Salas convencionales de Rayos X en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;19,00;16,00;16,00;15,00;15,00;12,00;12,00;12,00;12,00;12,00;12,00;

Telemandos en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Tomografía por emisión de positrones en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;

Acelerador lineal en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Planificador en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Simulador en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Gammacámaras en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Angiógrafo digital en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Salas de hemodinámica en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Equipos de radiología intervencionista en el Hospital Clínico San Carlos;Número;Comunidad de Madrid;2,00;2,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Notas;
La población asignada al Hospital Clínico San Carlos es la de los distritos Centro, Chamberí y Latina del municipio de Madrid;
