Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Fundación Jiménez Díaz.;
Serie;Unidad;Ambito;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;689,00;665,00;670,00;659,00;659,00;660,00;651,00;651,00;651,00;651,00;

Quirófanos instalados del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;16,00;16,00;18,00;18,00;18,00;20,00;22,00;22,00;23,00;23,00;

Paritorios en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;

Locales de consulta en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;212,00;212,00;212,00;216,00;216,00;216,00;216,00;216,00;216,00;216,00;

Locales de consulta en CEP en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;133,00;133,00;133,00;168,00;168,00;181,00;181,00;181,00;181,00;181,00;

Puestos oncohematológicos en hospital de día del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;6,00;6,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;

Puestos SIDA en hospital de día del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;1,00;1,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;

Puestos geriátricos en hospital de día del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;

Puestos psiquiátricos en hospital de día del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;4,00;65,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Puestos médicos en hospital de día del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;6,00;6,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00;

Puestos quirúrgicos en hospital de día del Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;4,00;4,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;

Puestos de hemodiálisis en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;17,00;27,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;

Mamógrafos en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;4,00;4,00;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;

Tomografía axial computarizada (TAC) en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;3,00;3,00;4,00;4,00;4,00;4,00;3,00;3,00;4,00;4,00;

Resonancias magnéticas (RM) en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;5,00;6,00;6,00;6,00;6,00;6,00;

Ecógrafos del servicio de radiodiagnóstico en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;8,00;8,00;10,00;10,00;15,00;15,00;16,00;17,00;17,00;19,00;

Ecógrafos del servicio de cardiología en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;-;-;3,00;3,00;11,00;12,00;14,00;15,00;15,00;14,00;

Ecógrafos en otros servicios en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;9,00;9,00;9,00;6,00;71,00;70,00;73,00;79,00;84,00;81,00;

Salas convencionales de Rayos X en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;13,00;13,00;9,00;9,00;8,00;9,00;9,00;9,00;9,00;9,00;

Telemandos en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;2,00;2,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;1,00;

Tomografía por emisión de positrones en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;

Acelerador lineal en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Planificador en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Simulador en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Gammacámaras en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Litotriptor el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Angiógrafo digital en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;1,00;1,00;2,00;2,00;3,00;5,00;5,00;5,00;5,00;5,00;

Salas de hemodinámica en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;2,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Equipos de radiología intervencionista en el Hospital Fundación Jiménez Díaz;Número;Comunidad de Madrid;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
