Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario 12 de Octubre;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021

Camas instaladas del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;1.346,00;1.322,00;1.314,00;1.287,00;1.268,00;1.256,00;1.256,00;1.186,00;1.196,00;1.196,00;

Quirófanos instalados del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;38,00;40,00;40,00;40,00;38,00;38,00;38,00;38,00;38,00;38,00;

Paritorios en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;-;

Locales de consulta en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;213,00;213,00;213,00;213,00;213,00;213,00;213,00;213,00;213,00;213,00;

Locales de consulta en CEP en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;135,00;135,00;135,00;135,00;84,00;84,00;84,00;84,00;84,00;84,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;38,00;38,00;38,00;38,00;44,00;44,00;44,00;44,00;44,00;44,00;

Puestos de SIDA en hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;10,00;10,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;

Puestos de Psiquiatria en hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;-;-;-;-;35,00;35,00;34,00;34,00;34,00;34,00;

Puestos médicos en hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;12,00;12,00;12,00;12,00;16,00;16,00;16,00;16,00;16,00;16,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;45,00;45,00;45,00;45,00;62,00;62,00;62,00;62,00;62,00;62,00;

Puestos de hemodiálisis en el Hospital 12 de Octubre;Número;Comunidad de Madrid;12,00;12,00;12,00;12,00;16,00;16,00;16,00;16,00;16,00;16,00;

Mamógrafos en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;3,00;3,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;5,00;5,00;5,00;5,00;6,00;6,00;6,00;6,00;6,00;6,00;

Resonancias magnéticas (RM) en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;3,00;3,00;5,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;14,00;14,00;14,00;14,00;26,00;26,00;20,00;20,00;20,00;20,00;

Ecógrafos en el servicio de cardiología en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;-;-;5,00;5,00;7,00;7,00;7,00;7,00;7,00;7,00;

Ecógrafos en otros servicios en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;33,00;33,00;33,00;33,00;72,00;65,00;65,00;65,00;65,00;65,00;

Salas convencionales de Rayos X en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;20,00;20,00;20,00;20,00;20,00;20,00;11,00;11,00;11,00;44,00;

Telemandos en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;8,00;8,00;8,00;8,00;8,00;8,00;6,00;6,00;6,00;6,00;

Tomografía por emisión de positrones en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;

Acelerador lineal en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;2,00;2,00;3,00;2,00;4,00;4,00;3,00;3,00;3,00;4,00;

Planificador en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Simulador en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;

Gammacámaras en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;4,00;4,00;2,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;

Angiógrafo digital en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Salas de hemodinámica en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;3,00;5,00;5,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Equipos de radiología intervencionista en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Litotriptores en el Hospital 12 de Octubre en el Hospital Universitario 12 de Octubre;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Notas;
La población asignada al Hospital Universitario 12 de Octubre es la de los distritos de Carabanchel, Villaverde y Usera del municipio de Madrid;
