Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de Fuenlabrada;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;406,00;406,00;406,00;406,00;406,00;406,00;406,00;406,00;406,00;406,00;413,00;

Quirófanos instalados del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;

Paritorios en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Locales de consulta en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;

Locales de consulta en CEP en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;27,00;27,00;27,00;27,00;27,00;27,00;27,00;27,00;27,00;27,00;27,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;

Puestos otros médicoss en hospital de día del Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;13,00;13,00;

Mamógrafos en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Resonancias magnéticas (RM) en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;

Ecógrafos en otros servicios en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;

Salas convencionales de Rayos X en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;

Telemandos en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00;

Tomografía por emisión de positrones en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Acelerador lineal en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;3,00;3,00;3,00;

Planificador en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Simulador en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Gammacámaras en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Angiógrafo digital en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Equipos de radiología intervencionista en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;

Salas de hemodinámica en el Hospital Universitario de Fuenlabrada;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;
Notas;
La poiblación asignada al Hospital Universitario de Fuenlabrada es la de los municipios de Fuenlabrada, Humanes y Moraleja de Enmedio,;
