Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de Getafe;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Universitario de Getafe;Número;Comunidad de Madrid;592,00;589,00;589,00;589,00;510,00;510,00;510,00;524,00;543,00;543,00;543,00;

Quirófanos instalados del Hospital Universitario de Getafe;Número;Comunidad de Madrid;18,00;18,00;18,00;18,00;18,00;18,00;17,00;17,00;17,00;17,00;17,00;

Paritorios en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Locales de consulta en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;89,00;89,00;89,00;89,00;89,00;89,00;111,00;119,00;120,00;120,00;120,00;

Locales de consulta en CEP en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;27,00;27,00;27,00;27,00;27,00;27,00;28,00;28,00;28,00;28,00;28,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario de Getafe;Número;Comunidad de Madrid;15,00;15,00;15,00;15,00;15,00;20,00;20,00;20,00;20,00;20,00;20,00;

Puestos de SIDA en hospital de día del Hospital Universitario de Getafe;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;

Puestos geriátricos en hospital de día del Hospital Universitario de Getafe;Número;Comunidad de Madrid;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;

Puestos psiquiátricos en hospital de día del Hospital Universitario de Getafe;Número;Comunidad de Madrid;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;

Puestos médicos en hospital de día del Hospital Universitario de Getafe;Número;Comunidad de Madrid;9,00;9,00;9,00;9,00;9,00;8,00;8,00;8,00;8,00;8,00;8,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario de Getafe;Número;Comunidad de Madrid;13,00;6,00;6,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;

Puestos de hemodiálisis en hospital de día del Hospital Universitario de Getafe;Número;Comunidad de Madrid;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;13,00;13,00;

Mamógrafos en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Resonancias magnéticas (RM) en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;

Ecógrafos en otros servicios en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;13,00;13,00;13,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;

Salas convencionales de Rayos X en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;14,00;14,00;10,00;9,00;9,00;7,00;9,00;9,00;9,00;9,00;9,00;

Telemandos en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;3,00;3,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Tomografía por emisión de positrones en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Gammacámaras en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Angiógrafos digitales en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;2,00;2,00;

Salas de hemodinámica en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;1,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;

Equipos de radiología intervencionista en el Hospital Universitario de Getafe;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;2,00;0,00;0,00;
Notas;
La poiblación asignada al Hospital Universitario de Getafe es la de los municipios de Getafe y Pinto.;
