Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de Móstoles;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;411,00;411,00;349,00;349,00;332,00;332,00;332,00;328,00;328,00;328,00;328,00;

Quirófanos instalados del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;

Paritorios en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;1,00;4,00;4,00;4,00;4,00;

Locales de consulta en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;68,00;68,00;68,00;70,00;70,00;70,00;70,00;70,00;71,00;71,00;71,00;

Locales de consulta en CEP en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;12,00;12,00;12,00;12,00;10,00;10,00;12,00;12,00;12,00;12,00;12,00;

Puestos psiquiátricos en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;

Puestos otros médicos en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;-;-;-;-;2,00;2,00;4,00;7,00;7,00;7,00;7,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario de Móstoles;Número;Comunidad de Madrid;-;-;-;-;20,00;20,00;20,00;26,00;26,00;26,00;26,00;

Mamógrafos en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;2,00;2,00;2,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;

Resonancias magnéticas (RM) en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;3,00;4,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;

Ecógrafos en otros servicios en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;7,00;7,00;6,00;6,00;6,00;6,00;6,00;12,00;12,00;12,00;12,00;

Ecógrafos en servicio de cardiología en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;0,00;0,00;1,00;1,00;2,00;2,00;2,00;2,00;3,00;3,00;3,00;

Salas convencionales de Rayos X en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;8,00;8,00;8,00;8,00;8,00;8,00;8,00;7,00;7,00;7,00;7,00;

Telemandos en el Hospital Universitario de Móstoles;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Notas;
La poiblación asignada al Hospital Universitario de Móstoles es la de los municipios de Móstoles y Arroyomolinos;
