Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario de Torrejón;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;250,00;250,00;250,00;248,00;248,00;214,00;214,00;214,00;250,00;250,00;250,00;

Quirófanos instalados del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;12,00;10,00;

Paritorios en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;6,00;6,00;6,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;

Locales de consulta en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;84,00;84,00;84,00;84,00;84,00;84,00;92,00;92,00;109,00;109,00;127,00;

Locales de consulta en CEP en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;43,00;43,00;42,00;

Puestos oncológicos en hospital de día del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;15,00;15,00;15,00;

Puestos psiquiátricos en hospital de día del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;-;-;-;-;11,00;15,00;15,00;15,00;15,00;15,00;14,00;

Puestos otros médicos en hospital de día del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;20,00;20,00;20,00;20,00;20,00;10,00;10,00;10,00;3,00;3,00;5,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;20,00;20,00;20,00;20,00;20,00;20,00;20,00;2,00;2,00;2,00;2,00;

Puestos de hemodiálisis del Hospital Universitario de Torrejón;Número;Comunidad de Madrid;16,00;16,00;16,00;16,00;16,00;21,00;21,00;21,00;22,00;24,00;22,00;

Mamógrafos en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Resonancias magnéticas (RM) en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;5,00;5,00;4,00;

Ecógrafos del servicio de cardiología en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;2,00;0,00;3,00;

Ecógrafos en otros servicios en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;9,00;-;7,00;18,00;18,00;0,00;0,00;0,00;30,00;31,00;23,00;

Salas convencionales de Rayos X en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;3,00;

Telemandos en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Angiógrafo digital en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;1,00;1,00;-;-;-;1,00;1,00;1,00;1,00;1,00;1,00;

Salas de hemodinámica en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Equipos de radiología intervencionista en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;1,00;1,00;-;-;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Acelerador lineal en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;0,00;0,00;0,00;2,00;2,00;2,00;2,00;2,00;2,00;0,00;0,00;

Planificador en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;

Simulador en el Hospital Universitario de Torrejón;Número;Comunidad de Madrid;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;
Notas;
La población asignada al Hospital Universitario deTorrejón es la de los municipios de Ajalvir, Daganzo, Fresno de Torote, Torrejón de Ardoz y Ribatejada.;
