Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario del Sureste;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;132,00;132,00;133,00;132,00;132,00;132,00;132,00;132,00;132,00;132,00;132,00;

Quirófanos instalados en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;

Paritorios en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Locales de consulta en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;92,00;92,00;92,00;115,00;115,00;115,00;115,00;115,00;115,00;115,00;115,00;

Locales de consulta CEP en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;0,00;0,00;0,00;20,00;20,00;11,00;20,00;20,00;20,00;16,00;16,00;

Puestos médicos en hospital de día del Hospital Universitario del Sureste;Número;Comunidad de Madrid;11,00;11,00;11,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario del Sureste;Número;Comunidad de Madrid;15,00;15,00;15,00;18,00;18,00;18,00;18,00;18,00;18,00;19,00;19,00;

Puestos de hemodiálisis del Hospital Universitario del Sureste;Número;Comunidad de Madrid;14,00;14,00;14,00;17,00;17,00;18,00;18,00;18,00;18,00;18,00;18,00;

Mamógrafos en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Resonancia magnética (RM) en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Ecógrafos de servicio de cardiología en el Hospital Universidario del Sureste;Número;Comunidad de Madrid;-;-;-;-;-;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos en otros servicios del Hospital Universitario del Sureste;Número;Comunidad de Madrid;5,00;5,00;5,00;7,00;7,00;14,00;5,00;5,00;5,00;9,00;9,00;

Salas convencionales de Rayos X en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Telemandos en el Hospital Universitario del Sureste;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Notas;
La población asignada al Hospital Universitario del Sureste es la de los municipios de:Ambite, Arganda, Belmonte de Tajo, Brea de Tajo, Campo Real, Carabaña, Estremera, Fuentidueña de Tajo, Morata de Tajuña, Nuevo Baztán, Olmeda de las Fuentes, Orusco, Perales de Tajuña, Pozuelo del Rey, Rivas Vaciamadrid, Tielmes, Valdaracete, Valdilecha, Villamanrique de Tajo, Villar del Olmo, Villarejo de Salvanés.;
