Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo1.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Infanta Elena;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;102,00;117,00;117,00;152,00;152,00;152,00;158,00;174,00;182,00;184,00;188,00;

Quirófanos instalados en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;6,00;6,00;6,00;8,00;8,00;8,00;9,00;10,00;10,00;10,00;10,00;

Paritorios en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Locales de consulta en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;59,00;59,00;83,00;90,00;90,00;90,00;98,00;98,00;105,00;122,00;144,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;35,00;

Puestos de SIDA en hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;

Puestos geriátricos en hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;

Puestos psiquiátricos en hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;

Puestos médicos en hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;13,00;3,00;3,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;17,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;

Puestos de hemodiálisis en hospital de día del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;13,00;16,00;16,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;

Mamógrafos en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Resonancia magnética (RM) en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;2,00;2,00;2,00;3,00;3,00;5,00;5,00;6,00;6,00;6,00;6,00;

Ecógrafos de servicio de cardiología en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;-;-;-;-;4,00;4,00;6,00;6,00;6,00;7,00;6,00;

Ecógrafos en otros servicios del Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;6,00;6,00;9,00;17,00;18,00;17,00;18,00;26,00;27,00;27,00;28,00;

Salas convencionales de Rayos X en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;3,00;3,00;

Telemandos en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Angiógrafo digital en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1,00;1,00;1,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;

Salas de homodinámica en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;0,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;

Equipos de radiología intervencionista en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;

Gammacámara en el Hospital Universitario Infanta Elena;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;
Notas;
La población asignada al Hospital Universitario Infanta Elena es la de los municipios de Valdemoro, Ciempozuelos,Titulcia y San Martín de la Vega;
