Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Infanta Leonor;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;269,00;269,00;269,00;269,00;269,00;367,00;361,00;361,00;361,00;361,00;361,00;

Quirófanos instalados del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;

Paritorios en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;

Locales de consulta en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;115,00;115,00;115,00;115,00;115,00;116,00;116,00;116,00;116,00;116,00;116,00;

Locales de consulta en CEP en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;-;-;-;-;-;33,00;33,00;33,00;33,00;33,00;33,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;

Puestos de SIDA en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Puestos psíquicos en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;

Puestos otros médicos en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;23,00;23,00;23,00;34,00;34,00;36,00;39,00;39,00;39,00;39,00;39,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;

Puestos de hemodiálisis en hospital de día del Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;21,00;21,00;23,00;23,00;23,00;23,00;24,00;24,00;26,00;26,00;26,00;

Mamógrafos en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;4,00;4,00;3,00;4,00;3,00;3,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;

Resonancias magnéticas (RM) en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;5,00;5,00;5,00;7,00;7,00;12,00;11,00;11,00;11,00;11,00;11,00;

Ecógrafos de servicio de cardiología en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;0,00;0,00;0,00;3,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Ecógrafos en otros servicios en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;9,00;16,00;16,00;16,00;16,00;25,00;25,00;25,00;25,00;25,00;25,00;

Salas convencionales de Rayos X en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;5,00;5,00;5,00;7,00;7,00;12,00;11,00;11,00;11,00;11,00;11,00;

Telemandos en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;

Equipos de radiología intervencionista en el Hospital Universitario Infanta Leonor;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Notas;
La poiblación asignada al Hospital Universitario Infanta Leonor es la de los distritos de Villa de Vallecas y Puente de Vallecasdel municipio de Madrid;
;
A partir del año 2017 se incluyen los datos del Hospital Virgen de la Torre.;
