Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Infanta Sofia;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;283,00;283,00;283,00;277,00;271,00;271,00;271,00;276,00;276,00;276,00;276,00;

Quirófanos instalados del Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;12,00;12,00;12,00;12,00;12,00;12,00;12,00;14,00;14,00;14,00;14,00;

Paritorios en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;

Locales de consulta en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;100,00;100,00;100,00;137,00;137,00;137,00;137,00;137,00;137,00;137,00;137,00;

Locales de consulta en CEP en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;24,00;24,00;24,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;8,00;8,00;8,00;15,00;15,00;15,00;25,00;15,00;15,00;15,00;15,00;

Puestos psiquiátricos en hospital de día del Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;30,00;30,00;30,00;30,00;30,00;30,00;21,00;30,00;30,00;30,00;30,00;

Puestos otros médicos en hospital de día del Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;10,00;10,00;10,00;10,00;10,00;10,00;26,00;10,00;10,00;10,00;10,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;20,00;20,00;20,00;20,00;20,00;20,00;24,00;20,00;20,00;20,00;20,00;

Puestos de hemodiálisis en hospital de día del Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;-;-;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;

Mamógrafos en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;

Resonancias magnéticas (RM) en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos de radiodiagnóstico en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;4,00;4,00;4,00;6,00;6,00;6,00;6,00;8,00;6,00;6,00;5,00;

Ecógrafos en otros servicios en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;9,00;11,00;11,00;15,00;15,00;15,00;15,00;39,00;40,00;40,00;40,00;

Salas convencionales de Rayos X en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;9,00;9,00;9,00;7,00;7,00;7,00;7,00;9,00;7,00;7,00;7,00;

Telemandos en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Equipos de radiología intervencionista en el Hospital Universitario Infanta Sofía;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Notas;
La poiblación asignada al Hospital Universitario Infanta Sofia es la de los municipios de La Acebeda, Alameda del Valle, Alcobendas, Algete, El Atazar, El Berrueco, Berzosa del Lozoya,Braojos de la Sierra, Buitrago de Lozoya, Cabanillas de la Sierra, La Cabrera, Canencia, Cerveza de Buitrago, Cobeña, Fuente el Saz de Jarama, Garganta de los Montes,  Gargantilla del Lozoya, Gascones, La Hiruela, Horcajo de la Sierra, Horcajuelo de la Sierra, Lozoya, Lozoyuela - Navas -Siete Iglesias, Madarcos, El Molar, Montejo de la Sierra, Navarredonda, Paracuellos del Jarama, Patones, Pedrezuela, Pinilla del Valle, Piñuécar, Prádena del Rincón, Puebla de la Sierra, Puentes Viejas, Rascafría, Redueña, Robledillo de la Jara, Robregordo, San Agustín de Guadalix, San Sebastián de los Reyes, Serna del Monte, Somosierra, Talamanca del Jarama,;
Torrelaguna, Torremocha del Jarama, Valdemanco, Valdeolmos - Alalpardo, Valdepiélagos, Valdetorres del Jarama, El Vellón, Venturada, Villavieja de Lozoya.;
