Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario La Paz;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021

Camas instaladas del Hospital Universitario La Paz;Número;Comunidad de Madrid;1.277,00;1.228,00;1.308,00;1.308,00;1.254,00;1.254,00;1.268,00;1.268,00;1.270,00;1.270,00;

Quirófanos instalados del Hospital Universitario La Paz;Número;Comunidad de Madrid;48,00;48,00;51,00;50,00;50,00;50,00;50,00;50,00;48,00;48,00;

Paritorios en el Hospital Universitario La Paz;Número;Comunidad de Madrid;11,00;9,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;

Locales de consulta en el Hospital Universitario La Paz;Número;Comunidad de Madrid;320,00;320,00;304,00;309,00;317,00;331,00;328,00;328,00;328,00;328,00;

Locales de consulta en CEP en el Hospital Universitario La Paz;Número;Comunidad de Madrid;91,00;91,00;124,00;118,00;116,00;113,00;114,00;114,00;114,00;114,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;53,00;62,00;62,00;62,00;62,00;62,00;62,00;62,00;62,00;62,00;

Puestos SIDA en hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;8,00;7,00;10,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;

Puestos geriátricos en hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;

Puestos psiquiátricos en hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;-;-;68,00;68,00;68,00;82,00;82,00;82,00;82,00;82,00;

Puestos médicos en hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;33,00;33,00;49,00;49,00;49,00;49,00;49,00;49,00;49,00;49,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario La Paz;Número;Comunidad de Madrid;46,00;44,00;44,00;48,00;48,00;45,00;45,00;45,00;45,00;45,00;

Puestos de hemodiálisis en el Hospital Universitario La Paz;Número;Comunidad de Madrid;42,00;25,00;25,00;25,00;25,00;25,00;29,00;29,00;28,00;28,00;

Mamógrafos en el Hospital Universitario La Paz;Número;Comunidad de Madrid;4,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario La Paz;Número;Comunidad de Madrid;5,00;5,00;6,00;6,00;6,00;6,00;6,00;7,00;7,00;6,00;

Resonancias magnéticas (RM) en el Hospital Universitario La Paz;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;4,00;

Ecógrafos en el servicio de radiodiagnóstico en el Hospital Universitario La Paz;Número;Comunidad de Madrid;14,00;14,00;16,00;21,00;21,00;26,00;26,00;26,00;26,00;26,00;

Ecógrafos en el servicio de cardiología en el Hospital Universitario La Paz;Número;Comunidad de Madrid;-;-;18,00;18,00;18,00;13,00;13,00;13,00;13,00;13,00;

Ecógrafos en otros servicios en el Hospital Universitario La Paz;Número;Comunidad de Madrid;96,00;96,00;102,00;87,00;87,00;74,00;74,00;72,00;74,00;74,00;

Salas convencionales de Rayos X en el Hospital Universitario La Paz;Número;Comunidad de Madrid;17,00;17,00;22,00;22,00;21,00;20,00;20,00;20,00;20,00;20,00;

Telemandos en el Hospital Universitario La Paz;Número;Comunidad de Madrid;5,00;5,00;5,00;5,00;5,00;6,00;6,00;6,00;6,00;6,00;

Tomografía por emisión de positrones en el Hospital Universitario La Paz;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Acelerador lineal en el Hospital Universitario La Paz;Número;Comunidad de Madrid;2,00;2,00;3,00;3,00;3,00;2,00;2,00;2,00;2,00;3,00;

Planificador en el Hospital Universitario La Paz;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;

Simulador en el Hospital Universitario La Paz;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;1,00;1,00;

Gammacámaras en el Hospital Universitario La Paz;Número;Comunidad de Madrid;4,00;4,00;6,00;4,00;4,00;3,00;3,00;3,00;3,00;3,00;

Litotriptores en el Hospital Universitario La Paz;Número;Comunidad de Madrid;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;

Angiógrafo digital en el Hospital Universitario La Paz;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Salas de hemodinámica en el Hospital Universitario La Paz;Número;Comunidad de Madrid;3,00;3,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Equipos de radiología intervencionista en el Hospital Universitario La Paz;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;1,00;1,00;1,00;
Notas;
A partir del año 2014 los datos del Hospital Carlos III se han totalizado con los del Hospital Universitario La Paz.;
