Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Recursos materiales. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Ramón y Cajal;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Camas instaladas del Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;1.118,00;1.015,00;947,00;891,00;891,00;901,00;901,00;901,00;875,00;892,00;892,00;

Quirófanos instalados del Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;46,00;46,00;46,00;46,00;46,00;45,00;45,00;45,00;45,00;45,00;45,00;

Locales de consulta en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;225,00;225,00;225,00;225,00;225,00;225,00;225,00;225,00;225,00;225,00;225,00;

Locales de consulta en CEP en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;65,00;65,00;65,00;65,00;65,00;65,00;65,00;65,00;65,00;65,00;65,00;

Puestos oncohematológicos en hospital de día del Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;31,00;31,00;31,00;31,00;31,00;31,00;31,00;31,00;31,00;31,00;31,00;

Puestos psiquiátricos en hospital de día del Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;15,00;15,00;15,00;15,00;15,00;21,00;21,00;21,00;21,00;21,00;21,00;

Puestos médicos en hospital de día del Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;19,00;19,00;19,00;19,00;19,00;48,00;48,00;48,00;48,00;48,00;48,00;

Puestos quirúrgicos en hospital de día del Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;23,00;23,00;23,00;23,00;23,00;23,00;34,00;45,00;45,00;45,00;45,00;

Puestos de hemodiálisis del Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;20,00;20,00;20,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;23,00;

Mamógrafos en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Tomografía axial computarizada (TAC) en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;5,00;5,00;6,00;

Resonancias magnéticas (RM) en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Ecógrafos del servicio de radiodiagnóstico en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;7,00;7,00;

Ecógrafos del servicio de cardiología en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;-;-;-;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Ecógrafos en otros servicios en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;31,00;31,00;29,00;29,00;29,00;29,00;29,00;29,00;29,00;29,00;29,00;

Salas convencionales de Rayos X en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;12,00;16,00;

Telemandos en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;11,00;11,00;11,00;5,00;5,00;11,00;7,00;7,00;7,00;4,00;4,00;

Tomografía por emisión de positrones en el Hospital Universiario Ramón y Cajal;Número;Comunidad de Madrid;-;-;-;-;1,00;0,00;1,00;1,00;1,00;1,00;1,00;

Acelerador lineal en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;

Equipo de cobaltoterapia en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;

Planificador en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Simulador en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Gammacámaras en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;4,00;4,00;4,00;4,00;4,00;4,00;4,00;1,00;1,00;3,00;1,00;

Litotriptores en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;

Angiógrafo digital en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;

Salas de hemodinámica en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;

Equipos de radiología intervencionista en el Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
