hospital_name;municipality_name
hospital_central_de_la_defensa_gomez_ulla;Madrid
hospital_clinico_san_carlos;Madrid
hospital_el_escorial;Becerril de la Sierra
hospital_el_escorial;Cercedilla
hospital_el_escorial;Collado Mediano
hospital_el_escorial;Colmenarejo
hospital_el_escorial;El Escorial
hospital_el_escorial;Fresnedillas de la Oliva
hospital_el_escorial;Galapagar
hospital_el_escorial;Guadarrama
hospital_el_escorial;Los Molinos
hospital_el_escorial;Navacerrada
hospital_el_escorial;Navalagamella
hospital_el_escorial;Robledo de Chavela
hospital_el_escorial;San Lorenzo de El Escorial
hospital_el_escorial;Santa María de la Alameda
hospital_el_escorial;Valdemaqueda
hospital_el_escorial;Valdemorillo
hospital_el_escorial;Zarzalejo
hospital_fundacion_jimenez_diaz;n/a
hospital_general_de_villalba;Alpedrete
hospital_general_de_villalba;Becerril de la Sierra
hospital_general_de_villalba;Cercedilla
hospital_general_de_villalba;Collado Mediano
hospital_general_de_villalba;Collado Villalba
hospital_general_de_villalba;Moralzarzal
hospital_general_de_villalba;Navacerrada
hospital_general_universitario_gregorio_maranon;Moratalaz
hospital_general_universitario_gregorio_maranon;Vicálvaro y Retiro
hospital_universitario_12_de_octubre;Madrid
hospital_universitario_de_fuenlabrada;Fuenlabrada
hospital_universitario_de_fuenlabrada;Humanes
hospital_universitario_de_fuenlabrada;Moraleja de Enmedio
hospital_universitario_de_getafe;Getafe
hospital_universitario_de_getafe;Pinto
hospital_universitario_de_la_princesa;n/a
hospital_universitario_de_mostoles;Móstoles
hospital_universitario_de_mostoles;Arroyomolinos
hospital_universitario_de_torrejon;Ajalvir
hospital_universitario_de_torrejon;Daganzo
hospital_universitario_de_torrejon;Fresno de Torote
hospital_universitario_de_torrejon;Torrejón de Ardoz
hospital_universitario_de_torrejon;Ribatejada
hospital_universitario_del_henares;Coslada
hospital_universitario_del_henares;San Fernando de Henares
hospital_universitario_del_henares;Mejorada del Campo
hospital_universitario_del_henares;Velilla de San Antonio
hospital_universitario_del_henares;Loeches
hospital_universitario_del_sureste;Ambite
hospital_universitario_del_sureste;Arganda
hospital_universitario_del_sureste;Belmonte de Tajo
hospital_universitario_del_sureste;Brea de Tajo
hospital_universitario_del_sureste;Campo Real
hospital_universitario_del_sureste;Carabaña
hospital_universitario_del_sureste;Estremera
hospital_universitario_del_sureste;Fuentidueña de Tajo
hospital_universitario_del_sureste;Morata de Tajuña
hospital_universitario_del_sureste;Nuevo Baztán
hospital_universitario_del_sureste;Olmeda de las Fuentes
hospital_universitario_del_sureste;Orusco
hospital_universitario_del_sureste;Perales de Tajuña
hospital_universitario_del_sureste;Pozuelo del Rey
hospital_universitario_del_sureste;Rivas-Vaciamadrid
hospital_universitario_del_sureste;Tielmes
hospital_universitario_del_sureste;Valdaracete
hospital_universitario_del_sureste;Valdilecha
hospital_universitario_del_sureste;Villamanrique de Tajo
hospital_universitario_del_sureste;Villar del Olmo
hospital_universitario_del_sureste;Villarejo de Salvanés
hospital_universitario_del_tajo;Aranjuez
hospital_universitario_del_tajo;Colmenar de Oreja
hospital_universitario_del_tajo;Chinchón
hospital_universitario_del_tajo;Valdelaguna
hospital_universitario_del_tajo;Villaconejos
hospital_universitario_fundacion_alcorcon;Alcorcón
hospital_universitario_infanta_cristina;Parla
hospital_universitario_infanta_cristina;Torrejón de Velasco
hospital_universitario_infanta_cristina;Torrejón de la Calzada
hospital_universitario_infanta_cristina;Batres
hospital_universitario_infanta_cristina;Cubas de la Sagra
hospital_universitario_infanta_cristina;Casarrubuelos
hospital_universitario_infanta_cristina;Serranillos del Valle
hospital_universitario_infanta_cristina;Griñón
hospital_universitario_infanta_elena;Valdemoro
hospital_universitario_infanta_elena;Ciempozuelos
hospital_universitario_infanta_elena;Titulcia
hospital_universitario_infanta_elena;San Martín de la Vega
hospital_universitario_infanta_leonor;Madrid
hospital_universitario_infanta_sofia;La Acebeda
hospital_universitario_infanta_sofia;Alameda del Valle
hospital_universitario_infanta_sofia;Alcobendas
hospital_universitario_infanta_sofia;Algete
hospital_universitario_infanta_sofia;El Atazar
hospital_universitario_infanta_sofia;El Berrueco
hospital_universitario_infanta_sofia;Berzosa del Lozoya
hospital_universitario_infanta_sofia;Braojos de la Sierra
hospital_universitario_infanta_sofia;Buitrago del Lozoya
hospital_universitario_infanta_sofia;Cabanillas de la Sierra
hospital_universitario_infanta_sofia;La Cabrera
hospital_universitario_infanta_sofia;Canencia
hospital_universitario_infanta_sofia;Cervera de Buitrago
