name_short,name_internal,hospital_id,tag
12 de octubre,hospital_universitario_12_de_octubre,CH0023,HOSPITAL UNIVERSITARIO 12 DE OCTUBRE
alcorcon,hospital_universitario_fundacion_alcorcon,CH0080,HOSPITAL UNIVERSITARIO FUNDACION ALCORCON
de fuenlabrada,hospital_universitario_de_fuenlabrada,CH0086,HOSPITAL UNIVERSITARIO FUENLABRADA
de getafe,hospital_universitario_de_getafe,CH0075,HOSPITAL UNIVERSITARIO DE GETAFE
de la defensa gomez ulla,hospital_central_de_la_defensa_gomez_ulla,,
de la princesa,hospital_universitario_de_la_princesa,CH0029,HOSPITAL UNIVERSITARIO DE LA PRINCESA
de mostoles,hospital_universitario_de_mostoles,CH0032,HOSPITAL UNIVERSITARIO DE MOSTOLES
de torrejon,hospital_universitario_de_torrejon,CH0104,HOSPITAL UNIVERSITARIO DE TORREJÓN
de villalba,hospital_general_de_villalba,CH0106,HOSPITAL GENERAL DE VILLALBA
escorial,hospital_el_escorial,CH0027,HOSPITAL DE EL ESCORIAL
gregorio maranon,hospital_general_universitario_gregorio_maranon,CH0034,HOSPITAL GENERAL UNIVERSITARIO GREGORIO MARAŃON
henares,hospital_universitario_del_henares,CH0096,HOSPITAL UNIVERSITARIO HENARES
infanta cristina,hospital_universitario_infanta_cristina,CH0098,HOSPITAL UNIVERSITARIO INFANTA CRISTINA
infanta elena,hospital_universitario_infanta_elena,CH0095,HOSPITAL INFANTA ELENA
infanta leonor,hospital_universitario_infanta_leonor,CH0101,HOSPITAL UNIVERSITARIO INFANTA LEONOR
infanta sofia,hospital_universitario_infanta_sofia,CH0097,HOSPITAL UNIVERSITARIO INFANTA SOFIA
jimenez diaz,hospital_fundacion_jimenez_diaz,CH0011,HOSPITAL UNIVERSITARIO FUNDACIÓN JIMENEZ DIAZ
la paz,hospital_universitario_la_paz,CH0041,HOSPITAL UNIVERSITARIO LA PAZ
principe de asturias,hospital_universitario_principe_de_asturias,CH0044,HOSPITAL UNIVERSITARIO  PRINCIPE DE ASTURIAS
puerta de hierro majadahonda,hospital_universitario_puerta_de_hierro_majadahonda,CH0102,HOSPITAL UNIVERSITARIO PUERTA DE HIERRO MAJADAHONDA
ramon y cajal,hospital_universitario_ramon_y_cajal,CH0049,HOSPITAL UNIVERSITARIO RAMON Y CAJAL
rey juan carlos,hospital_universitario_rey_juan_carlos,CH0105,HOSPITAL REY JUAN CARLOS
san carlos,hospital_clinico_san_carlos,CH0053,HHOSPITAL CLINICO SAN CARLOS
severo ochoa,hospital_universitario_severo_ochoa,CH0052,HOSPITAL UNIVERSITARIO SEVERO OCHOA
sureste,hospital_universitario_del_sureste,CH0100,HOSPITAL UNIVERSITARIO DEL SURESTE
tajo,hospital_universitario_del_tajo,CH0099,HOSPITAL UNIVERSITARIO DEL TAJO
