CODIGO,BUSCA,DESCR,CMUN,UTM_X,UTM_Y,ETIQUETA,DIRECCION,URL,CD_VIA,MUNICIPIO
280724,"Hospital Centro Sanitario de Vida y Esperanza. Glorieta del Ejército, s/n. Madrid.",HOSPITAL CENTRO SANITARIO DE VIDA Y ESPERANZA,079,436745,4471110,Hospital Centro Sanitario de Vida y Esperanza,"Glorieta del Ejército, s/n",https://centrossanitarios.sanidadmadrid.org/RedAsistencial/DetalleHospital.aspx?ID=814,07901901,Madrid
CH0001,"Fremap Hospital y Centro de Rehabilitación de Majadahonda. Carretera de Pozuelo, 61. Majadahonda.",FREMAP HOSPITAL Y CENTRO DE REHABILITACIÓN DE MAJADAHONDA,080,427799,4478345,Fremap Hospital y Centro de Rehabilitación de Majadahonda,"Carretera de Pozuelo, 61",https://www.fremap.es,08000170,Majadahonda
CH0004,"Centro San Juan de Dios. Avenida de San Juan de Dios, 1. Ciempozuelos.",CENTRO SAN JUAN DE DIOS,040,447682,4445737,Centro San Juan de Dios,"Avenida de San Juan de Dios, 1",https://sjd.es/location/centro-san-juan-de-dios-ciempozuelos/,040A0157,Ciempozuelos
CH0006,"Fuensanta S.l. (Clínica Fuensanta). Calle de Arturo Soria, 17. Madrid.",FUENSANTA S.L. (CLINICA FUENSANTA),079,445713,4476806,Fuensanta S.l. (Clínica Fuensanta),"Calle de Arturo Soria, 17",https://www.viamedsalud.com/hospital-fuensanta/,07900582,Madrid
CH0008,"Clínica La Luz, S.l.. Calle del General Rodrigo, 8. Madrid.","CLINICA LA LUZ, S.L.",079,439451,4477308,"Clínica La Luz, S.l.","Calle del General Rodrigo, 8",https://www.quironsalud.com/es/red-centros/hospital-luz,07909065,Madrid
CH0009,"Hospital La Zarzuela. Calle de Pleyades, 25. Madrid.",HOSPITAL LA ZARZUELA,079,433480,4479421,Hospital La Zarzuela,"Calle de Pleyades, 25",https://www.hospitallazarzuela.es/,07904858,Madrid
CH0011,"Hospital Universitario Fundación Jiménez Díaz. Avenida de los Reyes Católicos, 2. Madrid.",HOSPITAL UNIVERSITARIO FUNDACIÓN JIMENEZ DIAZ,079,439066,4476760,Hospital Universitario Fundación Jiménez Díaz,"Avenida de los Reyes Católicos, 2",https://www.fjd.es,07905176,Madrid
CH0012,"Hospital Vithas Nuestra Seńora de América. Calle de Arturo Soria, 103. Madrid.",HOSPITAL VITHAS NUESTRA SEŃORA DE AMÉRICA,079,444719,4477879,Hospital Vithas Nuestra Seńora de América,"Calle de Arturo Soria, 103",https://vithas.es/centro/vithas-hospital-universitario-madrid-arturo-soria/,07900582,Madrid
CH0013,"Hospital Universitario HM Nuevo Belén. Calle de José Silva, 7. Madrid.",HOSPITAL UNIVERSITARIO HM NUEVO BELÉN,079,444242,4478476,Hospital Universitario HM Nuevo Belén,"Calle de José Silva, 7",https://www.hmnuevobelen.com/,07903185,Madrid
CH0017,"Hospital Ruber, Juan Bravo 49. Calle de Juan Bravo, 49. Madrid.",HOSPITAL RUBER JUAN BRAVO 49,079,442633,4476001,"Hospital Ruber, Juan Bravo 49","Calle de Juan Bravo, 49",https://www.ruber.es,07903219,Madrid
CH0018,"Hospital Ruber, Juan Bravo 39. Calle de Juan Bravo, 39. Madrid.",HOSPITAL RUBER JUAN BRAVO 39,079,442523,4476001,"Hospital Ruber, Juan Bravo 39","Calle de Juan Bravo, 39",https://www.ruber.es,07903219,Madrid
CH0019,"Clínica Santa Elena. Calle de la Granja, 8. Madrid.",CLINICA SANTA ELENA,079,439195,4477479,Clínica Santa Elena,"Calle de la Granja, 8",https://www.viamedsalud.com/hospital-santa-elena/,07902622,Madrid
CH0020,"Hospital Carlos III. Calle de Sinesio Delgado, 10. Madrid.",HOSPITAL CARLOS III,079,440993,4480738,Hospital Carlos III,"Calle de Sinesio Delgado, 10",https://www.comunidad.madrid/centros/hospital-carlos-iii,07908730,Madrid
CH0023,"Hospital Universitario 12 de Octubre. Avenida de Córdoba, s/n. Madrid.",HOSPITAL UNIVERSITARIO 12 DE OCTUBRE,079,440846,4469774,Hospital Universitario 12 de Octubre,"Avenida de Córdoba, s/n",https://www.comunidad.madrid/hospital/12octubre/,07901496,Madrid
CH0024,"Hospital Beata María Ana. Hh. Hospitalarias del Sgdo. C. de Jesús. Calle del Doctor Esquerdo, 83. Madrid.",HOSPITAL BEATA MARIA ANA. HH. HOSPITALARIAS DEL SGDO. C. DE JESUS,079,443286,4474381,Hospital Beata María Ana. Hh. Hospitalarias del Sgdo. C. de Jesús,"Calle del Doctor Esquerdo, 83",https://www.hospitalarias.org,07901736,Madrid
CH0025,"Hospital de Cantoblanco. Carretera Colmenar Viejo, 14,5. Madrid.",HOSPITAL DE CANTOBLANCO,079,441166,4487703,Hospital de Cantoblanco,"Carretera Colmenar Viejo, 14,5",https://www.comunidad.madrid/centros/hospital-cantoblanco,07901389,Madrid
CH0026,"Hospital Central de La Cruz Roja S. José y Santa Adela. Avenida de la Reina Victoria, 22. Madrid.",HOSPITAL CENTRAL DE LA CRUZ ROJA S. JOSE Y SANTA ADELA,079,440001,4477651,Hospital Central de La Cruz Roja S. José y Santa Adela,"Avenida de la Reina Victoria, 22",https://www.comunidad.madrid/hospital/cruzroja/,07905140,Madrid
CH0027,"Hospital de El Escorial. Carretera de Guadarrama-San Lorenzo del Escorial km 6,2. San Lorenzo de El Escorial.",HOSPITAL DE EL ESCORIAL,131,405350,4495659,Hospital de El Escorial,"Carretera de Guadarrama-San Lorenzo del Escorial km 6,2",https://www.comunidad.madrid/hospital/elescorial/,13100155,San Lorenzo de El Escorial
CH0028,"Hospital de La Fuenfría. Carretera de Dehesas, s/n. Cercedilla.",HOSPITAL DE LA FUENFRIA,038,409318,4512764,Hospital de La Fuenfría,"Carretera de Dehesas, s/n",https://www.comunidad.madrid/centros/hospital-fuenfria,03800043,Cercedilla
CH0029,"Hospital Universitario de la Princesa. Calle de Diego de León, 62. Madrid.",HOSPITAL UNIVERSITARIO DE LA PRINCESA,079,442679,4476202,Hospital Universitario de la Princesa,"Calle de Diego de León, 62",https://www.comunidad.madrid/hospital/laprincesa/,07901704,Madrid
CH0030,"Hospital de La V.O.T. de San Francisco de Asís. Calle de San Bernabé, 13. Madrid.",HOSPITAL DE LA V.O.T. DE SAN FRANCISCO DE ASÍS,079,439418,4473404,Hospital de La V.O.T. de San Francisco de Asís,"Calle de San Bernabé, 13",https://www.hospitalvot.org,07905384,Madrid
CH0031,"Hospital de Madrid. Plaza del Conde del Valle de Súchil, 16. Madrid.",HOSPITAL DE MADRID,079,440036,4475878,Hospital de Madrid,"Plaza del Conde del Valle de Súchil, 16",https://www.hmmadrid.com,07901465,Madrid
CH0032,"Hospital  Universitario de Móstoles. Calle Río Júcar, s/n. Móstoles.",HOSPITAL UNIVERSITARIO DE MOSTOLES,092,425435,4463137,Hospital  Universitario de Móstoles,"Calle Río Júcar, s/n",https://www.comunidad.madrid/hospital/mostoles/,092A0319,Móstoles
CH0034,"Hospital General Universitario Gregorio Marańón. Calle del Doctor Esquerdo, 46. Madrid.",HOSPITAL GENERAL UNIVERSITARIO GREGORIO MARAŃON,079,443159,4474528,Hospital General Universitario Gregorio Marańón,"Calle del Doctor Esquerdo, 46",https://www.comunidad.madrid/hospital/gregoriomaranon/,07901736,Madrid
CH0037,"Hospital Infantil Universitario Nińo Jesús. Avenida de Menéndez Pelayo, 65. Madrid.",HOSPITAL INFANTIL UNIVERSITARIO NIŃO JESUS,079,442570,4473926,Hospital Infantil Universitario Nińo Jesús,"Avenida de Menéndez Pelayo, 65",https://www.comunidad.madrid/hospital/ninojesus/,07904020,Madrid
CH0038,"Fundación Instituto San José. Calle Pinar de San José, 98. Madrid.",FUNDACION INSTITUTO SAN JOSE,079,434374,4468308,Fundación Instituto San José,"Calle Pinar de San José, 98",https://www.fundacioninstitutosanjose.com/,079C1575,Madrid
CH0039,"Hospital Ruber Internacional. Calle de La Maso, 38. Madrid.",HOSPITAL RUBER INTERNACIONAL,079,439386,4482424,Hospital Ruber Internacional,"Calle de La Maso, 38",https://www.ruberinternacional.es,07907756,Madrid
CH0041,"Hospital Universitario La Paz. Paseo de la Castellana, 261. Madrid.",HOSPITAL UNIVERSITARIO LA PAZ,079,441779,4481311,Hospital Universitario La Paz,"Paseo de la Castellana, 261",https://www.comunidad.madrid/hospital/lapaz/,07901213,Madrid
CH0042,"Hospital Monográfico Asepeyo. Calle de Joaquín de Cárdenas, 2. Coslada.",HOSPITAL MONOGRAFICO ASEPEYO,049,454923,4476355,Hospital Monográfico Asepeyo,"Calle de Joaquín de Cárdenas, 2",https://www.asepeyo.es,049A0149,Coslada
CH0043,"Hospital Guadarrama. Avenida del Molino del Rey, 2. Guadarrama.",HOSPITAL GUADARRAMA,068,408177,4502667,Hospital Guadarrama,"Avenida del Molino del Rey, 2",https://www.comunidad.madrid/hospital/guadarrama/,068A0036,Guadarrama
CH0044,"Hospital Universitario Príncipe de Asturias. Carretera de Alcalá-Meco, s/n. Alcalá de Henares.",HOSPITAL UNIVERSITARIO  PRINCIPE DE ASTURIAS,005,470500,4484537,Hospital Universitario Príncipe de Asturias,"Carretera de Alcalá-Meco, s/n",https://www.comunidad.madrid/hospital/principeasturias/,005A0456,Alcalá de Henares
