hospital_id;municipality_name
hospital_central_de_la_defensa_gomez_ulla;Madrid
CH0053;Madrid
CH0027;Becerril de la Sierra
CH0027;Cercedilla
CH0027;Collado Mediano
CH0027;Colmenarejo
CH0027;El Escorial
CH0027;Fresnedillas de la Oliva
CH0027;Galapagar
CH0027;Guadarrama
CH0027;Los Molinos
CH0027;Navacerrada
CH0027;Navalagamella
CH0027;Robledo de Chavela
CH0027;San Lorenzo de El Escorial
CH0027;Santa María de la Alameda
CH0027;Valdemaqueda
CH0027;Valdemorillo
CH0027;Zarzalejo
CH0011;n/a
CH0106;Alpedrete
CH0106;Becerril de la Sierra
CH0106;Cercedilla
CH0106;Collado Mediano
CH0106;Collado Villalba
CH0106;Moralzarzal
CH0106;Navacerrada
CH0034;Moratalaz
CH0034;Vicálvaro y Retiro
CH0023;Madrid
CH0086;Fuenlabrada
CH0086;Humanes
CH0086;Moraleja de Enmedio
CH0075;Getafe
CH0075;Pinto
CH0029;n/a
CH0032;Móstoles
CH0032;Arroyomolinos
CH0104;Ajalvir
CH0104;Daganzo
CH0104;Fresno de Torote
CH0104;Torrejón de Ardoz
CH0104;Ribatejada
CH0096;Coslada
CH0096;San Fernando de Henares
CH0096;Mejorada del Campo
CH0096;Velilla de San Antonio
CH0096;Loeches
CH0100;Ambite
CH0100;Arganda
CH0100;Belmonte de Tajo
CH0100;Brea de Tajo
CH0100;Campo Real
CH0100;Carabaña
CH0100;Estremera
CH0100;Fuentidueña de Tajo
CH0100;Morata de Tajuña
CH0100;Nuevo Baztán
CH0100;Olmeda de las Fuentes
CH0100;Orusco
CH0100;Perales de Tajuña
CH0100;Pozuelo del Rey
CH0100;Rivas-Vaciamadrid
CH0100;Tielmes
CH0100;Valdaracete
CH0100;Valdilecha
CH0100;Villamanrique de Tajo
CH0100;Villar del Olmo
CH0100;Villarejo de Salvanés
CH0099;Aranjuez
CH0099;Colmenar de Oreja
CH0099;Chinchón
CH0099;Valdelaguna
CH0099;Villaconejos
CH0080;Alcorcón
CH0098;Parla
CH0098;Torrejón de Velasco
CH0098;Torrejón de la Calzada
CH0098;Batres
CH0098;Cubas de la Sagra
CH0098;Casarrubuelos
CH0098;Serranillos del Valle
CH0098;Griñón
CH0095;Valdemoro
CH0095;Ciempozuelos
CH0095;Titulcia
CH0095;San Martín de la Vega
CH0101;Madrid
CH0097;La Acebeda
CH0097;Alameda del Valle
CH0097;Alcobendas
CH0097;Algete
CH0097;El Atazar
CH0097;El Berrueco
CH0097;Berzosa del Lozoya
CH0097;Braojos de la Sierra
CH0097;Buitrago del Lozoya
CH0097;Cabanillas de la Sierra
CH0097;La Cabrera
CH0097;Canencia
CH0097;Cervera de Buitrago
CH0097;Cobeña
CH0097;Fuente el Saz de Jarama
CH0097;Garganta de los Montes
CH0097;Gargantilla del Lozoya
CH0097;Gascones
CH0097;La Hiruela
CH0097;Horcajo de la Sierra
CH0097;Horcajuelo de la Sierra
CH0097;Lozoya
CH0097;Lozoyuela-Navas-SieteIglesias
CH0097;Madarcos
CH0097;El Molar
CH0097;Montejo de la Sierra
CH0097;Navarredonda
CH0097;Paracuellos de Jarama
CH0097;Patones
CH0097;Pedrezuela
CH0097;Pinilla del Valle
CH0097;Piñuécar
CH0097;Prádena del Rincón
CH0097;Puebla de la Sierra
CH0097;Puentes Viejas
CH0097;Rascafría
CH0097;Redueña
CH0097;Robledillo de la Jara
CH0097;Robregordo
CH0097;San Agustín del Guadalix
CH0097;San Sebastián de los Reyes
CH0097;Serna del Monte
CH0097;Somosierra
CH0097;Talamanca de Jarama
CH0097;Torrelaguna
CH0097;Torremocha de Jarama
CH0097;Valdemanco
CH0097;Valdeolmos-Alalpardo
CH0097;Valdepiélagos
CH0097;Valdetorres de Jarama
CH0097;El Vellón
CH0097;Venturada
CH0097;Villavieja del Lozoya
CH0044;Alcalá de Henares
CH0044;Anchuelo
CH0044;Camarma de Esteruelas
CH0044;Corpa
CH0044;Meco
CH0044;Pezuela de las Torres
CH0044;Santorcaz
CH0044;Los Santos de la Humosa
CH0044;Torres de la Alameda
CH0044;Valdeavero
CH0044;Valverde de Alcalá
CH0044;Villalbilla
CH0102;n/a
CH0041;n/a
CH0049;n/a
CH0105;Móstoles
CH0105;Navalcarnero
CH0105;El Álamo
CH0105;Villanueva de Perales
CH0105;Villa del Prado
CH0105;Navas del Rey
CH0105;Colmenar del Arroyo
CH0105;Pelayos de la Presa
CH0105;Cenicientos
CH0105;Villaviciosa de Odón
CH0105;Sevilla la Nueva
CH0105;Villamanta
CH0105;Villamantilla
CH0105;Aldea del Fresno
CH0105;Chapinería
CH0105;San Martín de Valdeiglesias
CH0105;Cadalso de los Vidrios
CH0105;Rozas de Puerto Real
CH0052;Leganés
CH0052;Fuenlabrada
CH0052;Humanes
CH0052;Moraleja de Enmedio
