municipality_name,municipality_id,standard_name
Ajalvir,28002,Ajalvir
Alameda del Valle,28003,Alameda del Valle
Alcalá de Henares,28005,Alcalá de Henares
Alcobendas,28006,Alcobendas
Alcorcón,28007,Alcorcón
Aldea del Fresno,28008,Aldea del Fresno
Algete,28009,Algete
Alpedrete,28010,Alpedrete
Ambite,28011,Ambite
Anchuelo,28012,Anchuelo
Aranjuez,28013,Aranjuez
Arganda,28014,Arganda del Rey
Arroyomolinos,28015,Arroyomolinos
Batres,28017,Batres
Becerril de la Sierra,28018,Becerril de la Sierra
Belmonte de Tajo,28019,Belmonte de Tajo
Berzosa del Lozoya,28020,Berzosa del Lozoya
Braojos de la Sierra,,
Brea de Tajo,28025,Brea de Tajo
Buitrago del Lozoya,28027,Buitrago del Lozoya
Cabanillas de la Sierra,28029,Cabanillas de la Sierra
Cadalso de los Vidrios,28031,Cadalso de los Vidrios
Camarma de Esteruelas,28032,Camarma de Esteruelas
Campo Real,28033,Campo Real
Canencia,28034,Canencia
Carabaña,28035,Carabaña
Casarrubuelos,28036,Casarrubuelos
Cenicientos,28037,Cenicientos
Cercedilla,28038,Cercedilla
Cervera de Buitrago,28039,Cervera de Buitrago
Chapinería,28051,Chapinería
Chinchón,28052,Chinchón
Ciempozuelos,28040,Ciempozuelos
Cobeña,28041,Cobeña
Collado Mediano,28046,Collado Mediano
Collado Villalba,28047,Collado Villalba
Colmenar del Arroyo,28042,Colmenar del Arroyo
Colmenar de Oreja,28043,Colmenar de Oreja
Colmenarejo,28044,Colmenarejo
Corpa,28048,Corpa
Coslada,28049,Coslada
Cubas de la Sagra,28050,Cubas de la Sagra
Daganzo,28053,Daganzo de Arriba
El Álamo,28004,El Álamo
El Atazar,28016,El Atazar
El Berrueco,28021,El Berrueco
El Escorial,28054,El Escorial
El Molar,28086,El Molar
El Vellón,28168,El Vellón
Estremera,28055,Estremera
Fresnedillas de la Oliva,28056,Fresnedillas de la Oliva
Fresno de Torote,28057,Fresno de Torote
Fuenlabrada,28058,Fuenlabrada
Fuente el Saz de Jarama,28059,Fuente el Saz de Jarama
Fuentidueña de Tajo,28060,Fuentidueña de Tajo
Galapagar,28061,Galapagar
Garganta de los Montes,28062,Garganta de los Montes
Gargantilla del Lozoya,28063,Gargantilla del Lozoya y Pinilla de Buitrago
Gascones,28064,Gascones
Getafe,28065,Getafe
Griñón,28066,Griñón
Guadarrama,28068,Guadarrama
Horcajo de la Sierra,28070,Horcajo de la Sierra-Aoslos
Horcajuelo de la Sierra,28071,Horcajuelo de la Sierra
Humanes,28073,Humanes de Madrid
La Acebeda,28001,La Acebeda
La Cabrera,28030,La Cabrera
La Hiruela,28069,La Hiruela
Leganés,28074,Leganés
Loeches,28075,Loeches
Los Molinos,28087,Los Molinos
Los Santos de la Humosa,28137,Los Santos de la Humosa
Lozoya,28076,Lozoya
Lozoyuela-Navas-SieteIglesias,28901,Lozoyuela-Navas-Sieteiglesias
Madarcos,28078,Madarcos
Madrid,28079,Madrid
Meco,28083,Meco
Mejorada del Campo,28084,Mejorada del Campo
Montejo de la Sierra,28088,Montejo de la Sierra
Moraleja de Enmedio,28089,Moraleja de Enmedio
Moralzarzal,28090,Moralzarzal
Morata de Tajuña,28091,Morata de Tajuña
Moratalaz,,
Móstoles,28092,Móstoles
n/a,,
Navacerrada,28093,Navacerrada
Navalagamella,28095,Navalagamella
Navalcarnero,28096,Navalcarnero
Navarredonda,28097,Navarredonda y San Mamés
Navas del Rey,28099,Navas del Rey
Nuevo Baztán,28100,Nuevo Baztán
Olmeda de las Fuentes,28101,Olmeda de las Fuentes
Orusco,28102,Orusco de Tajuña
Paracuellos de Jarama,28104,Paracuellos de Jarama
Parla,28106,Parla
Patones,28107,Patones
Pedrezuela,28108,Pedrezuela
Pelayos de la Presa,28109,Pelayos de la Presa
Perales de Tajuña,28110,Perales de Tajuña
Pezuela de las Torres,28111,Pezuela de las Torres
Pinilla del Valle,28112,Pinilla del Valle
Pinto,28113,Pinto
Piñuécar,28114,Piñuécar-Gandullas
Pozuelo del Rey,28116,Pozuelo del Rey
Prádena del Rincón,28117,Prádena del Rincón
Puebla de la Sierra,28118,Puebla de la Sierra
Puentes Viejas,28902,Puentes Viejas
Rascafría,28120,Rascafría
Redueña,28121,Redueña
Ribatejada,28122,Ribatejada
Rivas-Vaciamadrid,28123,Rivas-Vaciamadrid
Robledillo de la Jara,28124,Robledillo de la Jara
Robledo de Chavela,28125,Robledo de Chavela
Robregordo,28126,Robregordo
Rozas de Puerto Real,28128,Rozas de Puerto Real
San Agustín del Guadalix,28129,San Agustín del Guadalix
San Fernando de Henares,28130,San Fernando de Henares
San Lorenzo de El Escorial,28131,San Lorenzo de El Escorial
San Martín de la Vega,28132,San Martín de la Vega
San Martín de Valdeiglesias,28133,San Martín de Valdeiglesias
San Sebastián de los Reyes,28134,San Sebastián de los Reyes
Santa María de la Alameda,28135,Santa María de la Alameda
Santorcaz,28136,Santorcaz
Serna del Monte,28138,La Serna del Monte
Serranillos del Valle,28140,Serranillos del Valle
Sevilla la Nueva,28141,Sevilla la Nueva
Somosierra,28143,Somosierra
Talamanca de Jarama,28145,Talamanca de Jarama
Tielmes,28146,Tielmes
Titulcia,28147,Titulcia
Torrejón de Ardoz,28148,Torrejón de Ardoz
Torrejón de la Calzada,28149,Torrejón de la Calzada
Torrejón de Velasco,28150,Torrejón de Velasco
Torrelaguna,28151,Torrelaguna
Torremocha de Jarama,28153,Torremocha de Jarama
Torres de la Alameda,28154,Torres de la Alameda
Valdaracete,28155,Valdaracete
Valdeavero,28156,Valdeavero
Valdelaguna,28157,Valdelaguna
Valdemanco,28158,Valdemanco
Valdemaqueda,28159,Valdemaqueda
Valdemorillo,28160,Valdemorillo
Valdemoro,28161,Valdemoro
Valdeolmos-Alalpardo,28162,Valdeolmos-Alalpardo
Valdepiélagos,28163,Valdepiélagos
Valdetorres de Jarama,28164,Valdetorres de Jarama
Valdilecha,28165,Valdilecha
Valverde de Alcalá,28166,Valverde de Alcalá
Velilla de San Antonio,28167,Velilla de San Antonio
Venturada,28169,Venturada
Vicálvaro y Retiro,,
Villaconejos,28170,Villaconejos
Villa del Prado,28171,Villa del Prado
Villalbilla,28172,Villalbilla
Villamanrique de Tajo,28173,Villamanrique de Tajo
Villamanta,28174,Villamanta
Villamantilla,28175,Villamantilla
Villanueva de Perales,28178,Villanueva de Perales
Villar del Olmo,28179,Villar del Olmo
Villarejo de Salvanés,28180,Villarejo de Salvanés
Villaviciosa de Odón,28181,Villaviciosa de Odón
Villavieja del Lozoya,28182,Villavieja del Lozoya
Zarzalejo,28183,Zarzalejo
