CMUN,CMUN4,DESCR,ETIQUETA
183,1837,Zarzalejo,Zarzalejo
070,0702,Horcajo de la Sierra-Aoslos,Horcajo de la Sierra-Aoslos
154,1548,Torres de la Alameda,Torres de la Alameda
052,0528,Chinchón,Chinchón
074,0745,Leganés,Leganés
040,0409,Ciempozuelos,Ciempozuelos
029,0297,Cabanillas de la Sierra,Cabanillas de la Sierra
022,0225,Boadilla del Monte,Boadilla del Monte
053,0534,Daganzo de Arriba,Daganzo de Arriba
127,1277,Las Rozas de Madrid,Las Rozas de Madrid
071,0719,Horcajuelo de la Sierra,Horcajuelo de la Sierra
137,1375,Los Santos de la Humosa,Los Santos de la Humosa
102,1028,Orusco de Tajuña,Orusco de Tajuña
179,1795,Villar del Olmo,Villar del Olmo
162,1625,Valdeolmos-Alalpardo,Valdeolmos-Alalpardo
043,0437,Colmenar de Oreja,Colmenar de Oreja
090,0908,Moralzarzal,Moralzarzal
093,0936,Navacerrada,Navacerrada
136,1369,Santorcaz,Santorcaz
130,1300,San Fernando de Henares,San Fernando de Henares
068,0685,Guadarrama,Guadarrama
123,1230,Rivas-Vaciamadrid,Rivas-Vaciamadrid
042,0421,Colmenar del Arroyo,Colmenar del Arroyo
072,0724,Hoyo de Manzanares,Hoyo de Manzanares
032,0323,Camarma de Esteruelas,Camarma de Esteruelas
067,0679,Guadalix de la Sierra,Guadalix de la Sierra
172,1723,Villalbilla,Villalbilla
096,0967,Navalcarnero,Navalcarnero
087,0875,Los Molinos,Los Molinos
063,0632,Gargantilla del Lozoya y Pinilla de Buitrago,Gargantilla del Lozoya y Pinilla de Buitrago
176,1760,Villanueva de la Cañada,Villanueva de la Cañada
148,1489,Torrejón de Ardoz,Torrejón de Ardoz
118,1185,Puebla de la Sierra,Puebla de la Sierra
169,1697,Venturada,Venturada
025,0259,Brea de Tajo,Brea de Tajo
030,0301,La Cabrera,La Cabrera
080,0800,Majadahonda,Majadahonda
104,1049,Paracuellos de Jarama,Paracuellos de Jarama
026,0262,Brunete,Brunete
902,9020,Puentes Viejas,Puentes Viejas
083,0838,Meco,Meco
181,1816,Villaviciosa de Odón,Villaviciosa de Odón
