id;clave;address;id_municipality;name_short;utm_x;utm_y;name_large;description_short;description_large;tag;url;municipality_name;id_vial;latitude;longitude
28000029;CEIPS;Calle Víctor Hurtado, s/n;28002;San Blas;458854;4487835;Colegio Infantil, Primaria y Secundaria CEIPS San Blas. Calle Víctor Hurtado, s/n. Ajalvir;CP INF-PRI-SEC;Colegio Infantil, Primaria y Secundaria;CEIPS San Blas;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000029;Ajalvir;002C0001;-3.4858805604832;40.54024197843949
28000042;CEIP;Calle Río Alagón, 14;28004;El Álamo;416061;4453715;Colegio Infantil y Primaria CEIP El Álamo. Calle Río Alagón, 14. Álamo (El);CP INF-PRI;Colegio Infantil y Primaria;CEIP El Álamo;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000042;Álamo (El);00400323;-3.986661615210676;40.229664097511986
28000054;CEIP;Calle San Ignacio de Loyola, 13;28005;Antonio de Nebrija;468386;4482313;Colegio Infantil y Primaria CEIP Antonio de Nebrija. Calle San Ignacio de Loyola, 13. Alcalá de Henares;CP INF-PRI;Colegio Infantil y Primaria;CEIP Antonio de Nebrija;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000054;Alcalá de Henares;005A0665;-3.3730468733351042;40.490913857753725
28000066;CEIP;Calle San Juan, 2;28005;Cardenal Cisneros;468658;4481259;Colegio Infantil y Primaria CEIP Cardenal Cisneros. Calle San Juan, 2. Alcalá de Henares;CP INF-PRI;Colegio Infantil y Primaria;CEIP Cardenal Cisneros;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000066;Alcalá de Henares;005A0669;-3.3697852067267346;40.48142883906656
28000078;CEIP;Calle Giner de los Ríos, 5;28005;Cervantes;469552;4481496;Colegio Infantil y Primaria CEIP Cervantes. Calle Giner de los Ríos, 5. Alcalá de Henares;CP INF-PRI;Colegio Infantil y Primaria;CEIP Cervantes;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000078;Alcalá de Henares;005A0300;-3.35924902614888;40.48359720628594
28000081;CEIP;Calle Infantado, 2;28005;Daoiz y Velarde;468826;4481956;Colegio Infantil y Primaria CEIP Daoiz y Velarde. Calle Infantado, 2. Alcalá de Henares;CP INF-PRI;Colegio Infantil y Primaria;CEIP Daoiz y Velarde;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000081;Alcalá de Henares;005A0339;-3.3678373920096036;40.48771433911356
28037892;CEPA;Calle San Vidal, 6;28005;Don Juan I;468252;4480451;Centro Educación de Personas Adultas CEPA Don Juan I. Calle San Vidal, 6. Alcalá de Henares;CEPA;Centro Educación de Personas Adultas;CEPA Don Juan I;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28037892;Alcalá de Henares;005A0680;-3.374534804643705;40.47413425246552
28000315;CEIP;Calle Ronda Fiscal, 44;28005;Emperador Fernando;468369;4480180;Colegio Infantil y Primaria CEIP Emperador Fernando. Calle Ronda Fiscal, 44. Alcalá de Henares;CP INF-PRI;Colegio Infantil y Primaria;CEIP Emperador Fernando;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000315;Alcalá de Henares;005A0340;-3.3731410556255357;40.47169731211037
28000364;IES;Calle Valladolid, 1;28005;Complutense;470510;4481599;Instituto de Educación Secundaria IES Complutense. Calle Valladolid, 1. Alcalá de Henares;IES;Instituto de Educación Secundaria;IES Complutense;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000364;Alcalá de Henares;005A0764;-3.3479507945938325;40.484559701151326
28000376;CEIP;Calle Ávila, s/n c/v Calle Zaragoza;28005;Ntra. Sra. del Val;470983;4481842;Colegio Infantil y Primaria CEIP Ntra. Sra. del Val. Calle Ávila, s/n c/v Calle Zaragoza. Alcalá de Henares;CP INF-PRI;Colegio Infantil y Primaria;CEIP Ntra. Sra. del Val;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000376;Alcalá de Henares;005A0073;-3.342381114213923;40.48676552624687
28000388;CEIP;Calle Pedro Sarmiento de Gamboa, 9-11;28005;Doctora de Alcalá;469503;4482277;Colegio Infantil y Primaria CEIP Doctora de Alcalá. Calle Pedro Sarmiento de Gamboa, 9-11. Alcalá de Henares;CP INF-PRI;Colegio Infantil y Primaria;CEIP Doctora de Alcalá;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000388;Alcalá de Henares;005A0550;-3.3598647330590308;40.49063133078949
28000467;IES;Calle Vitoria, 3;28005;Alonso de Avellaneda;471020;4482290;Instituto de Educación Secundaria IES Alonso de Avellaneda. Calle Vitoria, 3. Alcalá de Henares;IES;Instituto de Educación Secundaria;IES Alonso de Avellaneda;https://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28000467;Alcalá de Henares;005A0792;-3.341965031498266;40.49080279642237
