id_education;cycle;type_solicitude;year;total
28041354;bachillerato;Presentadas;2020-2021;4
28041354;bachillerato;Presentadas;2021-2022;3
28041354;bachillerato;Presentadas;2022-2023;11
28041354;bachillerato;Presentadas;2023-2024;1
28041354;bachillerato;Presentadas;2024-2025;9
28041354;bachillerato;Admitidas;2020-2021;0
28041354;bachillerato;Admitidas;2021-2022;0
28041354;bachillerato;Admitidas;2022-2023;1
28041354;bachillerato;Admitidas;2023-2024;0
28041354;bachillerato;Admitidas;2024-2025;0
28041354;bachillerato;No admitidas;2020-2021;4
28041354;bachillerato;No admitidas;2021-2022;3
28041354;bachillerato;No admitidas;2022-2023;10
28041354;bachillerato;No admitidas;2023-2024;1
28041354;bachillerato;No admitidas;2024-2025;9
28019567;primaria;Presentadas;2020-2021;3
28019567;primaria;Presentadas;2021-2022;8
28019567;primaria;Presentadas;2022-2023;7
28019567;primaria;Presentadas;2023-2024;2
28019567;primaria;Presentadas;2024-2025;2
28019567;primaria;Admitidas;2020-2021;1
28019567;primaria;Admitidas;2021-2022;4
28019567;primaria;Admitidas;2022-2023;6
28019567;primaria;Admitidas;2023-2024;2
28019567;primaria;Admitidas;2024-2025;1
28019567;primaria;No admitidas;2020-2021;2
28019567;primaria;No admitidas;2021-2022;4
28019567;primaria;No admitidas;2022-2023;1
28019567;primaria;No admitidas;2023-2024;0
28019567;primaria;No admitidas;2024-2025;1
28025661;primaria;Presentadas;2020-2021;10
28025661;primaria;Presentadas;2021-2022;8
28025661;primaria;Presentadas;2022-2023;3
28025661;primaria;Presentadas;2023-2024;9
28025661;primaria;Presentadas;2024-2025;9
28025661;primaria;Admitidas;2020-2021;9
28025661;primaria;Admitidas;2021-2022;7
28025661;primaria;Admitidas;2022-2023;3
28025661;primaria;Admitidas;2023-2024;7
28025661;primaria;Admitidas;2024-2025;6
28025661;primaria;No admitidas;2020-2021;1
28025661;primaria;No admitidas;2021-2022;1
28025661;primaria;No admitidas;2022-2023;0
28025661;primaria;No admitidas;2023-2024;2
28025661;primaria;No admitidas;2024-2025;3
28043511;infantil_i_ciclo;Presentadas en el centro;2020-2021;93
28043511;infantil_i_ciclo;Presentadas en el centro;2021-2022;91
28043511;infantil_i_ciclo;Presentadas en el centro;2022-2023;85
28043511;infantil_i_ciclo;Presentadas en el centro;2023-2024;79
28043511;infantil_i_ciclo;Presentadas en el centro;2024-2025;92
28043511;infantil_i_ciclo;Admitidas (presentadas en el centro);2020-2021;64
28043511;infantil_i_ciclo;Admitidas (presentadas en el centro);2021-2022;81
28043511;infantil_i_ciclo;Admitidas (presentadas en el centro);2022-2023;69
28043511;infantil_i_ciclo;Admitidas (presentadas en el centro);2023-2024;69
28043511;infantil_i_ciclo;Admitidas (presentadas en el centro);2024-2025;77
28043511;infantil_i_ciclo;Admitidas (presentadas en otro centro);2020-2021;0
28043511;infantil_i_ciclo;Admitidas (presentadas en otro centro);2021-2022;3
28043511;infantil_i_ciclo;Admitidas (presentadas en otro centro);2022-2023;5
28043511;infantil_i_ciclo;Admitidas (presentadas en otro centro);2023-2024;1
28043511;infantil_i_ciclo;Admitidas (presentadas en otro centro);2024-2025;2
28043511;infantil_i_ciclo;No admitidas (presentadas en el centro);2020-2021;31
28043511;infantil_i_ciclo;No admitidas (presentadas en el centro);2021-2022;7
28043511;infantil_i_ciclo;No admitidas (presentadas en el centro);2022-2023;10
28043511;infantil_i_ciclo;No admitidas (presentadas en el centro);2023-2024;9
28043511;infantil_i_ciclo;No admitidas (presentadas en el centro);2024-2025;13
28025634;primaria;Presentadas;2020-2021;6
28025634;primaria;Presentadas;2021-2022;3
28025634;primaria;Presentadas;2022-2023;2
28025634;primaria;Presentadas;2023-2024;2
28025634;primaria;Presentadas;2024-2025;7
28025634;primaria;Admitidas;2020-2021;6
28025634;primaria;Admitidas;2021-2022;1
28025634;primaria;Admitidas;2022-2023;2
28025634;primaria;Admitidas;2023-2024;2
28025634;primaria;Admitidas;2024-2025;5
28025634;primaria;No admitidas;2020-2021;0
28025634;primaria;No admitidas;2021-2022;2
28025634;primaria;No admitidas;2022-2023;0
28025634;primaria;No admitidas;2023-2024;0
28025634;primaria;No admitidas;2024-2025;2
28044719;bachillerato;Presentadas;2020-2021;104
28044719;bachillerato;Presentadas;2021-2022;141
28044719;bachillerato;Presentadas;2022-2023;110
28044719;bachillerato;Presentadas;2023-2024;81
28044719;bachillerato;Presentadas;2024-2025;69
28044719;bachillerato;Admitidas;2020-2021;71
28044719;bachillerato;Admitidas;2021-2022;75
28044719;bachillerato;Admitidas;2022-2023;80
28044719;bachillerato;Admitidas;2023-2024;54
28044719;bachillerato;Admitidas;2024-2025;49
28044719;bachillerato;No admitidas;2020-2021;33
28044719;bachillerato;No admitidas;2021-2022;66
28044719;bachillerato;No admitidas;2022-2023;30
28044719;bachillerato;No admitidas;2023-2024;27
28044719;bachillerato;No admitidas;2024-2025;20
28004989;infantil_i_ciclo;Presentadas en el centro;2022-2023;44
28004989;infantil_i_ciclo;Presentadas en el centro;2023-2024;49
28004989;infantil_i_ciclo;Presentadas en el centro;2024-2025;40
28004989;infantil_i_ciclo;Admitidas (presentadas en el centro);2022-2023;28
28004989;infantil_i_ciclo;Admitidas (presentadas en el centro);2023-2024;33
28004989;infantil_i_ciclo;Admitidas (presentadas en el centro);2024-2025;29
28004989;infantil_i_ciclo;Admitidas (presentadas en otro centro);2022-2023;1
28004989;infantil_i_ciclo;Admitidas (presentadas en otro centro);2023-2024;2
28004989;infantil_i_ciclo;Admitidas (presentadas en otro centro);2024-2025;2
28004989;infantil_i_ciclo;No admitidas (presentadas en el centro);2022-2023;13
28004989;infantil_i_ciclo;No admitidas (presentadas en el centro);2023-2024;14
28004989;infantil_i_ciclo;No admitidas (presentadas en el centro);2024-2025;8
28065310;infantil_i_ciclo;Presentadas en el centro;2020-2021;101
28065310;infantil_i_ciclo;Presentadas en el centro;2021-2022;137
28065310;infantil_i_ciclo;Presentadas en el centro;2022-2023;132
28065310;infantil_i_ciclo;Presentadas en el centro;2023-2024;157
28065310;infantil_i_ciclo;Presentadas en el centro;2024-2025;140
28065310;infantil_i_ciclo;Admitidas (presentadas en el centro);2020-2021;70
28065310;infantil_i_ciclo;Admitidas (presentadas en el centro);2021-2022;74
28065310;infantil_i_ciclo;Admitidas (presentadas en el centro);2022-2023;74
28065310;infantil_i_ciclo;Admitidas (presentadas en el centro);2023-2024;70
28065310;infantil_i_ciclo;Admitidas (presentadas en el centro);2024-2025;72
28065310;infantil_i_ciclo;Admitidas (presentadas en otro centro);2020-2021;0
28065310;infantil_i_ciclo;Admitidas (presentadas en otro centro);2021-2022;2
28065310;infantil_i_ciclo;Admitidas (presentadas en otro centro);2022-2023;1
28065310;infantil_i_ciclo;Admitidas (presentadas en otro centro);2023-2024;3
28065310;infantil_i_ciclo;Admitidas (presentadas en otro centro);2024-2025;2
28065310;infantil_i_ciclo;No admitidas (presentadas en el centro);2020-2021;36
28065310;infantil_i_ciclo;No admitidas (presentadas en el centro);2021-2022;61
28065310;infantil_i_ciclo;No admitidas (presentadas en el centro);2022-2023;57
28065310;infantil_i_ciclo;No admitidas (presentadas en el centro);2023-2024;84
28065310;infantil_i_ciclo;No admitidas (presentadas en el centro);2024-2025;65
28038872;eso;Presentadas;2020-2021;141
28038872;eso;Presentadas;2021-2022;103
28038872;eso;Presentadas;2022-2023;102
28038872;eso;Presentadas;2023-2024;134
28038872;eso;Presentadas;2024-2025;102
28038872;eso;Admitidas;2020-2021;139
28038872;eso;Admitidas;2021-2022;102
28038872;eso;Admitidas;2022-2023;98
28038872;eso;Admitidas;2023-2024;124
28038872;eso;Admitidas;2024-2025;99
28038872;eso;No admitidas;2020-2021;2
28038872;eso;No admitidas;2021-2022;1
28038872;eso;No admitidas;2022-2023;4
28038872;eso;No admitidas;2023-2024;10
28038872;eso;No admitidas;2024-2025;3
28039797;eso;Presentadas;2020-2021;76
28039797;eso;Presentadas;2021-2022;84
28039797;eso;Presentadas;2022-2023;75
28039797;eso;Presentadas;2023-2024;75
28039797;eso;Presentadas;2024-2025;73
28039797;eso;Admitidas;2020-2021;71
28039797;eso;Admitidas;2021-2022;75
28039797;eso;Admitidas;2022-2023;55
28039797;eso;Admitidas;2023-2024;67
28039797;eso;Admitidas;2024-2025;47
28039797;eso;No admitidas;2020-2021;5
28039797;eso;No admitidas;2021-2022;9
28039797;eso;No admitidas;2022-2023;20
28039797;eso;No admitidas;2023-2024;8
28039797;eso;No admitidas;2024-2025;26
28010394;infantil_ii_ciclo;Presentadas;2020-2021;50
28010394;infantil_ii_ciclo;Presentadas;2021-2022;38
28010394;infantil_ii_ciclo;Presentadas;2022-2023;49
28010394;infantil_ii_ciclo;Presentadas;2023-2024;44
28010394;infantil_ii_ciclo;Presentadas;2024-2025;67
28010394;infantil_ii_ciclo;Admitidas;2020-2021;46
28010394;infantil_ii_ciclo;Admitidas;2021-2022;37
28010394;infantil_ii_ciclo;Admitidas;2022-2023;44
28010394;infantil_ii_ciclo;Admitidas;2023-2024;42
28010394;infantil_ii_ciclo;Admitidas;2024-2025;63
28010394;infantil_ii_ciclo;No admitidas;2020-2021;4
28010394;infantil_ii_ciclo;No admitidas;2021-2022;1
28010394;infantil_ii_ciclo;No admitidas;2022-2023;5
28010394;infantil_ii_ciclo;No admitidas;2023-2024;2
28010394;infantil_ii_ciclo;No admitidas;2024-2025;4
28037016;eso;Presentadas;2020-2021;210
28037016;eso;Presentadas;2021-2022;231
28037016;eso;Presentadas;2022-2023;245
28037016;eso;Presentadas;2023-2024;252
28037016;eso;Presentadas;2024-2025;214
28037016;eso;Admitidas;2020-2021;177
28037016;eso;Admitidas;2021-2022;192
28037016;eso;Admitidas;2022-2023;179
