education_center_id;cycle;analysis_year;infant_transitions;max_infant_ii_places;max_enrolled;max_admitted;max_total_students;max_year;target_year_enrolled;estimated_places;applications_submitted;applications_admitted;applications_admitted_corrected;occupancy_rate;demand_ratio;admission_capacity_ratio;admission_efficiency;is_active
28074918;eso;2022-2023;0;0;916;193;916;2023-2024;912;229.0;257;204;204;0.9956331877729258;1.1222707423580787;0.8908296943231441;0.7937743190661478;1
28074581;infantil_i_ciclo;2022-2023;0;0;40;41;40;2023-2024;38;13.333333333333334;46;32;32;0.95;3.4499999999999997;2.4;0.6956521739130435;1
28074581;infantil_ii_ciclo;2022-2023;0;0;58;1;58;2024-2025;55;19.333333333333332;10;10;10;0.9482758620689655;0.5172413793103449;0.5172413793103449;1.0;1
28074581;primaria;2022-2023;18.333333333333332;19.333333333333332;196;2;196;2020-2021;177;32.666666666666664;1;1;19.333333333333332;0.9030612244897959;0.030612244897959186;0.5918367346938775;1.0;1
28066107;infantil_ii_ciclo;2022-2023;0;0;230;76;230;2022-2023;230;76.66666666666667;81;76;76;1.0;1.0565217391304347;0.9913043478260869;0.9382716049382716;1
28066107;primaria;2022-2023;76.66666666666667;76.66666666666667;453;3;453;2020-2021;449;75.5;11;5;81.66666666666667;0.9911699779249448;0.1456953642384106;1.0816777041942605;0.45454545454545453;1
28070111;infantil_i_ciclo;2022-2023;0;0;103;116;103;2024-2025;89;34.333333333333336;106;95;95;0.8640776699029126;3.087378640776699;2.7669902912621356;0.8962264150943396;1
28023297;infantil_ii_ciclo;2022-2023;0;0;138;41;138;2022-2023;138;46.0;43;41;41;1.0;0.9347826086956522;0.8913043478260869;0.9534883720930233;1
28023297;primaria;2022-2023;46.0;46.0;304;0;304;2023-2024;304;50.666666666666664;16;3;49.0;1.0;0.31578947368421056;0.9671052631578948;0.1875;1
28025130;infantil_ii_ciclo;2022-2023;0;0;130;30;130;2020-2021;105;43.333333333333336;42;42;42;0.8076923076923077;0.9692307692307692;0.9692307692307692;1.0;1
28025130;primaria;2022-2023;35.0;43.333333333333336;306;9;306;2022-2023;306;51.0;12;9;44.0;1.0;0.23529411764705882;0.8627450980392157;0.75;1
28042826;infantil_ii_ciclo;2022-2023;0;0;151;36;151;2021-2022;141;50.333333333333336;53;40;40;0.9337748344370861;1.0529801324503312;0.7947019867549668;0.7547169811320755;1
28042826;primaria;2022-2023;47.0;50.333333333333336;304;2;304;2023-2024;300;50.666666666666664;13;1;48.0;0.9868421052631579;0.2565789473684211;0.9473684210526316;0.07692307692307693;1
28042191;infantil_ii_ciclo;2022-2023;0;0;85;19;85;2021-2022;83;28.333333333333332;26;25;25;0.9764705882352941;0.9176470588235295;0.8823529411764707;0.9615384615384616;1
28042191;primaria;2022-2023;27.666666666666668;28.333333333333332;217;7;217;2020-2021;171;36.166666666666664;16;7;34.66666666666667;0.7880184331797235;0.4423963133640553;0.95852534562212;0.4375;1
28042191;eso;2022-2023;0;0;272;5;272;2020-2021;249;68.0;12;7;7;0.9154411764705882;0.17647058823529413;0.10294117647058823;0.5833333333333334;1
28010916;infantil_ii_ciclo;2022-2023;0;0;69;22;69;2020-2021;62;23.0;14;14;14;0.8985507246376812;0.6086956521739131;0.6086956521739131;1.0;1
28010916;primaria;2022-2023;20.666666666666668;23.0;141;5;141;2024-2025;139;23.5;4;3;23.666666666666668;0.9858156028368794;0.1702127659574468;1.0070921985815604;0.75;1
28028519;infantil_ii_ciclo;2022-2023;0;0;186;56;186;2020-2021;142;62.0;33;33;33;0.7634408602150538;0.532258064516129;0.532258064516129;1.0;1
28028519;primaria;2022-2023;47.333333333333336;62.0;425;1;425;2021-2022;392;70.83333333333333;7;5;52.333333333333336;0.9223529411764706;0.09882352941176471;0.7388235294117648;0.7142857142857143;1
28060816;primaria;2022-2023;0.0;0.0;144;0;144;2020-2021;136;24.0;0;0;0.0;0.9444444444444444;0.0;0.0;0.0;1
28060816;eso;2022-2023;0;0;144;0;144;2024-2025;131;36.0;0;0;0;0.9097222222222222;0.0;0.0;0.0;1
28049146;infantil_i_ciclo;2022-2023;0;0;116;118;116;2021-2022;113;38.666666666666664;233;116;116;0.9741379310344828;6.025862068965518;3.0;0.4978540772532189;1
28047411;eso;2022-2023;0;0;737;159;737;2022-2023;737;184.25;242;159;159;1.0;1.3134328358208955;0.8629579375848032;0.6570247933884298;1
28024794;infantil_ii_ciclo;2022-2023;0;0;131;50;131;2021-2022;114;43.666666666666664;26;25;25;0.8702290076335878;0.5954198473282443;0.5725190839694657;0.9615384615384616;1
28024794;primaria;2022-2023;38.0;43.666666666666664;301;4;301;2022-2023;301;50.166666666666664;8;4;42.0;1.0;0.159468438538206;0.8372093023255814;0.5;1
28025403;infantil_ii_ciclo;2022-2023;0;0;116;42;116;2020-2021;87;38.666666666666664;20;18;18;0.75;0.5172413793103449;0.4655172413793104;0.9;1
28025403;primaria;2022-2023;29.0;38.666666666666664;218;6;218;2021-2022;209;36.333333333333336;3;3;32.0;0.9587155963302753;0.08256880733944953;0.8807339449541284;1.0;1
28025403;eso;2022-2023;0;0;149;4;149;2023-2024;117;37.25;2;2;2;0.785234899328859;0.053691275167785234;0.053691275167785234;1.0;1
28005741;infantil_ii_ciclo;2022-2023;0;0;53;11;53;2023-2024;52;17.666666666666668;18;18;18;0.9811320754716981;1.0188679245283019;1.0188679245283019;1.0;1
28005741;primaria;2022-2023;17.333333333333332;17.666666666666668;140;4;140;2024-2025;138;23.333333333333332;10;5;22.333333333333332;0.9857142857142858;0.4285714285714286;0.9571428571428572;0.5;1
28037193;infantil_ii_ciclo;2022-2023;0;0;71;18;71;2021-2022;69;23.666666666666668;20;15;15;0.971830985915493;0.8450704225352113;0.6338028169014084;0.75;1
28037193;primaria;2022-2023;23.0;23.666666666666668;293;20;293;2020-2021;278;48.833333333333336;20;14;37.0;0.9488054607508533;0.40955631399317405;0.757679180887372;0.7;1
28023017;infantil_i_ciclo;2022-2023;0;0;40;23;40;2023-2024;0;13.333333333333334;0;0;0;0.0;0.0;0.0;0.0;1
28023017;infantil_ii_ciclo;2022-2023;0;0;75;24;75;2021-2022;69;25.0;24;19;19;0.92;0.96;0.76;0.7916666666666666;1
28023017;primaria;2022-2023;23.0;25.0;232;4;232;2020-2021;220;38.666666666666664;6;1;24.0;0.9482758620689655;0.15517241379310345;0.6206896551724138;0.16666666666666666;1
28039013;infantil_ii_ciclo;2022-2023;0;0;86;20;86;2022-2023;86;28.666666666666668;22;20;20;1.0;0.7674418604651162;0.6976744186046512;0.9090909090909091;1
28039013;primaria;2022-2023;28.666666666666668;28.666666666666668;272;10;272;2022-2023;272;45.333333333333336;13;10;38.66666666666667;1.0;0.2867647058823529;0.8529411764705883;0.7692307692307693;1
28004965;infantil_ii_ciclo;2022-2023;0;0;156;55;156;2022-2023;156;52.0;60;55;55;1.0;1.1538461538461537;1.0576923076923077;0.9166666666666666;1
28004965;primaria;2022-2023;52.0;52.0;289;5;289;2022-2023;289;48.166666666666664;6;5;57.0;1.0;0.12456747404844291;1.1833910034602078;0.8333333333333334;1
28043892;infantil_i_ciclo;2022-2023;0;0;97;81;97;2024-2025;90;32.333333333333336;84;72;72;0.9278350515463918;2.5979381443298966;2.22680412371134;0.8571428571428571;1
28023911;eso;2022-2023;0;0;635;208;635;2024-2025;505;158.75;185;170;170;0.7952755905511811;1.1653543307086613;1.0708661417322836;0.918918918918919;1
28030368;infantil_ii_ciclo;2022-2023;0;0;146;46;146;2021-2022;138;48.666666666666664;40;37;37;0.9452054794520548;0.8219178082191781;0.7602739726027398;0.925;1
28030368;primaria;2022-2023;46.0;48.666666666666664;284;4;284;2024-2025;270;47.333333333333336;16;4;50.0;0.9507042253521126;0.3380281690140845;1.056338028169014;0.25;1
28028684;eso;2022-2023;0;0;547;139;547;2022-2023;547;136.75;151;139;139;1.0;1.1042047531992687;1.016453382084095;0.9205298013245033;1
28010461;infantil_ii_ciclo;2022-2023;0;0;100;21;100;2024-2025;88;33.333333333333336;33;30;30;0.88;0.9899999999999999;0.8999999999999999;0.9090909090909091;1
28010461;primaria;2022-2023;29.333333333333332;33.333333333333336;267;7;267;2024-2025;259;44.5;15;14;43.33333333333333;0.9700374531835206;0.33707865168539325;0.9737827715355805;0.9333333333333333;1
28010783;infantil_ii_ciclo;2022-2023;0;0;149;48;149;2020-2021;144;49.666666666666664;75;40;40;0.9664429530201343;1.5100671140939599;0.8053691275167786;0.5333333333333333;1
28010783;primaria;2022-2023;48.0;49.666666666666664;334;1;334;2023-2024;332;55.666666666666664;21;4;52.0;0.9940119760479041;0.37724550898203596;0.9341317365269461;0.19047619047619047;1
28044227;infantil_i_ciclo;2022-2023;0;0;117;112;117;2021-2022;112;39.0;117;107;107;0.9572649572649573;3.0;2.7435897435897436;0.9145299145299145;1
28033783;infantil_ii_ciclo;2022-2023;0;0;143;32;143;2020-2021;112;47.666666666666664;29;23;23;0.7832167832167832;0.6083916083916084;0.48251748251748255;0.7931034482758621;1
28033783;primaria;2022-2023;37.333333333333336;47.666666666666664;300;1;300;2020-2021;287;50.0;13;5;42.333333333333336;0.9566666666666667;0.26;0.8466666666666667;0.38461538461538464;1
28036991;eso;2022-2023;0;0;640;177;640;2020-2021;614;160.0;175;124;124;0.959375;1.09375;0.775;0.7085714285714285;1
28062333;infantil_ii_ciclo;2022-2023;0;0;69;21;69;2022-2023;69;23.0;21;21;21;1.0;0.9130434782608695;0.9130434782608695;1.0;1
28062333;primaria;2022-2023;23.0;23.0;126;2;126;2023-2024;117;21.0;3;3;26.0;0.9285714285714286;0.14285714285714285;1.2380952380952381;1.0;1
28062102;infantil_ii_ciclo;2022-2023;0;0;165;51;165;2020-2021;115;55.0;38;38;38;0.696969696969697;0.6909090909090909;0.6909090909090909;1.0;1
28062102;primaria;2022-2023;38.333333333333336;55.0;322;1;322;2023-2024;309;53.666666666666664;3;2;40.333333333333336;0.9596273291925466;0.055900621118012424;0.751552795031056;0.6666666666666666;1
28043958;infantil_i_ciclo;2022-2023;0;0;67;77;67;2021-2022;62;22.333333333333332;70;67;67;0.9253731343283582;3.1343283582089554;3.0;0.9571428571428572;1
28060348;infantil_ii_ciclo;2022-2023;0;0;175;60;175;2024-2025;153;58.333333333333336;69;54;54;0.8742857142857143;1.1828571428571428;0.9257142857142857;0.782608695652174;1
28060348;primaria;2022-2023;51.0;58.333333333333336;514;14;514;2020-2021;408;85.66666666666667;23;11;62.0;0.7937743190661478;0.26848249027237353;0.7237354085603113;0.4782608695652174;1
28060348;eso;2022-2023;0;0;292;21;292;2020-2021;261;73.0;11;0;0;0.8938356164383562;0.1506849315068493;0.0;0.0;1
28044318;eso;2022-2023;0;0;494;101;494;2022-2023;494;123.5;110;101;101;1.0;0.8906882591093117;0.8178137651821862;0.9181818181818182;1
28064603;infantil_i_ciclo;2022-2023;0;0;33;35;33;2021-2022;27;11.0;28;28;28;0.8181818181818182;2.5454545454545454;2.5454545454545454;1.0;1
28040039;infantil_ii_ciclo;2022-2023;0;0;119;33;119;2021-2022;100;39.666666666666664;23;22;22;0.8403361344537815;0.5798319327731093;0.5546218487394958;0.9565217391304348;1
28040039;primaria;2022-2023;33.333333333333336;39.666666666666664;270;4;270;2020-2021;251;45.0;6;5;38.333333333333336;0.9296296296296296;0.13333333333333333;0.8518518518518519;0.8333333333333334;1
28040830;infantil_ii_ciclo;2022-2023;0;0;84;28;84;2022-2023;84;28.0;32;28;28;1.0;1.1428571428571428;1.0;0.875;1
28040830;primaria;2022-2023;28.0;28.0;215;1;215;2020-2021;181;35.833333333333336;10;2;30.0;0.8418604651162791;0.27906976744186046;0.8372093023255813;0.2;1
28063830;infantil_ii_ciclo;2022-2023;0;0;166;56;166;2020-2021;147;55.333333333333336;41;39;39;0.8855421686746988;0.7409638554216867;0.7048192771084337;0.9512195121951219;1
28063830;primaria;2022-2023;49.0;55.333333333333336;358;7;358;2023-2024;327;59.666666666666664;6;6;55.0;0.9134078212290503;0.1005586592178771;0.9217877094972068;1.0;1
28063830;eso;2022-2023;0;0;210;1;210;2024-2025;115;52.5;6;3;3;0.5476190476190477;0.11428571428571428;0.05714285714285714;0.5;1
28035639;infantil_ii_ciclo;2022-2023;0;0;137;40;137;2021-2022;129;45.666666666666664;34;34;34;0.9416058394160584;0.7445255474452556;0.7445255474452556;1.0;1
28035639;primaria;2022-2023;43.0;45.666666666666664;322;5;322;2023-2024;313;53.666666666666664;8;3;46.0;0.9720496894409938;0.14906832298136646;0.8571428571428572;0.375;1
28031051;infantil_ii_ciclo;2022-2023;0;0;159;56;159;2022-2023;159;53.0;70;56;56;1.0;1.320754716981132;1.0566037735849056;0.8;1
