id_education;cycle;year;total
28044151;total;2020-2021;97
28044151;total;2021-2022;109
28044151;total;2022-2023;101
28044151;total;2023-2024;90
28044151;total;2024-2025;100
28044151;infantil_i_ciclo;2020-2021;97
28044151;infantil_i_ciclo;2021-2022;109
28044151;infantil_i_ciclo;2022-2023;101
28044151;infantil_i_ciclo;2023-2024;90
28044151;infantil_i_ciclo;2024-2025;100
28078870;total;2020-2021;10
28078870;total;2021-2022;11
28078870;total;2022-2023;10
28078870;total;2023-2024;7
28078870;total;2024-2025;8
28078870;infantil_i_ciclo;2020-2021;10
28078870;infantil_i_ciclo;2021-2022;11
28078870;infantil_i_ciclo;2022-2023;10
28078870;infantil_i_ciclo;2023-2024;7
28078870;infantil_i_ciclo;2024-2025;8
28041767;total;2020-2021;406
28041767;total;2021-2022;388
28041767;total;2022-2023;387
28041767;total;2023-2024;392
28041767;total;2024-2025;384
28041767;infantil_ii_ciclo;2020-2021;131
28041767;infantil_ii_ciclo;2021-2022;127
28041767;infantil_ii_ciclo;2022-2023;129
28041767;infantil_ii_ciclo;2023-2024;125
28041767;infantil_ii_ciclo;2024-2025;123
28041767;primaria;2020-2021;275
28041767;primaria;2021-2022;261
28041767;primaria;2022-2023;258
28041767;primaria;2023-2024;267
28041767;primaria;2024-2025;261
28043831;total;2020-2021;103
28043831;total;2021-2022;113
28043831;total;2022-2023;111
28043831;total;2023-2024;93
28043831;total;2024-2025;114
28043831;infantil_i_ciclo;2020-2021;103
28043831;infantil_i_ciclo;2021-2022;113
28043831;infantil_i_ciclo;2022-2023;111
28043831;infantil_i_ciclo;2023-2024;93
28043831;infantil_i_ciclo;2024-2025;114
28037168;total;2020-2021;446
28037168;total;2021-2022;440
28037168;total;2022-2023;438
28037168;total;2023-2024;419
28037168;total;2024-2025;406
28037168;infantil_ii_ciclo;2020-2021;146
28037168;infantil_ii_ciclo;2021-2022;139
28037168;infantil_ii_ciclo;2022-2023;134
28037168;infantil_ii_ciclo;2023-2024;120
28037168;infantil_ii_ciclo;2024-2025;108
28037168;primaria;2020-2021;300
28037168;primaria;2021-2022;301
28037168;primaria;2022-2023;304
28037168;primaria;2023-2024;299
28037168;primaria;2024-2025;298
28030149;total;2020-2021;534
28030149;total;2021-2022;554
28030149;total;2022-2023;547
28030149;total;2023-2024;585
28030149;total;2024-2025;600
28030149;eso;2020-2021;380
28030149;eso;2021-2022;417
28030149;eso;2022-2023;416
28030149;eso;2023-2024;453
28030149;eso;2024-2025;466
28030149;bachillerato;2020-2021;154
28030149;bachillerato;2021-2022;137
28030149;bachillerato;2022-2023;131
28030149;bachillerato;2023-2024;132
28030149;bachillerato;2024-2025;134
28031531;total;2020-2021;527
28031531;total;2021-2022;544
28031531;total;2022-2023;556
28031531;total;2023-2024;552
28031531;total;2024-2025;543
28031531;infantil_ii_ciclo;2020-2021;196
28031531;infantil_ii_ciclo;2021-2022;175
