id_municipality,id_education,id_municipality_original
28183,28057741,28183
28183,28044847,28183
28183,28057741,28183
28183,28044847,28183
28183,28060816,28131
28183,28046364,28054
28183,28046364,28054
28070,28047204,28088
28070,28047204,28088
28070,28001952,28027
28070,28001952,28027
28154,28048117,28154
28154,28057829,28154
28154,28025208,28154
28154,28048117,28154
28154,28068384,28154
28154,28025208,28154
28154,28045773,28154
28052,28072831,28052
28052,28002646,28052
28052,28072831,28052
28052,28002646,28052
28052,28040684,28052
28040,28049845,28161
28040,28048105,28147
28040,28002166,28040
28040,28002191,28040
28040,28039736,28040
28040,28060294,28040
28040,28068086,28040
28040,28002166,28040
28040,28002191,28040
28040,28039736,28040
28040,28060294,28040
28040,28002181,28040
28040,28062035,28040
28029,28048671,28029
28029,28048671,28029
28029,28067537,28029
28029,28067537,28029
28029,28073872,28169
28053,28047824,28053
28053,28002671,28053
28053,28047824,28053
28053,28067604,28053
28053,28002671,28053
28053,28067604,28053
28053,28060385,28053
28053,28067604,28053
28071,28047204,28088
28071,28047204,28088
28071,28001952,28027
28071,28001952,28027
28137,28059437,28137
28137,28059437,28137
28137,28076575,28137
28137,28076575,28137
28137,28059437,28137
28137,28059437,28137
28137,28063921,28137
28137,28063921,28137
28137,28063921,28137
28137,28063921,28137
28137,28039682,28005
28137,28000467,28005
28137,28035305,28005
28137,28000522,28005
28137,28000364,28005
28137,28060397,28172
28137,28058615,28005
28137,28057210,28083
28137,28042000,28005
28137,28060373,28005
28102,28050653,28102
28102,28056311,28102
28102,28044422,28102
28102,28050653,28102
28102,28044422,28102
28102,28023388,28100
28102,28025415,28165
28179,28048737,28179
28179,28056291,28179
28179,28048737,28179
28179,28023388,28100
28179,28023388,28100
28162,28050677,28162
28162,28062606,28162
28162,28062679,28162
28162,28025373,28162
28162,28050677,28162
28162,28062606,28162
28162,28025373,28162
28162,28040611,28009
28162,28040672,28009
28162,28002853,28059
28043,28057842,28043
28043,28002245,28043
28043,28057842,28043
28043,28002245,28043
28043,28046285,28043
28090,28047940,28090
28090,28056230,28090
28090,28022992,28090
28090,28047940,28090
28090,28060351,28090
28090,28022992,28090
28090,28060351,28090
28090,28022207,28090
28093,28047964,28093
28093,28023273,28093
28093,28047964,28093
28093,28023273,28093
28093,28035342,28038
28093,28001812,28018
28136,28073112,28012
28136,28044801,28136
28136,28044801,28136
28136,28039682,28005
28136,28000467,28005
28136,28000364,28005
28136,28058615,28005
28130,28049109,28130
28130,28056308,28130
28130,28067288,28130
28130,28024307,28130
28130,28024319,28130
28130,28028261,28130
28130,28034052,28130
28130,28038461,28130
28130,28039256,28130
28130,28043995,28130
28130,28044008,28130
28130,28046145,28130
28130,28049109,28130
28130,28063027,28130
28130,28067288,28130
28130,28024307,28130
28130,28024319,28130
28130,28028261,28130
28130,28034052,28130
28130,28038461,28130
28130,28039256,28130
28130,28046145,28130
28130,28024290,28130
28130,28037065,28130
28130,28038616,28130
28068,28048683,28068
28068,28057404,28068
28068,28003456,28068
28068,28048683,28068
28068,28064381,28068
28068,28071012,28068
28068,28003456,28068
28068,28064381,28068
28068,28040714,28068
28042,28047812,28042
28042,28047812,28042
28042,28067756,28042
28042,28067756,28042
28042,28023364,28099
28042,28067744,28051
28072,28056230,28090
28072,28058214,28047
28072,28047940,28090
28072,28003481,28072
28072,28068268,28072
28072,28003481,28072
28072,28046251,28072
28032,28047770,28032
28032,28002038,28032
28032,28047770,28032
28032,28002038,28032
28032,28002038,28032
28067,28065981,28067
28067,28003420,28067
28067,28065981,28067
28067,28003420,28067
28067,28064044,28067
28172,28048749,28172
28172,28025506,28172
28172,28048749,28172
28172,28050379,28172
28172,28057532,28172
28172,28058718,28172
28172,28025506,28172
28172,28050379,28172
28172,28058718,28172
28172,28060397,28172
