id_municipality,municipality_name,total_centers,total_population_0_19,population_0-4,population_5-9,population_10-14,population_15-19,infantil_i_ciclo_capacity,infantil_i_ciclo_plazas_estimadas,infantil_i_ciclo_max_matriculados,infantil_i_ciclo_solicitudes,infantil_i_ciclo_admitidos,infantil_i_ciclo_num_centers,infantil_i_ciclo_centers_names,infantil_ii_ciclo_capacity,infantil_ii_ciclo_plazas_estimadas,infantil_ii_ciclo_max_matriculados,infantil_ii_ciclo_solicitudes,infantil_ii_ciclo_admitidos,infantil_ii_ciclo_num_centers,infantil_ii_ciclo_centers_names,primaria_capacity,primaria_plazas_estimadas,primaria_max_matriculados,primaria_solicitudes,primaria_admitidos,primaria_num_centers,primaria_centers_names,eso_capacity,eso_plazas_estimadas,eso_max_matriculados,eso_solicitudes,eso_admitidos,eso_num_centers,eso_centers_names,infantil_i_ciclo_estimated_need,infantil_i_ciclo_coverage_ratio,infantil_i_ciclo_is_covered,infantil_i_ciclo_deficit,infantil_ii_ciclo_estimated_need,infantil_ii_ciclo_coverage_ratio,infantil_ii_ciclo_is_covered,infantil_ii_ciclo_deficit,primaria_estimated_need,primaria_coverage_ratio,primaria_is_covered,primaria_deficit,eso_estimated_need,eso_coverage_ratio,eso_is_covered,eso_deficit,total_estimated_need,total_capacity,overall_coverage_ratio,cycles_with_need,cycles_covered,coverage_percentage,is_fully_covered,total_deficit,cycles_with_access,access_percentage,access_classification,has_basic_education,has_mandatory_education,missing_cycles
28183,Zarzalejo,4,397,80,115,107,95,14,4.666666666666667,14,10,9,1,Colorín Colorete,99,33.0,99,24,23,1,CRA Sierra Oeste Zarzalejo,366,61.0,366,5,30.0,2,"Padre Antonio Soler, CRA Sierra Oeste Zarzalejo",580,145.0,580,119,111,2,"Padre Antonio Soler, El Escorial",48.0,0.2916666666666667,False,34.0,55.0,1.8,True,0.0,134.8,2.71513353115727,True,0.0,83.2,6.971153846153846,True,0.0,321.0,1059,3.2990654205607477,4,3,75.0,False,0.0,4,100.0,Acceso Completo,True,True,[]
28070,Horcajo de la Sierra-Aoslos,2,37,7,9,13,8,14,4.666666666666667,14,14,14,1,Montejo de la Sierra,92,30.666666666666668,92,22,22,1,Peñalta,208,34.666666666666664,208,2,30.333333333333332,1,Peñalta,96,24.0,96,1,0,1,Peñalta,4.2,3.333333333333333,True,0.0,4.6,20.0,True,0.0,12.4,16.774193548387096,True,0.0,9.4,10.212765957446807,True,0.0,30.6,410,13.398692810457515,4,4,100.0,True,0.0,4,100.0,Acceso Completo,True,True,[]
28154,Torres de la Alameda,3,1649,253,384,479,533,105,35.0,105,120,114,1,El Sastrecillo Valiente,185,61.666666666666664,185,46,40,1,Ntra. Sra. del Rosario,504,84.0,504,7,57.666666666666664,1,Ntra. Sra. del Rosario,521,130.25,521,113,106,1,Senda Galiana,151.8,0.691699604743083,False,46.80000000000001,178.0,1.0393258426966292,True,0.0,498.79999999999995,1.0104250200481155,True,0.0,394.0,1.3223350253807107,True,0.0,1222.6,1315,1.0755766399476525,4,3,75.0,False,0.0,4,100.0,Acceso Completo,True,True,[]
28052,Chinchón,3,1084,214,275,310,285,15,5.0,15,21,16,1,Chinchón nº 1,126,42.0,126,39,39,1,Hermanos Ortiz de Zárate,314,52.333333333333336,314,3,41.666666666666664,1,Hermanos Ortiz de Zárate,393,98.25,393,86,83,1,Carpe Diem,128.4,0.11682242990654206,False,113.4,140.6,0.8961593172119489,False,14.599999999999994,344.0,0.9127906976744186,False,30.0,243.0,1.617283950617284,True,0.0,856.0,848,0.9906542056074766,4,1,25.0,False,8.0,4,100.0,Acceso Completo,True,True,[]
28040,Ciempozuelos,8,5349,1014,1301,1496,1538,181,60.333333333333336,181,193,181,2,"Caracol Col Col, Caracol Col Col",655,218.33333333333334,655,200,171,4,"Ventura Rodríguez, Eloy Saavedra, Andrés Segovia, Virgen del Consuelo",1602,267.0,1602,51,215.0,4,"Ventura Rodríguez, Eloy Saavedra, Andrés Segovia, Virgen del Consuelo",1262,315.5,1262,315,297,2,"Francisco Umbral, Juan Carlos I",608.4,0.2975016436554898,False,427.4,665.8,0.9837789125863623,False,10.799999999999955,1639.1999999999998,0.9773060029282578,False,37.19999999999982,1205.2,1.047129107202124,True,0.0,4118.599999999999,3700,0.8983635215850048,4,1,25.0,False,418.59999999999945,4,100.0,Acceso Completo,True,True,[]
28029,Cabanillas de la Sierra,2,185,39,49,49,48,0,0.0,0,0,0,0,Ninguno,145,48.33333333333333,145,57,56,2,"Puerta de la Sierra, CRA Cabanillas de la Sierra",298,49.66666666666667,298,1,49.33333333333333,2,"Puerta de la Sierra, CRA Cabanillas de la Sierra",86,21.5,86,7,2,1,Puerta de la Sierra,23.4,0.0,False,23.4,25.4,5.708661417322835,True,0.0,58.800000000000004,5.068027210884353,True,0.0,39.0,2.2051282051282053,True,0.0,146.6,529,3.6084583901773537,4,3,75.0,False,0.0,3,75.0,Acceso Bueno,True,True,['infantil_i_ciclo']
28053,Daganzo de Arriba,4,2800,416,575,829,980,90,30.0,90,113,95,1,Daganzo,233,77.66666666666666,233,59,59,2,"Ángel Berzal Fernández, Salvador de Madariaga",619,103.16666666666667,619,12,76.66666666666667,2,"Ángel Berzal Fernández, Salvador de Madariaga",715,178.75,715,156,143,2,"Miguel de Cervantes, Salvador de Madariaga",249.6,0.3605769230769231,False,159.6,281.4,0.8280028429282161,False,48.39999999999998,791.6,0.7819605861546235,False,172.60000000000002,693.4,1.0311508508797231,True,0.0,2016.0,1657,0.8219246031746031,4,1,25.0,False,359.0,4,100.0,Acceso Completo,True,True,[]
28071,Horcajuelo de la Sierra,2,16,4,4,3,5,14,4.666666666666667,14,14,14,1,Montejo de la Sierra,92,30.666666666666668,92,22,22,1,Peñalta,208,34.666666666666664,208,2,30.333333333333332,1,Peñalta,96,24.0,96,1,0,1,Peñalta,2.4,5.833333333333334,True,0.0,2.4000000000000004,38.33333333333333,True,0.0,4.4,47.272727272727266,True,0.0,2.8,34.285714285714285,True,0.0,12.0,410,34.166666666666664,4,4,100.0,True,0.0,4,100.0,Acceso Completo,True,True,[]
28137,Los Santos de la Humosa,11,676,127,164,232,153,34,11.333333333333334,34,38,35,1,Baobab,80,26.666666666666668,80,27,26,1,Los Santos,240,40.0,240,0,23.666666666666668,1,Los Santos,4788,1197.0,4788,1222,977,9,"Alonso Quijano, Alonso de Avellaneda, Alkala-Nahar, Gaspar Sanz, Complutense, Antonio Machado, Lázaro Carreter, Don Pelayo, Ignacio Ellacuría",76.2,0.44619422572178474,False,42.2,83.6,0.9569377990430623,False,3.5999999999999943,224.0,1.0714285714285714,True,0.0,169.79999999999998,28.197879858657245,True,0.0,553.6,5142,9.288294797687861,4,2,50.0,False,0.0,4,100.0,Acceso Completo,True,True,[]
28102,Orusco de Tajuña,3,294,55,69,73,97,0,0.0,0,0,0,0,Ninguno,341,113.66666666666666,341,97,95,3,"Juan de Goyeneche, CRA Vega de Tajuña, Miguel de Cervantes",736,122.66666666666667,736,19,117.0,3,"Juan de Goyeneche, CRA Vega de Tajuña, Miguel de Cervantes",400,100.0,400,13,7,2,"Juan de Goyeneche, Miguel de Cervantes",33.0,0.0,False,33.0,35.8,9.52513966480447,True,0.0,84.4,8.72037914691943,True,0.0,63.199999999999996,6.329113924050634,True,0.0,216.39999999999998,1477,6.825323475046211,4,3,75.0,False,0.0,3,75.0,Acceso Bueno,True,True,['infantil_i_ciclo']
