hospital_id;municipality_id
hospital_central_de_la_defensa_gomez_ulla;28079
CH0053;28079
CH0027;28018
CH0027;28038
CH0027;28046
CH0027;28044
CH0027;28054
CH0027;28056
CH0027;28061
CH0027;28068
CH0027;28087
CH0027;28093
CH0027;28095
CH0027;28125
CH0027;28131
CH0027;28135
CH0027;28159
CH0027;28160
CH0027;28183
CH0011;n/a
CH0106;28010
CH0106;28018
CH0106;28038
CH0106;28046
CH0106;28047
CH0106;28090
CH0106;28093
CH0034;Moratalaz
CH0034;Vicálvaro y Retiro
CH0023;28079
CH0086;28058
CH0086;28073
CH0086;28089
CH0075;28065
CH0075;28113
CH0029;n/a
CH0032;28092
CH0032;28015
CH0104;28002
CH0104;28053
CH0104;28057
CH0104;28148
CH0104;28122
CH0096;28049
CH0096;28130
CH0096;28084
CH0096;28167
CH0096;28075
CH0100;28011
CH0100;28014
CH0100;28019
CH0100;28025
CH0100;28033
CH0100;28035
CH0100;28055
CH0100;28060
CH0100;28091
CH0100;28100
CH0100;28101
CH0100;28102
CH0100;28110
CH0100;28116
CH0100;28123
CH0100;28146
CH0100;28155
CH0100;28165
CH0100;28173
CH0100;28179
CH0100;28180
CH0099;28013
CH0099;28043
CH0099;28052
CH0099;28157
CH0099;28170
CH0080;28007
CH0098;28106
CH0098;28150
CH0098;28149
CH0098;28017
CH0098;28050
CH0098;28036
CH0098;28140
CH0098;28066
CH0095;28161
CH0095;28040
CH0095;28147
CH0095;28132
CH0101;28079
CH0097;28001
CH0097;28003
CH0097;28006
CH0097;28009
CH0097;28016
CH0097;28021
CH0097;28020
CH0097;Braojos de la Sierra
CH0097;28027
CH0097;28029
CH0097;28030
CH0097;28034
CH0097;28039
CH0097;28041
CH0097;28059
CH0097;28062
CH0097;28063
CH0097;28064
CH0097;28069
CH0097;28070
CH0097;28071
CH0097;28076
CH0097;28901
CH0097;28078
CH0097;28086
CH0097;28088
CH0097;28097
CH0097;28104
CH0097;28107
CH0097;28108
CH0097;28112
CH0097;28114
CH0097;28117
CH0097;28118
CH0097;28902
CH0097;28120
CH0097;28121
CH0097;28124
CH0097;28126
CH0097;28129
CH0097;28134
CH0097;28138
CH0097;28143
CH0097;28145
CH0097;28151
CH0097;28153
CH0097;28158
CH0097;28162
CH0097;28163
CH0097;28164
CH0097;28168
CH0097;28169
CH0097;28182
CH0044;28005
CH0044;28012
CH0044;28032
CH0044;28048
CH0044;28083
CH0044;28111
CH0044;28136
CH0044;28137
CH0044;28154
CH0044;28156
CH0044;28166
CH0044;28172
CH0102;n/a
CH0041;n/a
CH0049;n/a
CH0105;28092
CH0105;28096
CH0105;28004
CH0105;28178
CH0105;28171
CH0105;28099
CH0105;28042
CH0105;28109
CH0105;28037
CH0105;28181
CH0105;28141
CH0105;28174
CH0105;28175
CH0105;28008
CH0105;28051
CH0105;28133
CH0105;28031
CH0105;28128
CH0052;28074
CH0052;28058
CH0052;28073
CH0052;28089
