hospital_id;year;type_resources;total
CH0096;2012;Camas instaladas;202.0
CH0096;2013;Camas instaladas;210.0
CH0096;2014;Camas instaladas;210.0
CH0096;2015;Camas instaladas;220.0
CH0096;2016;Camas instaladas;232.0
CH0096;2017;Camas instaladas;241.0
CH0096;2018;Camas instaladas;250.0
CH0096;2019;Camas instaladas;261.0
CH0096;2020;Camas instaladas;323.0
CH0096;2021;Camas instaladas;267.0
CH0096;2022;Camas instaladas;263.0
CH0099;2012;Camas instaladas;98.0
CH0099;2013;Camas instaladas;98.0
CH0099;2014;Camas instaladas;98.0
CH0099;2015;Camas instaladas;98.0
CH0099;2016;Camas instaladas;98.0
CH0099;2017;Camas instaladas;98.0
CH0099;2018;Camas instaladas;98.0
CH0099;2019;Camas instaladas;98.0
CH0099;2020;Camas instaladas;98.0
CH0099;2021;Camas instaladas;98.0
CH0099;2022;Camas instaladas;102.0
CH0097;2012;Camas instaladas;283.0
CH0097;2013;Camas instaladas;283.0
CH0097;2014;Camas instaladas;283.0
CH0097;2015;Camas instaladas;277.0
CH0097;2016;Camas instaladas;271.0
CH0097;2017;Camas instaladas;271.0
CH0097;2018;Camas instaladas;271.0
CH0097;2019;Camas instaladas;276.0
CH0097;2020;Camas instaladas;276.0
CH0097;2021;Camas instaladas;276.0
CH0097;2022;Camas instaladas;276.0
CH0086;2012;Camas instaladas;406.0
CH0086;2013;Camas instaladas;406.0
CH0086;2014;Camas instaladas;406.0
CH0086;2015;Camas instaladas;406.0
CH0086;2016;Camas instaladas;406.0
CH0086;2017;Camas instaladas;406.0
CH0086;2018;Camas instaladas;406.0
CH0086;2019;Camas instaladas;406.0
CH0086;2020;Camas instaladas;406.0
CH0086;2021;Camas instaladas;406.0
CH0086;2022;Camas instaladas;413.0
CH0102;2012;Camas instaladas;613.0
CH0102;2013;Camas instaladas;613.0
CH0102;2014;Camas instaladas;613.0
CH0102;2015;Camas instaladas;613.0
CH0102;2016;Camas instaladas;613.0
CH0102;2017;Camas instaladas;613.0
CH0102;2018;Camas instaladas;613.0
CH0102;2019;Camas instaladas;613.0
CH0102;2020;Camas instaladas;613.0
CH0102;2021;Camas instaladas;613.0
CH0102;2022;Camas instaladas;613.0
CH0027;2012;Camas instaladas;77.0
CH0027;2013;Camas instaladas;91.0
CH0027;2014;Camas instaladas;91.0
CH0027;2015;Camas instaladas;91.0
CH0027;2016;Camas instaladas;91.0
CH0027;2017;Camas instaladas;91.0
CH0027;2018;Camas instaladas;91.0
CH0027;2019;Camas instaladas;91.0
CH0027;2020;Camas instaladas;91.0
CH0027;2021;Camas instaladas;92.0
CH0027;2022;Camas instaladas;92.0
CH0098;2012;Camas instaladas;247.0
CH0098;2013;Camas instaladas;247.0
CH0098;2014;Camas instaladas;188.0
CH0098;2015;Camas instaladas;188.0
CH0098;2016;Camas instaladas;188.0
CH0098;2017;Camas instaladas;188.0
CH0098;2018;Camas instaladas;188.0
CH0098;2019;Camas instaladas;188.0
CH0098;2020;Camas instaladas;188.0
CH0098;2021;Camas instaladas;188.0
CH0098;2022;Camas instaladas;188.0
CH0052;2012;Camas instaladas;412.0
CH0052;2013;Camas instaladas;412.0
CH0052;2014;Camas instaladas;412.0
CH0052;2015;Camas instaladas;386.0
CH0052;2016;Camas instaladas;386.0
CH0052;2017;Camas instaladas;386.0
CH0052;2018;Camas instaladas;386.0
CH0052;2019;Camas instaladas;386.0
CH0052;2020;Camas instaladas;386.0
CH0052;2021;Camas instaladas;386.0
CH0052;2022;Camas instaladas;386.0
CH0044;2012;Camas instaladas;594.0
CH0044;2013;Camas instaladas;594.0
CH0044;2014;Camas instaladas;594.0
CH0044;2015;Camas instaladas;594.0
CH0044;2016;Camas instaladas;488.0
CH0044;2017;Camas instaladas;507.0
CH0044;2018;Camas instaladas;507.0
CH0044;2019;Camas instaladas;507.0
CH0044;2020;Camas instaladas;507.0
CH0044;2021;Camas instaladas;507.0
CH0044;2022;Camas instaladas;507.0
CH0104;2012;Camas instaladas;250.0
CH0104;2013;Camas instaladas;250.0
CH0104;2014;Camas instaladas;250.0
CH0104;2015;Camas instaladas;248.0
CH0104;2016;Camas instaladas;248.0
CH0104;2017;Camas instaladas;214.0
CH0104;2018;Camas instaladas;214.0
CH0104;2019;Camas instaladas;214.0
CH0104;2020;Camas instaladas;250.0
CH0104;2021;Camas instaladas;250.0
CH0104;2022;Camas instaladas;250.0
CH0106;2015;Camas instaladas;164.0
CH0106;2016;Camas instaladas;164.0
CH0106;2017;Camas instaladas;209.0
CH0106;2018;Camas instaladas;209.0
CH0106;2019;Camas instaladas;217.0
CH0106;2020;Camas instaladas;217.0
CH0106;2021;Camas instaladas;217.0
CH0106;2022;Camas instaladas;217.0
CH0032;2012;Camas instaladas;411.0
CH0032;2013;Camas instaladas;411.0
CH0032;2014;Camas instaladas;349.0
CH0032;2015;Camas instaladas;349.0
CH0032;2016;Camas instaladas;332.0
CH0032;2017;Camas instaladas;332.0
CH0032;2018;Camas instaladas;332.0
CH0032;2019;Camas instaladas;328.0
CH0032;2020;Camas instaladas;328.0
CH0032;2021;Camas instaladas;328.0
CH0032;2022;Camas instaladas;328.0
CH0049;2012;Camas instaladas;1118.0
CH0049;2013;Camas instaladas;1015.0
CH0049;2014;Camas instaladas;947.0
CH0049;2015;Camas instaladas;891.0
CH0049;2016;Camas instaladas;891.0
CH0049;2017;Camas instaladas;901.0
CH0049;2018;Camas instaladas;901.0
CH0049;2019;Camas instaladas;901.0
CH0049;2020;Camas instaladas;875.0
CH0049;2021;Camas instaladas;892.0
CH0049;2022;Camas instaladas;892.0
CH0105;2012;Camas instaladas;300.0
CH0105;2013;Camas instaladas;310.0
CH0105;2014;Camas instaladas;310.0
CH0105;2015;Camas instaladas;310.0
CH0105;2016;Camas instaladas;386.0
CH0105;2017;Camas instaladas;346.0
CH0105;2018;Camas instaladas;364.0
CH0105;2019;Camas instaladas;361.0
CH0105;2020;Camas instaladas;364.0
CH0105;2021;Camas instaladas;362.0
CH0105;2022;Camas instaladas;362.0
CH0080;2012;Camas instaladas;448.0
CH0080;2013;Camas instaladas;409.0
CH0080;2014;Camas instaladas;409.0
CH0080;2015;Camas instaladas;403.0
CH0080;2016;Camas instaladas;400.0
CH0080;2017;Camas instaladas;400.0
CH0080;2018;Camas instaladas;400.0
CH0080;2019;Camas instaladas;402.0
CH0080;2020;Camas instaladas;402.0
CH0080;2021;Camas instaladas;401.0
CH0080;2022;Camas instaladas;401.0
CH0101;2012;Camas instaladas;269.0
CH0101;2013;Camas instaladas;269.0
