id,id_secondary,name,tag
28183,1837,Zarzalejo,Zarzalejo
28070,702,Horcajo de la Sierra-Aoslos,Horcajo de la Sierra-Aoslos
28154,1548,Torres de la Alameda,Torres de la Alameda
28052,528,Chinchón,Chinchón
28074,745,Leganés,Leganés
28040,409,Ciempozuelos,Ciempozuelos
28029,297,Cabanillas de la Sierra,Cabanillas de la Sierra
28022,225,Boadilla del Monte,Boadilla del Monte
28053,534,Daganzo de Arriba,Daganzo de Arriba
28127,1277,Las Rozas de Madrid,Las Rozas de Madrid
28071,719,Horcajuelo de la Sierra,Horcajuelo de la Sierra
28137,1375,Los Santos de la Humosa,Los Santos de la Humosa
28102,1028,Orusco de Tajuña,Orusco de Tajuña
28179,1795,Villar del Olmo,Villar del Olmo
28162,1625,Valdeolmos-Alalpardo,Valdeolmos-Alalpardo
28043,437,Colmenar de Oreja,Colmenar de Oreja
28090,908,Moralzarzal,Moralzarzal
28093,936,Navacerrada,Navacerrada
28136,1369,Santorcaz,Santorcaz
28130,1300,San Fernando de Henares,San Fernando de Henares
28068,685,Guadarrama,Guadarrama
28123,1230,Rivas-Vaciamadrid,Rivas-Vaciamadrid
28042,421,Colmenar del Arroyo,Colmenar del Arroyo
28072,724,Hoyo de Manzanares,Hoyo de Manzanares
28032,323,Camarma de Esteruelas,Camarma de Esteruelas
28067,679,Guadalix de la Sierra,Guadalix de la Sierra
28172,1723,Villalbilla,Villalbilla
28096,967,Navalcarnero,Navalcarnero
28087,875,Los Molinos,Los Molinos
28063,632,Gargantilla del Lozoya y Pinilla de Buitrago,Gargantilla del Lozoya y Pinilla de Buitrago
28176,1760,Villanueva de la Cañada,Villanueva de la Cañada
28148,1489,Torrejón de Ardoz,Torrejón de Ardoz
28118,1185,Puebla de la Sierra,Puebla de la Sierra
28169,1697,Venturada,Venturada
28025,259,Brea de Tajo,Brea de Tajo
28030,301,La Cabrera,La Cabrera
28080,800,Majadahonda,Majadahonda
28104,1049,Paracuellos de Jarama,Paracuellos de Jarama
28026,262,Brunete,Brunete
28902,9020,Puentes Viejas,Puentes Viejas
28083,838,Meco,Meco
28181,1816,Villaviciosa de Odón,Villaviciosa de Odón
28182,1821,Villavieja del Lozoya,Villavieja del Lozoya
28062,626,Garganta de los Montes,Garganta de los Montes
28091,915,Morata de Tajuña,Morata de Tajuña
28157,1570,Valdelaguna,Valdelaguna
28164,1646,Valdetorres de Jarama,Valdetorres de Jarama
28055,552,Estremera,Estremera
28171,1718,Villa del Prado,Villa del Prado
28178,1782,Villanueva de Perales,Villanueva de Perales
28092,920,Móstoles,Móstoles
28113,1132,Pinto,Pinto
28166,1662,Valverde de Alcalá,Valverde de Alcalá
28165,1659,Valdilecha,Valdilecha
28159,1599,Valdemaqueda,Valdemaqueda
28016,164,El Atazar,El Atazar
28075,758,Loeches,Loeches
28018,186,Becerril de la Sierra,Becerril de la Sierra
28124,1245,Robledillo de la Jara,Robledillo de la Jara
28174,1744,Villamanta,Villamanta
28108,1087,Pedrezuela,Pedrezuela
28082,822,Manzanares El Real,Manzanares El Real
28163,1631,Valdepiélagos,Valdepiélagos
28158,1586,Valdemanco,Valdemanco
28004,40,El Álamo,El Álamo
28008,88,Aldea del Fresno,Aldea del Fresno
28064,647,Gascones,Gascones
28058,587,Fuenlabrada,Fuenlabrada
28131,1317,San Lorenzo de El Escorial,San Lorenzo de El Escorial
28180,1809,Villarejo de Salvanés,Villarejo de Salvanés
28078,783,Madarcos,Madarcos
28054,549,El Escorial,El Escorial
28031,318,Cadalso de los Vidrios,Cadalso de los Vidrios
28021,210,El Berrueco,El Berrueco
28079,796,Madrid,Madrid
28903,9036,Tres Cantos,Tres Cantos
28033,339,Campo Real,Campo Real
28015,151,Arroyomolinos,Arroyomolinos
28066,663,Griñón,Griñón
28027,278,Buitrago del Lozoya,Buitrago del Lozoya
28170,1701,Villaconejos,Villaconejos
28160,1603,Valdemorillo,Valdemorillo
28122,1224,Ribatejada,Ribatejada
28161,1610,Valdemoro,Valdemoro
28024,246,Braojos,Braojos
28151,1512,Torrelaguna,Torrelaguna
28002,29,Ajalvir,Ajalvir
28009,91,Algete,Algete
28111,1111,Pezuela de las Torres,Pezuela de las Torres
28099,992,Navas del Rey,Navas del Rey
28013,133,Aranjuez,Aranjuez
28006,66,Alcobendas,Alcobendas
28129,1296,San Agustín del Guadalix,San Agustín del Guadalix
28045,455,Colmenar Viejo,Colmenar Viejo
28115,1150,Pozuelo de Alarcón,Pozuelo de Alarcón
28038,382,Cercedilla,Cercedilla
28050,506,Cubas de la Sagra,Cubas de la Sagra
28132,1322,San Martín de la Vega,San Martín de la Vega
28119,1198,Quijorna,Quijorna
28047,474,Collado Villalba,Collado Villalba
28035,357,Carabaña,Carabaña
28088,881,Montejo de la Sierra,Montejo de la Sierra
28044,442,Colmenarejo,Colmenarejo
28114,1147,Piñuécar-Gandullas,Piñuécar-Gandullas
28117,1179,Prádena del Rincón,Prádena del Rincón
28116,1163,Pozuelo del Rey,Pozuelo del Rey
28156,1564,Valdeavero,Valdeavero
28034,344,Canencia,Canencia
28106,1065,Parla,Parla
28076,761,Lozoya,Lozoya
28059,590,Fuente el Saz de Jarama,Fuente el Saz de Jarama
28065,650,Getafe,Getafe
28144,1441,Soto del Real,Soto del Real
28145,1454,Talamanca de Jarama,Talamanca de Jarama
28010,105,Alpedrete,Alpedrete
28147,1473,Titulcia,Titulcia
28167,1678,Velilla de San Antonio,Velilla de San Antonio
28085,856,Miraflores de la Sierra,Miraflores de la Sierra
28019,199,Belmonte de Tajo,Belmonte de Tajo
28057,571,Fresno de Torote,Fresno de Torote
28046,468,Collado Mediano,Collado Mediano
28112,1126,Pinilla del Valle,Pinilla del Valle
28051,513,Chapinería,Chapinería
28023,231,El Boalo,El Boalo
28138,1381,La Serna del Monte,La Serna del Monte
28101,1013,Olmeda de las Fuentes,Olmeda de las Fuentes
28177,1776,Villanueva del Pardillo,Villanueva del Pardillo
28173,1739,Villamanrique de Tajo,Villamanrique de Tajo
28126,1261,Robregordo,Robregordo
28100,1006,Nuevo Baztán,Nuevo Baztán
28149,1492,Torrejón de la Calzada,Torrejón de la Calzada
28005,53,Alcalá de Henares,Alcalá de Henares
28001,14,La Acebeda,La Acebeda
28003,35,Alameda del Valle,Alameda del Valle
28011,112,Ambite,Ambite
28094,941,Navalafuente,Navalafuente
28007,72,Alcorcón,Alcorcón
28056,565,Fresnedillas de la Oliva,Fresnedillas de la Oliva
28028,284,Bustarviejo,Bustarviejo
28017,170,Batres,Batres
28155,1551,Valdaracete,Valdaracete
28036,360,Casarrubuelos,Casarrubuelos
28060,604,Fuentidueña de Tajo,Fuentidueña de Tajo
28168,1684,El Vellón,El Vellón
28146,1467,Tielmes,Tielmes
28175,1757,Villamantilla,Villamantilla
28069,698,La Hiruela,La Hiruela
28110,1104,Perales de Tajuña,Perales de Tajuña
28120,1202,Rascafría,Rascafría
28125,1258,Robledo de Chavela,Robledo de Chavela
28140,1408,Serranillos del Valle,Serranillos del Valle
28107,1071,Patones,Patones
28128,1283,Rozas de Puerto Real,Rozas de Puerto Real
28150,1505,Torrejón de Velasco,Torrejón de Velasco
28153,1533,Torremocha de Jarama,Torremocha de Jarama
28097,973,Navarredonda y San Mamés,Navarredonda y San Mamés
28133,1338,San Martín de Valdeiglesias,San Martín de Valdeiglesias
28089,894,Moraleja de Enmedio,Moraleja de Enmedio
28152,1527,Torrelodones,Torrelodones
28048,480,Corpa,Corpa
28086,869,El Molar,El Molar
28084,843,Mejorada del Campo,Mejorada del Campo
28121,1219,Redueña,Redueña
28134,1343,San Sebastián de los Reyes,San Sebastián de los Reyes
28012,127,Anchuelo,Anchuelo
28141,1415,Sevilla la Nueva,Sevilla la Nueva
28135,1356,Santa María de la Alameda,Santa María de la Alameda
28020,203,Berzosa del Lozoya,Berzosa del Lozoya
28073,730,Humanes de Madrid,Humanes de Madrid
28901,9015,Lozoyuela-Navas-Sieteiglesias,Lozoyuela-Navas-Sieteiglesias
28049,493,Coslada,Coslada
28061,611,Galapagar,Galapagar
28014,148,Arganda del Rey,Arganda del Rey
28037,376,Cenicientos,Cenicientos
28109,1090,Pelayos de la Presa,Pelayos de la Presa
28041,416,Cobeña,Cobeña
28143,1436,Somosierra,Somosierra
28039,395,Cervera de Buitrago,Cervera de Buitrago
28095,954,Navalagamella,Navalagamella
