municipality_id;cycle;analysis_year;capacity;estimated_places;max_enrolled;applications;admitted;num_centers;centers_names;estimated_need;coverage_ratio;is_covered;deficit
28183;infantil_i_ciclo;2022-2023;14;4.666666666666667;14;10;9;1;Colorín Colorete;48.0;0.2916666666666667;False;34.0
28183;infantil_ii_ciclo;2022-2023;99;33.0;99;24;23;1;CRA Sierra Oeste Zarzalejo;55.0;1.8;True;0.0
28183;primaria;2022-2023;366;61.0;366;5;30.0;2;Padre Antonio Soler, CRA Sierra Oeste Zarzalejo;134.8;2.71513353115727;True;0.0
28183;eso;2022-2023;580;145.0;580;119;111;2;Padre Antonio Soler, El Escorial;83.2;6.971153846153846;True;0.0
28070;infantil_i_ciclo;2022-2023;14;4.666666666666667;14;14;14;1;Montejo de la Sierra;4.2;3.333333333333333;True;0.0
28070;infantil_ii_ciclo;2022-2023;92;30.666666666666668;92;22;22;1;Peñalta;4.6;20.0;True;0.0
28070;primaria;2022-2023;208;34.666666666666664;208;2;30.333333333333332;1;Peñalta;12.4;16.774193548387096;True;0.0
28070;eso;2022-2023;96;24.0;96;1;0;1;Peñalta;9.4;10.212765957446807;True;0.0
28154;infantil_i_ciclo;2022-2023;105;35.0;105;120;114;1;El Sastrecillo Valiente;151.8;0.691699604743083;False;46.80000000000001
28154;infantil_ii_ciclo;2022-2023;185;61.666666666666664;185;46;40;1;Ntra. Sra. del Rosario;178.0;1.0393258426966292;True;0.0
28154;primaria;2022-2023;504;84.0;504;7;57.666666666666664;1;Ntra. Sra. del Rosario;498.79999999999995;1.0104250200481155;True;0.0
28154;eso;2022-2023;521;130.25;521;113;106;1;Senda Galiana;394.0;1.3223350253807107;True;0.0
28052;infantil_i_ciclo;2022-2023;15;5.0;15;21;16;1;Chinchón nº 1;128.4;0.11682242990654206;False;113.4
28052;infantil_ii_ciclo;2022-2023;126;42.0;126;39;39;1;Hermanos Ortiz de Zárate;140.6;0.8961593172119489;False;14.599999999999994
28052;primaria;2022-2023;314;52.333333333333336;314;3;41.666666666666664;1;Hermanos Ortiz de Zárate;344.0;0.9127906976744186;False;30.0
28052;eso;2022-2023;393;98.25;393;86;83;1;Carpe Diem;243.0;1.617283950617284;True;0.0
28040;infantil_i_ciclo;2022-2023;181;60.333333333333336;181;193;181;2;Caracol Col Col, Caracol Col Col;608.4;0.2975016436554898;False;427.4
28040;infantil_ii_ciclo;2022-2023;655;218.33333333333334;655;200;171;4;Ventura Rodríguez, Eloy Saavedra, Andrés Segovia, Virgen del Consuelo;665.8;0.9837789125863623;False;10.799999999999955
28040;primaria;2022-2023;1602;267.0;1602;51;215.0;4;Ventura Rodríguez, Eloy Saavedra, Andrés Segovia, Virgen del Consuelo;1639.1999999999998;0.9773060029282578;False;37.19999999999982
28040;eso;2022-2023;1262;315.5;1262;315;297;2;Francisco Umbral, Juan Carlos I;1205.2;1.047129107202124;True;0.0
28029;infantil_i_ciclo;2022-2023;0;0.0;0;0;0;0;Ninguno;23.4;0.0;False;23.4
28029;infantil_ii_ciclo;2022-2023;145;48.33333333333333;145;57;56;2;Puerta de la Sierra, CRA Cabanillas de la Sierra;25.4;5.708661417322835;True;0.0
