id_secondary_municipality,name,total,year,range
0014,Acebeda (La),0,2021,0-4
0014,Acebeda (La),0,2022,0-4
0014,Acebeda (La),0,2023,0-4
0014,Acebeda (La),1,2024,0-4
0029,Ajalvir,198,2021,0-4
0029,Ajalvir,194,2022,0-4
0029,Ajalvir,193,2023,0-4
0029,Ajalvir,168,2024,0-4
0035,Alameda del Valle,10,2021,0-4
0035,Alameda del Valle,6,2022,0-4
0035,Alameda del Valle,7,2023,0-4
0035,Alameda del Valle,11,2024,0-4
0040,Álamo (El),477,2021,0-4
0040,Álamo (El),439,2022,0-4
0040,Álamo (El),447,2023,0-4
0040,Álamo (El),470,2024,0-4
0053,Alcalá de Henares,7791,2021,0-4
0053,Alcalá de Henares,7556,2022,0-4
0053,Alcalá de Henares,7462,2023,0-4
0053,Alcalá de Henares,7355,2024,0-4
0066,Alcobendas,5128,2021,0-4
0066,Alcobendas,4826,2022,0-4
0066,Alcobendas,4764,2023,0-4
0066,Alcobendas,4649,2024,0-4
0072,Alcorcón,6904,2021,0-4
0072,Alcorcón,6328,2022,0-4
0072,Alcorcón,5956,2023,0-4
0072,Alcorcón,5726,2024,0-4
0088,Aldea del Fresno,165,2021,0-4
0088,Aldea del Fresno,170,2022,0-4
0088,Aldea del Fresno,178,2023,0-4
0088,Aldea del Fresno,162,2024,0-4
0091,Algete,843,2021,0-4
0091,Algete,878,2022,0-4
0091,Algete,866,2023,0-4
0091,Algete,854,2024,0-4
0105,Alpedrete,527,2021,0-4
0105,Alpedrete,506,2022,0-4
0105,Alpedrete,500,2023,0-4
0105,Alpedrete,488,2024,0-4
0112,Ambite,28,2021,0-4
0112,Ambite,30,2022,0-4
0112,Ambite,30,2023,0-4
0112,Ambite,25,2024,0-4
0127,Anchuelo,79,2021,0-4
0127,Anchuelo,87,2022,0-4
0127,Anchuelo,68,2023,0-4
0127,Anchuelo,65,2024,0-4
0133,Aranjuez,2788,2021,0-4
0133,Aranjuez,2587,2022,0-4
0133,Aranjuez,2435,2023,0-4
0133,Aranjuez,2419,2024,0-4
0148,Arganda del Rey,2851,2021,0-4
0148,Arganda del Rey,2758,2022,0-4
0148,Arganda del Rey,2685,2023,0-4
0148,Arganda del Rey,2542,2024,0-4
0151,Arroyomolinos,2464,2021,0-4
0151,Arroyomolinos,2348,2022,0-4
0151,Arroyomolinos,2253,2023,0-4
0151,Arroyomolinos,2126,2024,0-4
0164,Atazar (El),2,2021,0-4
0164,Atazar (El),1,2022,0-4
0164,Atazar (El),0,2023,0-4
0164,Atazar (El),1,2024,0-4
0170,Batres,67,2021,0-4
0170,Batres,70,2022,0-4
0170,Batres,59,2023,0-4
0170,Batres,64,2024,0-4
0186,Becerril de la Sierra,268,2021,0-4
0186,Becerril de la Sierra,249,2022,0-4
0186,Becerril de la Sierra,237,2023,0-4
0186,Becerril de la Sierra,249,2024,0-4
0199,Belmonte de Tajo,76,2021,0-4
0199,Belmonte de Tajo,79,2022,0-4
0199,Belmonte de Tajo,77,2023,0-4
0199,Belmonte de Tajo,83,2024,0-4
0210,Berrueco (El),41,2021,0-4
0210,Berrueco (El),35,2022,0-4
0210,Berrueco (El),32,2023,0-4
0210,Berrueco (El),24,2024,0-4
0203,Berzosa del Lozoya,2,2021,0-4
0203,Berzosa del Lozoya,2,2022,0-4
0203,Berzosa del Lozoya,2,2023,0-4
0203,Berzosa del Lozoya,3,2024,0-4
0225,Boadilla del Monte,2948,2021,0-4
0225,Boadilla del Monte,3188,2022,0-4
0225,Boadilla del Monte,3106,2023,0-4
0225,Boadilla del Monte,2895,2024,0-4
0231,Boalo (El),375,2021,0-4
0231,Boalo (El),320,2022,0-4
0231,Boalo (El),319,2023,0-4
0231,Boalo (El),302,2024,0-4
0246,Braojos,8,2021,0-4
0246,Braojos,8,2022,0-4
0246,Braojos,7,2023,0-4
0246,Braojos,7,2024,0-4
0259,Brea de Tajo,11,2021,0-4
0259,Brea de Tajo,16,2022,0-4
0259,Brea de Tajo,14,2023,0-4
0259,Brea de Tajo,13,2024,0-4
0262,Brunete,438,2021,0-4
0262,Brunete,428,2022,0-4
0262,Brunete,410,2023,0-4
0262,Brunete,405,2024,0-4
0278,Buitrago del Lozoya,72,2021,0-4
0278,Buitrago del Lozoya,83,2022,0-4
0278,Buitrago del Lozoya,74,2023,0-4
0278,Buitrago del Lozoya,65,2024,0-4
0284,Bustarviejo,93,2021,0-4
0284,Bustarviejo,94,2022,0-4
0284,Bustarviejo,90,2023,0-4
0284,Bustarviejo,87,2024,0-4
0297,Cabanillas de la Sierra,41,2021,0-4
0297,Cabanillas de la Sierra,38,2022,0-4
0297,Cabanillas de la Sierra,45,2023,0-4
0297,Cabanillas de la Sierra,39,2024,0-4
0301,Cabrera (La),83,2021,0-4
0301,Cabrera (La),97,2022,0-4
0301,Cabrera (La),100,2023,0-4
0301,Cabrera (La),106,2024,0-4
0318,Cadalso de los Vidrios,142,2021,0-4
0318,Cadalso de los Vidrios,136,2022,0-4
0318,Cadalso de los Vidrios,123,2023,0-4
0318,Cadalso de los Vidrios,111,2024,0-4
0323,Camarma de Esteruelas,317,2021,0-4
0323,Camarma de Esteruelas,308,2022,0-4
0323,Camarma de Esteruelas,302,2023,0-4
0323,Camarma de Esteruelas,307,2024,0-4
