Población.Censos.Censo anual.Población censada.Total. Población censada de 75 a 79 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;231.818,00;242.182,00;253.085,00;262.795,00;
Zonas Estadísticas;01;Municipio de Madrid ;127.459,00;129.764,00;132.034,00;133.589,00;
Zonas Estadísticas;02;Norte Metropolitano ;9.579,00;10.413,00;11.337,00;12.279,00;
Zonas Estadísticas;03;Este Metropolitano  ;17.903,00;19.376,00;20.816,00;22.638,00;
Zonas Estadísticas;04;Sur Metropolitano   ;47.498,00;51.231,00;55.281,00;58.873,00;
Zonas Estadísticas;05;Oeste Metropolitano ;14.549,00;15.638,00;16.842,00;17.842,00;
Zonas Estadísticas;06;Sierra Norte        ;1.381,00;1.430,00;1.481,00;1.549,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;1.327,00;1.447,00;1.593,00;1.681,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;2.789,00;2.994,00;3.209,00;3.401,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2.991,00;3.255,00;3.469,00;3.640,00;
Zonas Estadísticas;10;Sierra Sur          ;1.300,00;1.336,00;1.438,00;1.465,00;
Zonas Estadísticas;11;Sierra Central      ;5.042,00;5.298,00;5.585,00;5.838,00;
Municipios;0014;Acebeda (La);2,00;1,00;3,00;3,00;
Municipios;0029;Ajalvir;90,00;100,00;114,00;117,00;
Municipios;0035;Alameda del Valle;11,00;10,00;11,00;12,00;
Municipios;0040;Álamo (El);313,00;332,00;330,00;335,00;
Municipios;0053;Alcalá de Henares;7.069,00;7.583,00;7.910,00;8.351,00;
Municipios;0066;Alcobendas;4.039,00;4.375,00;4.777,00;5.159,00;
Municipios;0072;Alcorcón;9.518,00;9.973,00;10.394,00;10.599,00;
Municipios;0088;Aldea del Fresno;108,00;123,00;136,00;128,00;
Municipios;0091;Algete;474,00;481,00;491,00;538,00;
Municipios;0105;Alpedrete;450,00;456,00;449,00;456,00;
Municipios;0112;Ambite;28,00;30,00;22,00;24,00;
Municipios;0127;Anchuelo;32,00;34,00;39,00;33,00;
Municipios;0133;Aranjuez;1.982,00;2.041,00;2.131,00;2.231,00;
Municipios;0148;Arganda del Rey;1.243,00;1.356,00;1.440,00;1.573,00;
Municipios;0151;Arroyomolinos;336,00;400,00;452,00;488,00;
Municipios;0164;Atazar (El);6,00;4,00;4,00;6,00;
Municipios;0170;Batres;38,00;48,00;55,00;60,00;
Municipios;0186;Becerril de la Sierra;170,00;187,00;218,00;224,00;
Municipios;0199;Belmonte de Tajo;51,00;57,00;59,00;60,00;
Municipios;0210;Berrueco (El);37,00;33,00;32,00;38,00;
Municipios;0203;Berzosa del Lozoya;8,00;10,00;9,00;7,00;
Municipios;0225;Boadilla del Monte;1.356,00;1.449,00;1.579,00;1.678,00;
Municipios;0231;Boalo (El);200,00;219,00;225,00;232,00;
Municipios;0246;Braojos;6,00;7,00;12,00;10,00;
Municipios;0259;Brea de Tajo;35,00;35,00;32,00;29,00;
Municipios;0262;Brunete;253,00;279,00;301,00;324,00;
Municipios;0278;Buitrago del Lozoya;54,00;56,00;61,00;73,00;
Municipios;0284;Bustarviejo;79,00;78,00;81,00;79,00;
Municipios;0297;Cabanillas de la Sierra;31,00;27,00;22,00;24,00;
Municipios;0301;Cabrera (La);96,00;88,00;80,00;82,00;
Municipios;0318;Cadalso de los Vidrios;122,00;140,00;149,00;165,00;
Municipios;0323;Camarma de Esteruelas;160,00;159,00;185,00;188,00;
Municipios;0339;Campo Real;134,00;150,00;152,00;163,00;
Municipios;0344;Canencia;27,00;24,00;24,00;23,00;
Municipios;0357;Carabaña;63,00;61,00;71,00;73,00;
Municipios;0360;Casarrubuelos;76,00;83,00;95,00;105,00;
Municipios;0376;Cenicientos;86,00;94,00;105,00;100,00;
Municipios;0382;Cercedilla;222,00;226,00;241,00;255,00;
Municipios;0395;Cervera de Buitrago;15,00;13,00;10,00;8,00;
Municipios;0513;Chapinería;64,00;61,00;64,00;68,00;
Municipios;0528;Chinchón;185,00;188,00;205,00;223,00;
Municipios;0409;Ciempozuelos;606,00;668,00;717,00;753,00;
Municipios;0416;Cobeña;112,00;127,00;133,00;136,00;
Municipios;0468;Collado Mediano;216,00;220,00;222,00;223,00;
Municipios;0474;Collado Villalba;1.672,00;1.786,00;1.885,00;1.997,00;
Municipios;0455;Colmenar Viejo;1.171,00;1.272,00;1.374,00;1.474,00;
Municipios;0437;Colmenar de Oreja;260,00;270,00;277,00;292,00;
Municipios;0421;Colmenar del Arroyo;67,00;72,00;81,00;80,00;
Municipios;0442;Colmenarejo;213,00;231,00;251,00;272,00;
Municipios;0480;Corpa;15,00;19,00;17,00;22,00;
