Población.Censos.Censo anual.Población censada.Total. Población total censada. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;6.726.640,00;6.743.254,00;6.871.903,00;7.009.268,00;
Zonas Estadísticas;01;Municipio de Madrid ;3.277.451,00;3.267.027,00;3.340.176,00;3.422.416,00;
Zonas Estadísticas;02;Norte Metropolitano ;350.798,00;353.289,00;360.688,00;368.816,00;
Zonas Estadísticas;03;Este Metropolitano  ;666.509,00;673.085,00;683.775,00;692.181,00;
Zonas Estadísticas;04;Sur Metropolitano   ;1.332.183,00;1.332.226,00;1.347.635,00;1.367.717,00;
Zonas Estadísticas;05;Oeste Metropolitano ;506.391,00;513.870,00;523.396,00;529.533,00;
Zonas Estadísticas;06;Sierra Norte        ;44.743,00;45.478,00;46.541,00;46.971,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;67.886,00;68.992,00;70.614,00;72.108,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;111.268,00;113.429,00;116.016,00;119.115,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;149.758,00;153.349,00;156.963,00;160.511,00;
Zonas Estadísticas;10;Sierra Sur          ;37.766,00;38.432,00;39.300,00;40.150,00;
Zonas Estadísticas;11;Sierra Central      ;181.887,00;184.077,00;186.799,00;189.750,00;
Municipios;0014;Acebeda (La);55,00;62,00;67,00;68,00;
Municipios;0029;Ajalvir;4.793,00;4.825,00;4.875,00;4.946,00;
Municipios;0035;Alameda del Valle;248,00;242,00;275,00;256,00;
Municipios;0040;Álamo (El);9.946,00;10.100,00;10.298,00;10.413,00;
Municipios;0053;Alcalá de Henares;195.570,00;196.008,00;198.348,00;199.804,00;
Municipios;0066;Alcobendas;116.895,00;116.935,00;119.471,00;121.446,00;
Municipios;0072;Alcorcón;171.575,00;171.435,00;172.845,00;174.740,00;
Municipios;0088;Aldea del Fresno;3.078,00;3.231,00;3.408,00;3.422,00;
Municipios;0091;Algete;20.704,00;20.704,00;20.936,00;21.134,00;
Municipios;0105;Alpedrete;15.178,00;15.185,00;15.452,00;15.655,00;
Municipios;0112;Ambite;663,00;660,00;690,00;701,00;
Municipios;0127;Anchuelo;1.365,00;1.357,00;1.379,00;1.393,00;
Municipios;0133;Aranjuez;60.156,00;60.138,00;60.998,00;62.508,00;
Municipios;0148;Arganda del Rey;56.315,00;57.324,00;58.623,00;59.209,00;
Municipios;0151;Arroyomolinos;33.757,00;34.952,00;36.102,00;37.299,00;
Municipios;0164;Atazar (El);109,00;107,00;104,00;107,00;
Municipios;0170;Batres;1.818,00;1.838,00;1.881,00;1.957,00;
Municipios;0186;Becerril de la Sierra;6.096,00;6.184,00;6.267,00;6.553,00;
Municipios;0199;Belmonte de Tajo;1.749,00;1.776,00;1.842,00;1.919,00;
Municipios;0210;Berrueco (El);810,00;815,00;821,00;828,00;
Municipios;0203;Berzosa del Lozoya;213,00;227,00;219,00;234,00;
Municipios;0225;Boadilla del Monte;59.000,00;62.625,00;64.635,00;65.528,00;
Municipios;0231;Boalo (El);8.006,00;8.224,00;8.429,00;8.548,00;
Municipios;0246;Braojos;218,00;218,00;212,00;219,00;
Municipios;0259;Brea de Tajo;529,00;543,00;549,00;567,00;
Municipios;0262;Brunete;10.699,00;10.812,00;10.992,00;11.263,00;
Municipios;0278;Buitrago del Lozoya;1.943,00;1.952,00;1.954,00;1.970,00;
Municipios;0284;Bustarviejo;2.706,00;2.707,00;2.752,00;2.833,00;
Municipios;0297;Cabanillas de la Sierra;841,00;874,00;937,00;949,00;
Municipios;0301;Cabrera (La);2.776,00;2.825,00;2.898,00;2.952,00;
Municipios;0318;Cadalso de los Vidrios;3.227,00;3.215,00;3.218,00;3.274,00;
Municipios;0323;Camarma de Esteruelas;7.536,00;7.585,00;7.782,00;8.107,00;
Municipios;0339;Campo Real;6.435,00;6.662,00;6.711,00;6.766,00;
Municipios;0344;Canencia;457,00;457,00;464,00;468,00;
Municipios;0357;Carabaña;2.168,00;2.234,00;2.286,00;2.375,00;
Municipios;0360;Casarrubuelos;3.950,00;3.987,00;4.099,00;4.225,00;
Municipios;0376;Cenicientos;2.078,00;2.080,00;2.088,00;2.141,00;
Municipios;0382;Cercedilla;7.315,00;7.527,00;7.652,00;7.646,00;
Municipios;0395;Cervera de Buitrago;158,00;166,00;164,00;161,00;
Municipios;0513;Chapinería;2.493,00;2.508,00;2.598,00;2.634,00;
Municipios;0528;Chinchón;5.544,00;5.673,00;5.670,00;5.820,00;
Municipios;0409;Ciempozuelos;25.070,00;25.204,00;25.672,00;26.046,00;
Municipios;0416;Cobeña;7.424,00;7.524,00;7.702,00;7.742,00;
Municipios;0468;Collado Mediano;7.348,00;7.455,00;7.463,00;7.564,00;
